Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
RB1,1,Saquon Barkley,PHI,1.59,1,8,0.96,100%
WR1,2,Ja'Marr Chase,CIN,2.38,1,6,0.86,100%
RB2,3,Bijan Robinson,ATL,2.93,1,11,1.45,100%
WR2,4,Justin Jefferson,MIN,4.99,1,8,1.07,100%
RB3,5,Jahmyr Gibbs,DET,5.12,1,11,1.85,100%
RB4,6,Derrick Henry,BAL,6.41,1,24,3.44,100%
WR3,7,CeeDee Lamb,DAL,7.11,2,13,1.68,100%
WR4,8,Puka Nacua,LAR,9.06,4,20,2.14,100%
RB5,9,Ashton Jeanty,LV,9.68,1,20,3.18,100%
WR5,10,Nico Collins,HOU,10.12,4,29,2.33,100%
WR6,11,Brian Thomas Jr.,JAC,11.47,5,23,2.43,100%
WR7,12,Malik Nabers,NYG,11.69,1,24,2.98,100%
WR8,13,Amon-Ra St. Brown,DET,11.71,5,20,2.18,100%
WR9,14,A.J. Brown,PHI,15.37,9,31,2.57,100%
RB6,15,Jonathan Taylor,IND,15.81,8,41,3.76,100%
RB7,16,Josh Jacobs,GB,16.96,8,35,3.14,100%
RB8,17,De'Von Achane,MIA,17.63,2,36,3.83,100%
RB9,18,Christian McCaffrey,SF,18.94,7,47,4.2,100%
RB10,19,Bucky Irving,TB,19.56,9,38,3.48,100%
TE1,20,Brock Bowers,LV,19.86,12,44,3.41,100%
WR10,21,Drake London,ATL,21.16,11,34,3.67,100%
WR11,22,Ladd McConkey,LAC,22.31,11,42,3.96,100%
TE2,23,George Kittle,SF,23.4,13,62,5.82,100%
RB11,24,Kyren Williams,LAR,23.6,11,51,4.13,100%
WR12,25,Tee Higgins,CIN,27.79,15,50,4.34,100%
RB12,26,Chase Brown,CIN,28.58,11,53,6.66,100%
QB1,27,Josh Allen,BUF,28.62,3,42,4.4,100%
RB13,28,James Cook,BUF,29.25,15,62,5.25,100%
WR13,29,Mike Evans,TB,31.16,4,59,5.41,100%
RB14,30,Breece Hall,NYJ,31.94,11,57,7.87,100%
QB2,31,Lamar Jackson,BAL,32.17,5,47,4.18,100%
WR14,32,Terry McLaurin,WAS,32.85,18,56,5.68,100%
WR15,33,Tyreek Hill,MIA,32.87,13,61,6.74,100%
WR16,34,Jaxon Smith-Njigba,SEA,35.78,13,60,7.27,100%
RB15,35,Joe Mixon,HOU,36.38,23,65,5.94,100%
QB3,36,Jayden Daniels,WAS,36.93,7,55,4.21,100%
TE3,37,Sam LaPorta,DET,37.44,21,106,10.97,100%
TE4,38,Trey McBride,ARI,38.19,18,480,21.25,99%
WR17,39,Davante Adams,LAR,39.48,20,62,6.59,100%
RB16,40,Kenneth Walker III,SEA,39.69,23,63,6.76,100%
RB17,41,Omarion Hampton,LAC,42.67,23,82,9.0,100%
RB18,42,Chuba Hubbard,CAR,42.83,25,77,6.72,100%
QB4,43,Jalen Hurts,PHI,43.57,10,480,26.0,99%
RB19,44,Alvin Kamara,NO,46.12,24,75,7.25,100%
