Week,Date,Team,home,Opp,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,Kicking Totals FGA,Kicking Totals FGM,Kicking Totals FG%,Kicking Totals XPA,Kicking Totals XPM,Kicking Totals XP%,Kickoffs KO,Kickoffs KOYds,Kickoffs TB,Kickoffs TB%,Kickoffs KOAvg,Snap Counts OffSnp,Snap Counts Off%,Snap Counts STSnp,Snap Counts ST%,Player,Position,Year,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Int,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Punting Pnt,Punting Yds,Punting Y/P,Punting RetYds,Punting NetYds,Punting NY/P,Punting TB,Punting TB%,Punting Pnt20,Punting In20%,Punting Blck,Fumbles Fmb,Fumbles FL,Fumbles FF,Fumbles FR,Fumbles FRTD,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Win,Team Score,Opp Score
1,2016-09-11,TAM,1,ATL,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,1,1,100.0,4,4,100.0,6,406.0,3,50.0,68.0,0,0.0,11,35.5,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,31,24
2,2016-09-18,TAM,1,ARI,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0,0.0,1,1,100.0,2,130.0,2,100.0,65.0,0,0.0,4,12.9,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,7,40
3,2016-09-25,TAM,0,LAR,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0,0.0,3,2,66.7,6,378.0,4,66.7,63.0,0,0.0,10,32.3,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,32,37
4,2016-10-02,TAM,0,DEN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,1,100.0,2,130.0,2,100.0,65.0,0,0.0,3,10.7,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,7,27
5,2016-10-10,TAM,1,CAR,0,0.0,0,0.0,4,3.0,1,0.0,0,0.0,5,3,60.0,0,0,0.0,4,265.0,3,75.0,66.0,0,0.0,9,36.0,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,17,14
7,2016-10-23,TAM,1,SFO,0,0.0,0,0.0,2,2.0,0,0.0,1,0.0,3,2,66.7,4,4,100.0,7,457.0,6,85.7,65.0,0,0.0,14,46.7,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,34,17
8,2016-10-30,TAM,0,OAK,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1,100.0,2,1,50.0,6,390.0,5,83.3,65.0,0,0.0,9,26.5,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,24,30
9,2016-11-03,TAM,0,ATL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,2,2,100.0,5,217.0,1,20.0,43.0,0,0.0,7,26.9,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,28,43
10,2016-11-13,TAM,0,CHI,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,2,2,100.0,4,4,100.0,7,461.0,4,57.1,66.0,0,0.0,13,46.4,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,36,10
11,2016-11-20,TAM,1,KAN,0,0.0,1,1.0,2,2.0,1,1.0,0,0.0,4,4,100.0,1,1,100.0,6,392.0,1,16.7,65.0,0,0.0,11,47.8,Roberto Aguayo,K,2016,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,19,17
