,Name,POS,Age,HT,WT,Exp,College,Team
,Jacoby Brissett,QB,32,"6' 4""",235 lbs,9,NC State,ARI
,Kyler Murray1,QB,27,"5' 10""",207 lbs,6,Oklahoma,ARI
,Clayton Tune15,QB,26,"6' 3""",220 lbs,2,Houston,ARI
,Trey Benson33,RB,22,"6' 1""",223 lbs,R,Florida State,ARI
,Michael Carter22,RB,26,"5' 8""",201 lbs,4,North Carolina,ARI
,James Conner6,RB,30,"6' 1""",233 lbs,8,Pittsburgh,ARI
,DeeJay Dallas20,RB,26,"5' 10""",214 lbs,5,Miami,ARI
,Emari Demercado31,RB,26,"5' 9""",215 lbs,2,TCU,ARI
,Zonovan Knight,RB,24,"5' 10""",209 lbs,3,NC State,ARI
,Andre Baccellia82,WR,28,"5' 10""",175 lbs,2,Washington,ARI
,Greg Dortch4,WR,26,"5' 7""",175 lbs,4,Wake Forest,ARI
,Simi Fehoko,WR,27,"6' 4""",218 lbs,4,Stanford,ARI
,Bryson Green,WR,--,"6' 3""",213 lbs,R,Wisconsin,ARI
,Marvin Harrison Jr.18,WR,22,"6' 4""",205 lbs,R,Ohio State,ARI
,Trishton Jackson8,WR,27,"6' 1""",191 lbs,3,Syracuse,ARI
,Zay Jones17,WR,30,"6' 2""",200 lbs,8,East Carolina,ARI
,Tejhaun Palmer83,WR,24,"6' 2""",210 lbs,R,UAB,ARI
,Quez Watkins16,WR,26,"6' 0""",193 lbs,5,Southern Miss,ARI
,Xavier Weaver89,WR,24,"6' 1""",180 lbs,R,Colorado,ARI
,Michael Wilson14,WR,25,"6' 2""",213 lbs,2,Stanford,ARI
,Oscar Cardenas,TE,--,"6' 4""",265 lbs,R,UTSA,ARI
,Josiah Deguara,TE,28,"6' 2""",238 lbs,4,Cincinnati,ARI
,Elijah Higgins84,TE,24,"6' 3""",235 lbs,2,Stanford,ARI
,Trey McBride85,TE,25,"6' 4""",246 lbs,3,Colorado State,ARI
,Tip Reiman87,TE,23,"6' 4""",273 lbs,R,Illinois,ARI
,Travis Vokolek81,TE,26,"6' 6""",260 lbs,1,Nebraska,ARI
,Evan Brown62,C,28,"6' 3""",320 lbs,6,SMU,ARI
,Sincere Haynesworth,C,24,"6' 1""",300 lbs,R,Tulane,ARI
,Isaiah Adams74,G,24,"6' 4""",316 lbs,R,Illinois,ARI
,Hayden Conner,G,23,"6' 5""",320 lbs,R,Texas,ARI
,Hjalte Froholdt72,G,28,"6' 5""",310 lbs,6,Arkansas,ARI
,Jon Gaines II59,G,25,"6' 4""",303 lbs,2,UCLA,ARI
,Nick Leverett50,G,28,"6' 4""",310 lbs,4,Rice,ARI
,Royce Newman,G,27,"6' 5""",310 lbs,4,Ole Miss,ARI
,Jeremiah Byers,OL,--,"6' 4""",331 lbs,R,Miami,ARI
,Valentin Senn,OL,--,"6' 7""",305 lbs,R,UConn,ARI
,Kelvin Beachum68,OT,35,"6' 3""",308 lbs,13,SMU,ARI
,Jake Curhan73,OT,27,"6' 6""",316 lbs,4,California,ARI
,McClendon Curtis,OT,25,"6' 6""",325 lbs,2,Chattanooga,ARI
,Josh Fryar,OT,--,"6' 5""",320 lbs,R,Ohio State,ARI
,Paris Johnson Jr.70,OT,23,"6' 6""",313 lbs,2,Ohio State,ARI
,Christian Jones75,OT,25,"6' 5""",318 lbs,R,Texas,ARI
,Jonah Williams73,OT,27,"6' 5""",312 lbs,6,Alabama,ARI
,Kirk Cousins18,QB,36,"6' 3""",205 lbs,13,Michigan State,ATL
,Emory Jones11,QB,25,"6' 2""",211 lbs,R,Cincinnati,ATL
,Michael Penix Jr.9,QB,25,"6' 2""",216 lbs,R,Washington,ATL
,Easton Stick,QB,29,"6' 1""",224 lbs,6,North Dakota State,ATL
,Tyler Allgeier25,RB,25,"5' 11""",220 lbs,3,BYU,ATL
,Nate Carter,RB,--,"5' 10""",202 lbs,R,Michigan State,ATL
,Elijah Dotson,RB,26,"5' 9""",202 lbs,2,Northern Colorado,ATL
,Jase McClellan30,RB,22,"5' 11""",212 lbs,R,Alabama,ATL
,Bijan Robinson7,RB,23,"5' 11""",215 lbs,2,Texas,ATL
,Carlos Washington Jr.28,RB,26,"5' 11""",210 lbs,1,SE Louisiana,ATL
,Jamal Agnew,WR,30,"5' 10""",190 lbs,8,San Diego,ATL
,Chris Blair19,WR,27,"6' 2""",215 lbs,1,Alcorn State,ATL
,Dylan Drummond81,WR,25,"6' 0""",190 lbs,1,Eastern Michigan,ATL
,KhaDarel Hodge12,WR,30,"6' 2""",208 lbs,5,Prairie View A&M,ATL
,Drake London5,WR,23,"6' 4""",213 lbs,3,USC,ATL
,Jesse Matthews86,WR,25,"6' 0""",190 lbs,2,San Diego State,ATL
,Ray-Ray McCloud III34,WR,28,"5' 9""",190 lbs,7,Clemson,ATL
,Darnell Mooney1,WR,27,"5' 11""",177 lbs,5,Tulane,ATL
,Nick Nash,WR,--,"6' 3""",195 lbs,R,San José State,ATL
,Makai Polk,WR,23,"6' 3""",192 lbs,2,Mississippi State,ATL
,David Sills V84,WR,28,"6' 3""",211 lbs,3,West Virginia,ATL
,Quincy Skinner Jr.,WR,--,"6' 2""",205 lbs,R,Vanderbilt,ATL
,Casey Washington82,WR,24,"6' 0""",200 lbs,R,Illinois,ATL
,Feleipe Franks,TE,27,"6' 6""",228 lbs,5,Arkansas,ATL
,Nikola Kalinic,TE,28,"6' 4""",248 lbs,2,--,ATL
,Kyle Pitts8,TE,24,"6' 6""",246 lbs,4,Florida,ATL
