Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,CAR,W,20,0,10,22,45.5,133.0,2,6.0,7.86,95.5,1,47,252.0,0,5.4,70,385.0,5.5,4,2,2,2,4,167.0,8,14,2,24,4,13,0,1,2,20.0,0,0,0,36:28,6,atl
2006,2,2006-09-17,6,1,TAM,W,14,0,10,16,62.5,76.0,1,4.8,3.19,68.7,3,44,306.0,1,7.0,63,382.0,6.06,4,0,2,2,2,85.0,5,15,2,22,5,13,0,0,8,83.0,1,1,2,34:09,3,atl
2006,3,2006-09-25,0,0,NOR,L,3,0,12,31,38.7,112.0,0,3.6,3.61,49.4,5,23,117.0,0,5.1,59,229.0,3.88,2,1,0,0,7,265.0,7,3,0,10,3,16,2,3,5,43.0,0,0,0,27:20,23,atl
2006,4,2006-10-01,6,1,ARI,W,32,0,13,22,59.1,143.0,0,6.5,4.45,59.5,2,40,262.0,1,6.6,64,405.0,6.33,6,6,2,2,2,93.0,5,12,2,19,4,14,1,1,5,40.0,0,1,1,31:27,10,atl
2006,6,2006-10-15,6,1,NYG,L,14,0,14,27,51.9,106.0,0,3.9,2.26,46.2,7,26,223.0,2,8.6,60,329.0,5.48,0,0,2,2,6,224.0,8,7,1,16,6,15,0,1,4,40.0,1,1,2,25:42,27,atl
2006,7,2006-10-22,6,1,PIT,W,41,1,18,30,60.0,226.0,4,7.5,7.2,95.3,1,39,173.0,1,4.4,70,399.0,5.7,3,2,5,5,5,250.0,12,9,3,24,8,16,0,0,6,40.0,0,2,2,36:03,38,atl
2006,8,2006-10-29,6,0,CIN,W,29,0,19,27,70.4,277.0,3,10.3,12.48,140.5,2,38,143.0,0,3.8,67,420.0,6.27,3,3,2,2,3,166.0,15,9,1,25,7,13,0,0,9,75.0,0,0,0,37:08,27,atl
2006,9,2006-11-05,6,0,DET,L,14,0,17,32,53.1,154.0,1,4.8,2.63,50.8,2,26,165.0,1,6.3,60,319.0,5.32,0,0,2,2,6,238.0,9,9,1,19,3,11,1,1,9,76.0,1,2,3,27:04,30,atl
2006,10,2006-11-12,6,1,CLE,L,13,0,16,41,39.0,194.0,1,4.7,3.02,42.1,1,29,149.0,0,5.1,71,343.0,4.83,2,2,1,1,8,287.0,10,5,1,16,6,17,0,1,8,76.0,1,2,3,28:22,17,atl
2006,11,2006-11-19,6,0,BAL,L,10,0,11,21,52.4,82.0,1,3.9,4.86,77.9,5,25,104.0,0,4.2,51,186.0,3.65,1,1,1,1,6,242.0,4,7,1,12,2,11,0,2,4,47.0,0,0,0,23:17,24,atl
