Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,NWE,L,17,0,15,23,65.2,141.0,0,6.1,6.13,82.0,3,24,99.0,1,4.1,50,240.0,4.8,1,1,2,2,5,201.0,7,5,0,12,3,11,0,1,7,53.0,0,0,0,27:05,19,buf
2006,2,2006-09-17,6,0,MIA,W,16,0,11,18,61.1,66.0,1,3.7,4.78,86.8,2,32,105.0,0,3.3,52,171.0,3.29,3,3,1,1,6,248.0,5,6,1,12,4,13,0,0,4,30.0,0,0,0,30:59,6,buf
2006,3,2006-09-24,6,1,NYJ,L,20,0,22,39,56.4,306.0,1,7.8,7.21,79.6,3,31,169.0,1,5.5,73,475.0,6.51,2,2,2,2,2,99.0,14,8,4,26,3,12,1,4,6,43.0,2,1,3,33:13,28,buf
2006,4,2006-10-01,6,1,MIN,W,17,0,23,32,71.9,203.0,1,6.3,6.97,98.8,3,33,95.0,1,2.9,68,298.0,4.38,2,1,2,2,7,264.0,11,7,2,20,5,14,0,0,15,104.0,0,0,0,35:57,12,buf
2006,5,2006-10-08,6,0,CHI,L,7,0,14,27,51.9,87.0,1,3.2,-1.04,31.5,3,18,58.0,0,3.2,48,145.0,3.02,0,0,1,1,6,347.0,6,3,1,10,2,11,0,1,7,44.0,2,3,5,22:29,40,buf
2006,6,2006-10-15,6,0,DET,L,17,0,21,34,61.8,157.0,2,4.6,4.47,80.1,5,21,85.0,0,4.0,60,242.0,4.03,1,1,2,2,7,289.0,9,6,1,16,3,11,0,0,2,20.0,2,1,3,28:19,20,buf
2006,7,2006-10-22,6,1,NWE,L,6,0,16,25,64.0,180.0,0,7.2,5.4,68.7,2,25,75.0,0,3.0,52,255.0,4.9,2,2,0,0,5,221.0,8,4,0,12,4,12,0,0,9,67.0,3,1,4,28:20,28,buf
2006,9,2006-11-05,6,1,GNB,W,24,0,8,15,53.3,64.0,1,4.3,5.6,86.5,5,28,120.0,1,4.3,48,184.0,3.83,1,1,3,3,8,379.0,3,7,1,11,2,11,0,0,8,50.0,0,0,0,25:39,10,buf
2006,10,2006-11-12,6,0,IND,L,16,0,8,12,66.7,51.0,0,4.3,4.25,75.3,4,31,111.0,0,3.6,47,162.0,3.45,4,3,1,1,4,197.0,4,4,2,10,5,14,1,1,5,40.0,0,0,0,26:12,17,buf
2006,11,2006-11-19,6,0,HOU,W,24,0,26,38,68.4,333.0,3,8.8,9.16,111.0,2,21,70.0,0,3.3,61,403.0,6.61,1,1,3,3,7,328.0,12,4,1,17,4,14,1,1,3,17.0,0,1,1,27:35,21,buf
2006,12,2006-11-26,6,1,JAX,W,27,0,21,28,75.0,169.0,0,6.0,4.43,74.9,0,23,72.0,2,3.1,51,241.0,4.73,2,2,3,3,6,265.0,8,3,2,13,3,10,0,0,4,55.0,0,1,1,27:50,24,buf
2006,13,2006-12-03,6,1,SDG,L,21,0,21,37,56.8,167.0,2,4.5,3.16,63.7,3,24,63.0,1,2.6,64,230.0,3.59,0,0,3,3,7,279.0,11,5,0,16,8,17,0,0,2,10.0,2,2,4,25:37,24,buf
2006,14,2006-12-10,6,0,NYJ,W,31,0,10,15,66.7,144.0,2,9.6,12.27,137.2,3,34,174.0,1,5.1,52,318.0,6.12,1,1,4,4,6,243.0,7,7,0,14,4,11,0,0,2,10.0,1,0,1,27:52,13,buf
2006,15,2006-12-17,6,1,MIA,W,21,0,13,19,68.4,186.0,3,9.8,12.95,139.5,3,37,100.0,0,2.7,59,286.0,4.85,0,0,3,3,7,271.0,7,5,1,13,6,15,0,0,5,17.0,2,0,2,31:40,0,buf
2006,16,2006-12-24,6,1,TEN,L,29,0,19,34,55.9,251.0,1,7.4,5.32,64.7,3,24,117.0,1,4.9,61,368.0,6.03,5,5,2,2,2,80.0,12,6,4,22,2,10,1,2,5,50.0,0,2,2,26:42,30,buf
2006,17,2006-12-31,6,0,BAL,L,7,0,20,35,57.1,214.0,1,6.1,4.11,60.9,3,14,39.0,0,2.8,52,253.0,4.87,0,0,1,1,7,301.0,8,2,0,10,5,13,1,1,3,19.0,1,2,3,23:39,19,buf
