Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,ATL,L,6,0,21,39,53.8,150.0,0,3.8,2.69,52.3,4,16,65.0,0,4.1,59,215.0,3.64,2,2,0,0,6,309.0,10,4,1,15,2,12,0,2,8,45.0,1,1,2,23:32,20,car
2006,2,2006-09-17,6,0,MIN,L,13,1,17,33,51.5,164.0,0,5.0,4.97,65.7,2,27,107.0,1,4.0,62,271.0,4.37,2,2,1,1,9,386.0,9,4,1,14,3,14,0,0,6,32.0,1,0,1,29:55,16,car
2006,3,2006-09-24,6,0,TAM,W,26,0,22,36,61.1,249.0,1,6.9,7.47,91.1,3,28,101.0,1,3.6,67,350.0,5.22,4,4,2,2,3,101.0,11,9,2,22,2,12,1,1,7,40.0,3,0,3,34:23,24,car
2006,4,2006-10-01,6,1,NOR,W,21,0,19,29,65.5,157.0,2,5.4,6.79,102.2,1,29,167.0,1,5.8,59,324.0,5.49,0,0,3,3,6,304.0,10,9,1,20,4,10,0,0,7,48.0,0,0,0,30:21,18,car
2006,5,2006-10-08,6,1,CLE,W,20,0,20,29,69.0,169.0,1,5.8,6.52,95.3,1,28,119.0,0,4.3,58,288.0,4.97,3,2,2,2,9,410.0,7,6,2,15,0,11,0,0,4,34.0,0,0,0,28:45,12,car
2006,6,2006-10-15,6,0,BAL,W,23,0,24,39,61.5,356.0,2,9.1,7.85,87.1,1,30,58.0,0,1.9,70,414.0,5.91,3,3,2,2,3,117.0,13,5,2,20,7,15,0,0,4,20.0,1,2,3,33:49,21,car
2006,7,2006-10-22,6,0,CIN,L,14,0,20,34,58.8,217.0,2,6.4,6.24,85.0,3,16,60.0,0,3.8,53,277.0,5.23,0,0,2,2,8,328.0,11,5,1,17,2,11,0,0,8,41.0,0,1,1,25:28,17,car
2006,8,2006-10-29,6,1,DAL,L,14,0,17,31,54.8,128.0,0,4.1,2.68,51.5,3,17,76.0,2,4.5,51,204.0,4.0,1,0,2,2,6,255.0,10,3,3,16,3,9,0,0,5,44.0,2,1,3,21:44,35,car
2006,10,2006-11-13,0,1,TAM,W,24,0,22,34,64.7,240.0,2,7.1,6.91,92.8,0,30,78.0,1,2.6,64,318.0,4.97,1,1,3,3,6,278.0,9,6,2,17,6,14,0,0,9,70.0,1,1,2,33:16,10,car
2006,11,2006-11-19,6,1,STL,W,15,0,13,26,50.0,169.0,1,6.5,3.81,51.6,3,43,242.0,0,5.6,72,411.0,5.71,2,2,1,1,5,275.0,7,13,0,20,6,15,0,0,9,80.0,1,2,3,38:43,0,car
2006,12,2006-11-26,6,0,WAS,L,13,0,23,38,60.5,163.0,1,4.3,2.45,57.2,1,25,101.0,0,4.0,64,264.0,4.13,2,2,1,1,8,334.0,9,5,1,15,6,16,0,1,4,40.0,0,2,2,30:46,17,car
2006,13,2006-12-04,0,0,PHI,L,24,0,22,37,59.5,269.0,3,7.3,6.46,86.4,0,23,108.0,0,4.7,60,377.0,6.28,1,1,3,3,7,329.0,10,6,2,18,4,13,0,0,7,67.0,0,2,2,27:37,27,car
2006,14,2006-12-10,6,1,NYG,L,13,0,34,61,55.7,418.0,1,6.9,4.97,62.1,2,15,45.0,0,3.0,78,463.0,5.94,2,2,1,1,6,272.0,18,3,1,22,5,16,0,2,7,37.0,0,3,3,29:35,27,car
2006,15,2006-12-17,6,1,PIT,L,3,0,24,39,61.5,197.0,0,5.1,2.74,53.0,5,11,43.0,0,3.9,55,240.0,4.36,2,1,0,0,7,268.0,11,1,0,12,3,13,1,2,8,65.0,0,2,2,22:47,37,car
2006,16,2006-12-24,6,0,ATL,W,10,0,4,7,57.1,11.0,1,1.6,4.43,101.8,3,52,183.0,0,3.5,62,194.0,3.13,1,1,1,1,6,293.0,1,13,1,15,8,16,0,0,8,62.0,0,0,0,41:47,3,car
2006,17,2006-12-31,6,0,NOR,W,31,0,23,27,85.2,207.0,2,7.7,9.15,123.3,0,33,106.0,1,3.2,60,313.0,5.22,1,1,4,4,5,249.0,12,8,0,20,4,12,1,1,2,19.0,0,0,0,34:39,21,car
2007,1,2007-09-09,6,0,STL,W,27,0,18,27,66.7,199.0,3,7.4,9.59,125.4,0,38,186.0,0,4.9,65,385.0,5.92,3,2,3,3,3,158.0,6,13,2,21,4,12,0,0,7,75.0,2,0,2,34:07,13,car
2007,2,2007-09-16,6,1,HOU,L,21,0,27,41,65.9,287.0,3,7.0,7.37,100.4,3,18,66.0,0,3.7,62,353.0,5.69,0,0,3,3,6,246.0,16,1,0,17,7,13,0,0,5,35.0,2,1,3,25:12,34,car
2007,3,2007-09-23,6,0,ATL,W,27,0,13,22,59.1,138.0,2,6.3,8.09,107.8,3,36,175.0,1,4.9,61,313.0,5.13,2,2,3,3,4,179.0,8,11,5,24,3,10,0,0,3,45.0,0,0,0,30:47,20,car
2007,4,2007-09-30,6,1,TAM,L,7,0,19,41,46.3,137.0,1,3.3,2.73,52.6,3,23,99.0,0,4.3,67,236.0,3.52,0,0,1,1,8,371.0,7,6,0,13,6,18,1,2,7,65.0,1,1,2,25:20,20,car
2007,5,2007-10-07,6,0,NOR,W,16,0,11,19,57.9,155.0,1,8.2,6.84,79.9,1,28,88.0,0,3.1,48,243.0,5.06,3,3,1,1,4,199.0,8,3,1,12,5,11,0,0,7,59.0,0,1,1,24:47,13,car
2007,6,2007-10-14,6,0,ARI,W,25,0,20,33,60.6,193.0,1,5.8,6.45,87.1,2,30,181.0,1,6.0,65,374.0,5.75,5,4,1,1,7,268.0,7,5,2,14,6,18,0,0,9,65.0,0,0,0,31:07,10,car
2007,8,2007-10-28,6,1,IND,L,7,0,28,45,62.2,185.0,0,4.1,3.11,61.8,0,33,108.0,1,3.3,78,293.0,3.76,0,0,1,1,6,276.0,11,8,1,20,10,21,2,2,8,55.0,2,1,3,36:05,31,car
2007,9,2007-11-04,6,0,TEN,L,7,0,17,32,53.1,113.0,1,3.5,1.34,45.4,7,22,78.0,0,3.5,61,191.0,3.13,1,0,1,1,9,364.0,6,3,6,15,4,16,0,0,10,92.0,0,2,2,26:58,20,car
2007,10,2007-11-11,6,1,ATL,L,13,0,13,29,44.8,145.0,0,5.0,3.45,45.9,2,28,90.0,0,3.2,59,235.0,3.98,2,2,1,1,9,386.0,6,2,2,10,3,16,0,1,6,43.0,1,1,2,28:20,20,car
2007,11,2007-11-18,6,0,GNB,L,17,0,19,37,51.4,251.0,2,6.8,5.43,68.6,2,29,131.0,0,4.5,68,382.0,5.62,1,1,2,2,5,188.0,13,6,2,21,5,14,1,2,4,25.0,1,2,3,28:49,31,car
2007,12,2007-11-25,6,1,NOR,L,6,0,18,36,50.0,152.0,0,4.2,0.47,26.6,1,18,43.0,0,2.4,55,195.0,3.55,2,2,0,0,4,173.0,9,1,1,11,3,13,0,2,5,35.0,1,3,4,20:37,31,car
2007,13,2007-12-02,6,1,SFO,W,31,0,17,26,65.4,157.0,2,6.0,4.12,75.3,2,44,166.0,1,3.8,72,323.0,4.49,1,1,4,4,7,311.0,9,9,2,20,9,18,0,0,7,65.0,0,2,2,38:22,14,car
2007,14,2007-12-09,6,0,JAX,L,6,0,16,38,42.1,99.0,0,2.6,1.42,38.7,1,15,50.0,0,3.3,54,149.0,2.76,2,2,0,0,5,242.0,6,3,1,10,2,12,1,3,5,50.0,1,1,2,21:02,37,car
2007,15,2007-12-16,6,1,SEA,W,13,0,19,27,70.4,208.0,0,7.7,7.7,92.8,0,38,114.0,1,3.0,65,322.0,4.95,3,2,1,1,5,235.0,12,2,1,15,9,18,0,1,5,54.0,0,0,0,35:22,10,car
2007,16,2007-12-22,5,1,DAL,L,13,0,15,28,53.6,147.0,1,5.3,4.36,65.6,5,14,69.0,0,4.9,47,216.0,4.6,2,2,1,1,6,258.0,9,2,1,12,2,11,1,1,3,15.0,0,1,1,21:00,20,car
2007,17,2007-12-30,6,0,TAM,W,31,0,15,24,62.5,169.0,2,7.0,6.83,93.9,1,37,180.0,2,4.9,62,349.0,5.63,1,1,4,4,4,184.0,9,10,1,20,7,14,0,0,4,23.0,1,1,2,31:50,23,car
2008,1,2008-09-07,6,0,SDG,W,26,0,23,41,56.1,246.0,1,6.0,6.49,82.0,1,29,142.0,0,4.9,71,388.0,5.46,4,4,2,2,3,144.0,12,7,1,20,5,15,1,2,6,29.0,1,0,1,32:02,24,car
2008,2,2008-09-14,6,1,CHI,W,20,0,12,21,57.1,102.0,0,4.9,2.71,50.1,3,31,114.0,2,3.7,55,216.0,3.93,2,2,2,2,8,338.0,4,8,0,12,2,13,0,0,10,65.0,0,1,1,31:45,17,car
2008,3,2008-09-21,6,0,MIN,L,10,0,17,29,58.6,157.0,0,5.4,5.41,73.5,5,20,47.0,1,2.4,54,204.0,3.78,1,1,1,1,5,199.0,9,3,2,14,3,11,0,1,12,67.0,2,0,2,25:42,20,car
2008,4,2008-09-28,6,1,ATL,W,24,0,20,29,69.0,294.0,2,10.1,11.52,124.8,0,33,107.0,1,3.2,62,401.0,6.47,1,1,3,3,6,245.0,13,5,1,19,3,12,0,0,11,90.0,0,0,0,32:15,9,car
2008,5,2008-10-05,6,1,KAN,W,34,0,14,22,63.6,236.0,2,10.7,10.5,111.2,0,48,205.0,2,4.3,70,441.0,6.3,2,2,4,4,3,136.0,11,9,0,20,10,18,1,2,8,56.0,1,1,2,38:54,0,car
2008,6,2008-10-12,6,0,TAM,L,3,0,20,39,51.3,242.0,0,6.2,2.74,38.6,0,20,40.0,0,2.0,59,282.0,4.78,1,1,0,0,5,197.0,12,2,0,14,3,12,0,2,4,16.0,0,3,3,25:18,27,car
2008,7,2008-10-19,6,1,NOR,W,30,0,14,22,63.6,193.0,2,8.8,10.59,122.0,1,37,143.0,1,3.9,60,336.0,5.6,3,3,3,3,5,237.0,10,7,1,19,7,15,0,0,3,29.0,0,0,0,33:01,7,car
2008,8,2008-10-26,6,1,ARI,W,27,0,20,28,71.4,238.0,2,8.5,9.93,120.8,1,29,113.0,1,3.9,58,351.0,6.05,2,2,3,3,3,133.0,11,7,4,22,7,12,0,0,3,25.0,1,0,1,27:23,23,car
2008,10,2008-11-09,6,0,OAK,W,17,0,7,27,25.9,57.0,1,2.1,-3.81,12.3,2,28,162.0,1,5.8,57,219.0,3.84,2,1,2,2,9,372.0,4,4,2,10,3,13,0,0,4,40.0,0,4,4,22:58,6,car
2008,11,2008-11-16,6,1,DET,W,31,0,10,19,52.6,102.0,1,5.4,6.42,85.9,0,32,264.0,3,8.3,51,366.0,7.18,1,1,4,4,5,207.0,7,10,0,16,1,7,0,0,7,55.0,1,0,1,25:43,22,car
2008,12,2008-11-23,6,0,ATL,L,28,0,21,35,60.0,274.0,1,7.8,8.4,94.2,3,26,134.0,2,5.2,64,408.0,6.38,2,2,2,2,6,277.0,15,7,0,22,5,14,1,1,8,48.0,0,0,0,31:11,45,car
