Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,GNB,W,26,0,19,27,70.4,252.0,1,9.3,8.41,96.5,1,36,109.0,0,3.0,64,361.0,5.64,4,4,2,2,4,189.0,12,4,2,18,4,14,1,1,4,25.0,0,1,1,34:05,0,chi
2006,2,2006-09-17,6,1,DET,W,34,0,21,28,75.0,294.0,4,10.5,13.36,147.9,0,34,89.0,0,2.6,62,383.0,6.18,2,2,4,4,3,133.0,16,4,2,22,6,12,0,0,6,93.0,1,0,1,33:00,7,chi
2006,3,2006-09-24,6,0,MIN,W,19,0,23,41,56.1,274.0,1,6.7,4.98,64.5,1,21,51.0,0,2.4,63,325.0,5.16,4,4,1,1,3,152.0,14,3,2,19,5,15,1,1,10,82.0,0,2,2,28:21,16,chi
2006,4,2006-10-01,6,1,SEA,W,37,0,17,31,54.8,219.0,2,7.1,8.35,98.7,1,38,143.0,2,3.8,70,362.0,5.17,3,3,4,4,5,211.0,9,11,1,21,6,15,1,1,5,60.0,0,0,0,35:32,6,chi
2006,5,2006-10-08,6,1,BUF,W,40,0,19,31,61.3,195.0,2,6.3,7.58,100.9,3,38,156.0,2,4.1,72,351.0,4.88,4,4,4,4,3,119.0,10,11,2,23,7,14,0,0,4,21.0,1,0,1,37:31,7,chi
2006,6,2006-10-16,0,0,ARI,W,24,0,14,37,37.8,130.0,0,3.5,-1.35,8.7,2,16,38.0,0,2.4,55,168.0,3.05,1,1,3,3,6,299.0,7,2,0,9,4,14,0,1,6,50.0,2,4,6,20:17,23,chi
2006,8,2006-10-29,6,1,SFO,W,41,0,25,32,78.1,257.0,3,8.0,9.91,131.4,1,35,145.0,2,4.1,68,402.0,5.91,2,2,5,5,3,154.0,15,7,2,24,7,14,1,2,5,49.0,0,0,0,37:05,10,chi
2006,9,2006-11-05,6,1,MIA,L,13,0,18,42,42.9,189.0,1,4.5,1.76,34.7,3,28,103.0,0,3.7,73,292.0,4.0,2,2,1,1,3,147.0,10,4,6,20,5,16,0,2,7,45.0,3,3,6,30:06,31,chi
2006,10,2006-11-12,6,0,NYG,W,38,0,18,30,60.0,234.0,3,7.8,8.3,104.0,2,39,118.0,1,3.0,71,352.0,4.96,1,1,5,5,5,196.0,11,7,3,21,9,18,0,0,9,80.0,2,1,3,32:46,20,chi
2006,11,2006-11-19,6,0,NYJ,W,10,0,11,22,50.0,111.0,1,5.0,5.95,79.9,1,35,173.0,0,4.9,58,284.0,4.9,1,1,1,1,8,343.0,4,7,1,12,4,14,1,1,10,65.0,0,0,0,28:06,0,chi
2006,12,2006-11-26,6,0,NWE,L,13,0,15,34,44.1,171.0,0,5.0,1.06,23.0,1,36,153.0,1,4.3,71,324.0,4.56,3,2,1,1,3,115.0,9,9,3,21,7,16,1,1,5,31.0,1,3,4,31:02,17,chi
2006,13,2006-12-03,6,1,MIN,W,23,0,6,19,31.6,24.0,0,1.3,-5.84,1.3,1,25,83.0,1,3.3,45,107.0,2.38,0,0,3,3,7,302.0,1,5,0,6,2,11,1,1,9,65.0,2,3,5,20:39,13,chi
2006,14,2006-12-11,0,0,STL,W,42,0,13,23,56.5,200.0,2,8.7,10.43,114.4,0,34,172.0,2,5.1,57,372.0,6.53,2,0,6,6,3,104.0,10,7,5,22,6,12,0,0,11,86.0,0,0,0,26:39,27,chi
2006,15,2006-12-17,6,1,TAM,W,34,1,29,44,65.9,312.0,2,7.1,8.0,101.7,4,34,134.0,2,3.9,82,446.0,5.44,3,2,4,4,10,446.0,18,7,2,27,5,16,0,0,8,79.0,1,0,1,41:56,31,chi
2006,16,2006-12-24,6,0,DET,W,26,0,26,45,57.8,238.0,1,5.3,5.73,79.7,2,30,116.0,1,3.9,77,354.0,4.6,4,4,2,2,6,286.0,10,9,3,22,6,17,1,1,7,48.0,0,0,0,34:43,21,chi
2006,17,2006-12-31,6,1,GNB,L,7,0,8,28,28.6,181.0,1,6.5,-0.86,26.3,2,24,135.0,0,5.6,54,316.0,5.85,0,0,1,1,5,208.0,5,6,2,13,2,13,1,1,6,44.0,1,5,6,23:04,26,chi
2007,1,2007-09-09,6,0,SDG,L,3,0,12,23,52.2,122.0,0,5.3,3.35,49.5,3,26,80.0,0,3.1,52,202.0,3.88,1,1,0,0,6,244.0,7,4,0,11,3,11,0,1,4,38.0,3,1,4,22:57,14,chi
2007,2,2007-09-16,6,1,KAN,W,20,0,20,34,58.8,132.0,1,3.9,1.82,52.6,3,29,107.0,0,3.7,66,239.0,3.62,2,2,2,2,6,252.0,10,6,2,18,3,13,0,0,5,55.0,1,2,3,31:13,10,chi
2007,3,2007-09-23,6,1,DAL,L,10,0,15,33,45.5,164.0,0,5.0,0.88,22.8,3,23,75.0,1,3.3,59,239.0,4.05,1,1,1,1,4,165.0,10,4,2,16,5,12,0,2,5,28.0,1,3,4,24:39,34,chi
2007,4,2007-09-30,6,0,DET,L,27,0,34,52,65.4,234.0,2,4.5,2.67,64.1,6,22,69.0,0,3.1,80,303.0,3.79,3,2,3,3,5,223.0,16,4,2,22,7,18,1,1,14,102.0,0,3,3,30:23,37,chi
2007,5,2007-10-07,6,0,GNB,W,27,0,15,25,60.0,203.0,2,8.1,7.92,95.9,2,33,82.0,1,2.5,60,285.0,4.75,2,2,3,3,7,314.0,8,4,4,16,3,14,0,0,6,40.0,0,1,1,29:30,20,chi
2007,6,2007-10-14,6,1,MIN,L,31,0,26,45,57.8,375.0,3,8.3,7.67,88.7,1,24,83.0,0,3.5,70,458.0,6.54,1,1,4,4,6,248.0,14,5,1,20,6,15,0,1,4,28.0,2,2,4,28:41,34,chi
2007,7,2007-10-21,6,0,PHI,W,19,0,27,41,65.9,314.0,1,7.7,8.15,97.0,1,23,72.0,0,3.1,65,386.0,5.94,5,4,1,1,2,84.0,16,2,1,19,8,16,0,0,7,51.0,0,0,0,29:29,16,chi
2007,8,2007-10-28,6,1,DET,L,7,0,22,40,55.0,192.0,1,4.8,0.8,36.7,2,20,63.0,0,3.2,62,255.0,4.11,1,0,1,1,5,239.0,9,5,2,16,7,14,0,0,7,78.0,0,4,4,25:06,16,chi
2007,10,2007-11-11,6,0,OAK,W,17,0,17,28,60.7,217.0,1,7.8,8.46,96.9,3,34,78.0,1,2.3,65,295.0,4.54,2,1,2,2,9,364.0,12,4,0,16,5,16,0,0,7,50.0,0,0,0,31:37,6,chi
2007,11,2007-11-18,6,0,SEA,L,23,0,24,37,64.9,238.0,0,6.4,6.43,82.9,5,22,107.0,2,4.9,64,345.0,5.39,3,3,2,2,5,215.0,9,5,2,16,6,16,0,2,6,40.0,1,0,1,28:55,30,chi
2007,12,2007-11-25,6,1,DEN,W,37,1,17,33,51.5,171.0,1,5.2,4.42,64.1,3,32,122.0,1,3.8,68,293.0,4.31,3,3,4,4,6,241.0,10,6,2,18,4,15,1,1,5,50.0,3,1,4,29:47,34,chi
2007,13,2007-12-02,6,1,NYG,L,16,0,25,46,54.3,244.0,1,5.3,5.74,76.7,6,23,68.0,0,3.0,75,312.0,4.16,3,3,1,1,8,316.0,13,5,0,18,6,19,1,1,10,71.0,0,0,0,29:24,21,chi
2007,14,2007-12-06,3,0,WAS,L,16,0,29,51,56.9,296.0,1,5.8,4.43,63.8,2,24,60.0,0,2.5,77,356.0,4.62,4,3,1,1,6,229.0,14,5,3,22,5,16,1,1,9,49.0,0,2,2,31:19,24,chi
2007,15,2007-12-17,0,0,MIN,L,13,0,22,38,57.9,177.0,0,4.7,3.47,58.8,1,17,32.0,1,1.9,56,209.0,3.73,2,2,1,1,9,394.0,7,3,1,11,1,14,1,2,11,95.0,0,1,1,24:15,20,chi
2007,16,2007-12-23,6,1,GNB,W,35,0,9,15,60.0,104.0,1,6.9,8.27,103.2,0,44,136.0,1,3.1,59,240.0,4.07,2,2,3,3,4,140.0,6,8,0,14,6,15,2,3,6,30.0,0,0,0,33:33,7,chi
2007,17,2007-12-30,6,1,NOR,W,33,0,13,28,46.4,179.0,3,6.4,6.93,88.2,2,27,96.0,0,3.6,57,275.0,4.82,1,1,4,4,6,266.0,7,4,2,13,6,14,0,1,5,34.0,2,1,3,24:52,25,chi
2008,1,2008-09-07,6,0,IND,W,29,0,13,21,61.9,136.0,0,6.5,6.48,80.7,2,39,183.0,2,4.7,62,319.0,5.15,2,2,3,3,5,178.0,7,9,1,17,10,16,0,0,7,60.0,0,0,0,31:44,13,chi
2008,2,2008-09-14,6,0,CAR,L,17,0,19,32,59.4,141.0,0,4.4,4.41,69.9,1,29,115.0,1,4.0,62,256.0,4.13,1,1,2,2,7,281.0,6,6,0,12,6,15,0,1,12,86.0,2,0,2,28:15,20,chi
2008,3,2008-09-21,6,1,TAM,L,24,1,22,34,64.7,247.0,2,7.3,5.79,81.4,3,37,158.0,0,4.3,74,405.0,5.47,4,3,1,1,6,275.0,14,7,0,21,4,15,1,1,8,64.0,0,2,2,39:17,27,chi
2008,4,2008-09-28,6,1,PHI,W,24,0,18,34,52.9,178.0,3,5.2,4.35,72.9,4,26,78.0,0,3.0,64,256.0,4.0,1,1,3,3,8,354.0,8,4,1,13,7,17,0,0,1,5.0,2,2,4,28:06,20,chi
2008,5,2008-10-05,6,0,DET,W,34,0,24,34,70.6,328.0,2,9.6,10.82,120.7,1,34,97.0,1,2.9,69,425.0,6.16,2,2,4,4,5,165.0,14,7,0,21,7,15,0,1,6,45.0,1,0,1,38:15,7,chi
