Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,KAN,W,23,0,13,19,68.4,120.0,0,6.3,6.32,85.4,1,34,116.0,2,3.4,54,236.0,4.37,3,3,2,2,5,213.0,6,6,0,12,4,13,0,0,5,40.0,1,0,1,28:03,10,cin
2006,2,2006-09-17,6,1,CLE,W,34,0,24,40,60.0,321.0,2,8.0,6.78,81.4,4,32,160.0,2,5.0,76,481.0,6.33,3,2,4,4,4,192.0,18,8,1,27,8,15,0,0,9,49.0,0,2,2,34:05,17,cin
2006,3,2006-09-24,6,0,PIT,W,28,0,18,26,69.2,159.0,4,6.1,5.73,92.8,6,25,87.0,0,3.5,57,246.0,4.32,0,0,4,4,5,267.0,12,3,0,15,4,12,1,1,5,45.0,1,2,3,26:09,20,cin
2006,4,2006-10-01,6,1,NWE,L,13,0,20,35,57.1,208.0,0,5.9,5.94,74.5,4,17,71.0,1,4.2,56,279.0,4.98,2,2,1,1,6,267.0,10,5,2,17,2,11,0,0,9,74.0,2,0,2,26:04,38,cin
2006,6,2006-10-15,6,0,TAM,L,13,0,24,37,64.9,252.0,1,6.8,7.35,93.5,2,20,53.0,0,2.7,59,305.0,5.17,3,2,1,1,7,294.0,10,4,0,14,3,14,0,1,10,84.0,0,0,0,24:53,14,cin
2006,7,2006-10-22,6,1,CAR,W,17,0,23,39,59.0,230.0,2,5.9,6.92,92.9,2,30,112.0,0,3.7,71,342.0,4.82,1,1,2,2,8,301.0,14,4,4,22,6,16,1,1,5,55.0,0,0,0,34:32,14,cin
2006,8,2006-10-29,6,1,ATL,L,27,0,24,36,66.7,258.0,2,7.2,8.28,106.0,2,18,73.0,1,4.1,56,331.0,5.91,2,2,3,3,4,180.0,15,3,4,22,4,10,0,0,4,30.0,1,0,1,22:52,29,cin
2006,9,2006-11-05,6,0,BAL,L,20,0,12,26,46.2,182.0,1,7.0,4.31,50.5,2,22,93.0,1,4.2,50,275.0,5.5,2,2,2,2,4,193.0,7,6,3,16,1,10,1,2,4,40.0,1,2,3,22:36,26,cin
2006,10,2006-11-12,6,1,SDG,L,41,0,31,42,73.8,417.0,3,9.9,11.36,128.8,3,27,128.0,2,4.7,72,545.0,7.57,3,2,5,5,3,107.0,20,8,1,29,5,12,0,1,5,44.0,1,0,1,31:18,49,cin
2006,11,2006-11-19,6,0,NOR,W,31,0,14,22,63.6,266.0,3,12.1,12.77,126.1,1,31,119.0,0,3.8,54,385.0,7.13,1,1,4,4,6,248.0,10,5,0,15,4,11,0,0,2,10.0,0,1,1,26:27,16,cin
2006,12,2006-11-26,6,0,CLE,W,30,0,27,34,79.4,300.0,3,8.8,9.26,120.6,1,37,88.0,1,2.4,72,388.0,5.39,1,1,4,3,4,186.0,15,7,2,24,7,14,1,1,8,75.0,0,1,1,37:50,0,cin
2006,13,2006-11-30,3,1,BAL,W,13,0,21,32,65.6,227.0,1,7.1,7.72,96.7,2,23,67.0,0,2.9,57,294.0,5.16,3,2,1,1,6,277.0,13,1,0,14,4,13,0,0,5,35.0,0,0,0,29:11,7,cin
2006,14,2006-12-10,6,1,OAK,W,27,0,21,29,72.4,303.0,2,10.4,7.17,89.4,0,39,136.0,2,3.5,68,439.0,6.46,0,0,4,3,0,0.0,16,8,4,28,7,11,0,0,5,40.0,1,3,4,35:45,10,cin
2006,15,2006-12-18,0,0,IND,L,16,0,14,28,50.0,145.0,0,5.2,5.18,65.3,4,30,133.0,1,4.4,62,278.0,4.48,3,3,1,1,4,172.0,12,7,1,20,2,11,1,1,2,10.0,1,0,1,26:56,34,cin
2006,16,2006-12-24,6,0,DEN,L,23,0,21,40,52.5,194.0,2,4.9,3.6,61.9,2,34,149.0,1,4.4,76,343.0,4.51,1,1,2,2,5,229.0,13,10,0,23,6,15,1,1,8,46.0,2,2,4,30:09,24,cin
2006,17,2006-12-31,6,1,PIT,L,17,1,20,38,52.6,251.0,2,6.6,7.66,91.0,0,16,44.0,0,2.8,54,295.0,5.46,2,1,2,2,6,302.0,9,3,3,15,5,13,0,0,6,40.0,0,0,0,20:52,23,cin
2007,1,2007-09-10,0,1,BAL,W,27,0,20,32,62.5,181.0,2,5.7,6.91,98.6,1,23,55.0,0,2.4,56,236.0,4.21,3,2,1,1,7,314.0,9,3,1,13,3,13,0,0,5,41.0,2,0,2,27:39,20,cin
2007,2,2007-09-16,6,0,CLE,L,45,0,33,50,66.0,394.0,6,7.9,8.48,112.8,1,26,137.0,0,5.3,77,531.0,6.9,1,1,6,6,3,117.0,24,6,3,33,5,11,1,1,3,15.0,1,2,3,31:20,51,cin
2007,3,2007-09-23,6,0,SEA,L,21,0,27,43,62.8,328.0,1,7.6,6.0,74.6,2,30,84.0,1,2.8,75,412.0,5.49,2,2,1,1,4,163.0,16,6,2,24,11,18,0,0,10,72.0,2,2,4,33:22,24,cin
