Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,NOR,L,14,0,16,27,59.3,101.0,1,3.7,1.15,48.5,5,22,85.0,1,3.9,54,186.0,3.44,0,0,2,2,6,265.0,6,6,3,15,5,12,0,0,4,35.0,1,2,3,27:14,19,cle
2006,2,2006-09-17,6,0,CIN,L,17,0,20,33,60.6,244.0,0,7.4,4.67,58.1,0,20,57.0,2,2.9,53,301.0,5.68,1,1,2,2,6,261.0,8,6,3,17,2,10,0,1,2,27.0,1,2,3,25:55,34,cle
2006,3,2006-09-24,6,1,BAL,L,14,0,21,33,63.6,250.0,1,7.6,6.82,84.2,7,19,38.0,1,2.0,59,288.0,4.88,0,0,2,2,8,358.0,12,4,1,17,6,14,0,0,2,17.0,1,1,2,28:09,15,cle
2006,4,2006-10-01,6,0,OAK,W,24,0,22,32,68.8,179.0,3,5.6,4.66,87.9,2,35,104.0,0,3.0,69,283.0,4.1,2,1,3,3,2,79.0,12,6,3,21,8,15,2,2,4,37.0,1,2,3,37:06,21,cle
2006,5,2006-10-08,6,0,CAR,L,12,0,26,43,60.5,157.0,0,3.7,1.56,48.3,2,23,91.0,0,4.0,68,248.0,3.65,4,4,0,0,7,330.0,10,5,2,17,2,14,0,0,7,70.0,1,2,3,31:15,20,cle
2006,7,2006-10-22,6,1,DEN,L,7,0,19,33,57.6,131.0,1,4.0,3.21,64.1,5,13,34.0,0,2.6,51,165.0,3.24,0,0,1,1,6,243.0,9,1,0,10,1,11,0,3,2,10.0,2,1,3,22:45,17,cle
2006,8,2006-10-29,6,1,NYJ,W,20,0,15,22,68.2,120.0,1,5.5,4.32,77.8,3,39,147.0,1,3.8,64,267.0,4.17,3,2,2,2,5,242.0,8,7,1,16,7,17,0,0,3,42.0,0,1,1,35:11,13,cle
2006,9,2006-11-05,6,0,SDG,L,25,0,26,44,59.1,209.0,1,4.8,4.18,69.2,5,27,84.0,0,3.1,76,293.0,3.86,6,6,1,1,4,168.0,12,4,7,23,7,17,0,0,6,50.0,1,1,2,32:54,32,cle
2006,10,2006-11-12,6,0,ATL,W,17,0,16,22,72.7,145.0,1,6.6,7.5,105.3,5,27,91.0,1,3.4,54,236.0,4.37,1,1,2,2,10,462.0,5,3,1,9,2,14,1,1,7,52.0,2,0,2,31:38,13,cle
2006,11,2006-11-19,6,1,PIT,L,20,0,17,27,63.0,203.0,0,7.5,7.52,85.9,5,29,99.0,0,3.4,61,302.0,4.95,3,2,2,2,3,123.0,10,5,0,15,7,15,1,1,7,57.0,2,0,2,32:13,24,cle
