Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,NYG,W,26,0,25,41,61.0,272.0,1,6.6,6.02,78.5,1,23,55.0,1,2.4,65,327.0,5.03,4,4,2,2,2,102.0,17,4,1,22,11,16,0,0,3,20.0,0,1,1,29:57,21,clt
2006,2,2006-09-17,6,1,HOU,W,43,0,26,38,68.4,390.0,3,10.3,11.84,128.2,2,35,125.0,2,3.6,75,515.0,6.87,3,3,5,4,1,45.0,21,9,4,34,9,12,0,0,7,60.0,1,0,1,34:56,24,clt
2006,3,2006-09-24,6,1,JAX,W,21,0,14,31,45.2,209.0,1,6.7,7.39,78.6,2,20,63.0,1,3.2,53,272.0,5.13,0,0,3,3,7,303.0,10,4,0,14,6,13,0,0,4,35.0,0,0,0,20:36,14,clt
2006,4,2006-10-01,6,0,NYJ,W,31,0,21,30,70.0,192.0,1,6.4,7.07,98.2,2,36,160.0,3,4.4,68,352.0,5.18,1,1,4,4,4,186.0,14,11,1,26,7,12,0,0,10,64.0,0,0,0,28:03,28,clt
2006,5,2006-10-08,6,1,TEN,W,14,0,20,31,64.5,166.0,2,5.4,5.19,86.2,0,34,154.0,0,4.5,65,320.0,4.92,0,0,2,2,6,278.0,10,10,0,20,5,12,0,0,5,45.0,1,1,2,33:55,13,clt
2006,7,2006-10-22,6,1,WAS,W,36,0,25,35,71.4,342.0,4,9.8,12.06,140.4,0,25,110.0,0,4.4,60,452.0,7.53,3,3,3,3,2,94.0,18,6,1,25,5,10,0,0,3,27.0,0,0,0,29:06,22,clt
2006,8,2006-10-29,6,0,DEN,W,34,0,32,39,82.1,345.0,3,8.8,10.38,129.2,0,21,92.0,0,4.4,60,437.0,7.28,4,4,2,2,1,33.0,18,5,0,23,7,11,0,0,5,55.0,0,0,0,28:57,31,clt
2006,9,2006-11-05,6,0,NWE,W,27,0,20,36,55.6,301.0,2,8.4,8.22,90.2,3,25,53.0,1,2.1,64,354.0,5.53,4,2,3,3,1,29.0,17,2,5,24,5,10,0,0,7,68.0,1,1,2,29:26,20,clt
2006,10,2006-11-12,6,1,BUF,W,17,0,27,39,69.2,236.0,1,6.1,6.56,93.5,0,29,148.0,1,5.1,68,384.0,5.65,1,1,2,2,3,142.0,14,11,1,26,3,8,0,0,6,54.0,2,0,2,33:48,16,clt
2006,11,2006-11-19,6,0,DAL,L,14,0,20,39,51.3,247.0,2,6.3,5.05,66.9,2,23,88.0,0,3.8,64,335.0,5.23,0,0,2,2,3,146.0,12,7,3,22,7,13,0,1,5,35.0,2,2,4,26:18,21,clt
