Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,SFO,W,34,0,23,37,62.2,283.0,3,7.6,9.27,112.8,3,29,84.0,1,2.9,69,367.0,5.32,2,2,4,4,4,173.0,17,5,1,23,7,14,0,0,11,85.0,1,0,1,35:02,27,crd
2006,2,2006-09-17,6,0,SEA,L,10,0,24,38,63.2,191.0,1,5.0,4.37,73.5,5,20,65.0,0,3.3,63,256.0,4.06,3,1,1,1,6,238.0,11,3,3,17,6,14,0,0,11,66.0,1,1,2,28:07,21,crd
2006,3,2006-09-24,6,1,STL,L,14,0,19,28,67.9,246.0,1,8.8,4.68,67.6,1,28,101.0,1,3.6,57,347.0,6.09,0,0,2,2,3,147.0,11,8,1,20,6,12,1,1,5,52.0,1,3,4,29:53,16,crd
2006,4,2006-10-01,6,0,ATL,L,10,0,17,29,58.6,161.0,0,5.6,2.45,45.3,4,24,26.0,0,1.1,57,187.0,3.28,1,1,1,1,5,203.0,8,3,3,14,4,12,1,1,4,19.0,2,2,4,28:33,32,crd
2006,5,2006-10-08,6,1,KAN,L,20,0,22,35,62.9,222.0,2,6.3,6.2,88.0,4,26,76.0,0,2.9,65,298.0,4.58,3,2,2,2,8,299.0,12,5,1,18,3,14,1,1,7,50.0,0,1,1,30:29,23,crd
2006,6,2006-10-16,0,1,CHI,L,23,0,24,42,57.1,220.0,2,5.2,6.19,87.4,1,38,66.0,0,1.7,81,286.0,3.53,5,3,2,2,8,379.0,12,4,1,17,6,20,0,0,9,65.0,2,0,2,39:43,24,crd
2006,7,2006-10-22,6,0,OAK,L,9,0,13,32,40.6,174.0,0,5.4,2.63,32.6,3,20,50.0,0,2.5,55,224.0,4.07,4,3,0,0,4,174.0,8,1,0,9,1,11,0,1,4,25.0,0,2,2,22:59,22,crd
2006,8,2006-10-29,6,0,GNB,L,14,0,14,35,40.0,132.0,1,3.8,3.06,48.7,4,25,86.0,1,3.4,64,218.0,3.41,0,0,2,2,6,282.0,11,7,2,20,6,14,1,2,9,68.0,0,1,1,26:21,31,crd
2006,10,2006-11-12,6,1,DAL,L,10,0,20,38,52.6,209.0,0,5.5,3.13,46.9,1,21,86.0,1,4.1,60,295.0,4.92,1,1,1,1,3,107.0,10,5,2,17,7,15,2,3,5,35.0,1,2,3,27:45,27,crd
2006,11,2006-11-19,6,1,DET,W,17,0,19,29,65.5,228.0,1,7.9,8.55,100.9,1,29,110.0,1,3.8,59,338.0,5.73,1,1,2,2,5,197.0,11,7,2,20,5,12,0,0,4,34.0,0,0,0,30:43,10,crd
