Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,JAX,L,17,0,16,33,48.5,235.0,1,7.1,3.64,44.4,2,22,88.0,1,4.0,57,323.0,5.67,2,1,2,2,5,266.0,9,4,1,14,6,15,1,1,9,93.0,0,3,3,25:48,24,dal
2006,2,2006-09-17,6,1,WAS,W,27,0,19,38,50.0,229.0,2,6.0,7.08,86.4,1,31,138.0,1,4.5,70,367.0,5.24,2,2,3,3,7,343.0,11,6,5,22,6,16,1,1,9,90.0,1,0,1,31:55,10,dal
2006,4,2006-10-01,6,0,TEN,W,45,0,13,20,65.0,179.0,2,9.0,8.7,106.0,0,41,217.0,3,5.3,61,396.0,6.49,2,1,6,6,1,40.0,10,11,2,23,5,10,1,1,5,61.0,0,1,1,32:34,14,dal
2006,5,2006-10-08,6,0,PHI,L,24,0,18,38,47.4,174.0,0,4.6,1.03,27.7,7,39,146.0,2,3.7,84,320.0,3.81,1,1,3,3,6,315.0,11,11,1,23,7,18,1,2,7,49.0,2,3,5,36:59,38,dal
2006,6,2006-10-15,6,1,HOU,W,34,0,19,30,63.3,184.0,3,6.1,8.13,113.7,2,37,170.0,1,4.6,69,354.0,5.13,2,2,4,4,4,227.0,11,8,2,21,8,16,1,2,9,73.0,0,0,0,35:14,6,dal
2006,7,2006-10-23,0,1,NYG,L,22,0,21,37,56.8,310.0,2,8.4,4.59,62.7,6,21,69.0,1,3.3,64,379.0,5.92,0,0,2,2,3,123.0,14,5,2,21,7,11,0,1,1,5.0,0,4,4,27:31,36,dal
2006,8,2006-10-29,6,0,CAR,W,35,0,24,36,66.7,258.0,1,7.2,6.47,85.2,2,38,156.0,3,4.1,76,414.0,5.45,3,2,3,3,4,193.0,15,10,2,27,6,14,0,0,9,86.0,0,1,1,38:16,14,dal
2006,9,2006-11-05,6,0,WAS,L,19,0,24,36,66.7,267.0,2,7.4,8.53,107.1,2,29,111.0,0,3.8,67,378.0,5.64,3,2,1,1,5,215.0,13,6,2,21,10,16,0,0,11,153.0,0,0,0,31:28,22,dal
2006,10,2006-11-12,6,0,ARI,W,27,0,20,29,69.0,308.0,2,10.6,12.0,126.8,0,34,126.0,1,3.7,63,434.0,6.89,2,2,3,3,2,116.0,13,7,0,20,9,14,0,2,8,69.0,0,0,0,32:15,10,dal
2006,11,2006-11-19,6,1,IND,W,21,0,19,23,82.6,225.0,0,9.8,7.83,89.3,1,36,117.0,2,3.3,60,342.0,5.7,2,0,3,3,3,140.0,12,9,3,24,4,11,1,1,7,53.0,1,1,2,33:42,14,dal
