Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,STL,L,10,0,13,26,50.0,98.0,0,3.8,-1.42,19.9,4,25,161.0,1,6.4,55,259.0,4.71,1,1,1,1,4,170.0,7,9,1,17,5,12,1,1,4,30.0,2,3,5,27:11,18,den
2006,2,2006-09-17,6,1,KAN,W,9,1,16,30,53.3,173.0,0,5.8,4.27,56.7,0,36,145.0,0,4.0,66,318.0,4.82,4,3,0,0,5,260.0,9,8,1,18,3,14,1,1,0,0.0,0,1,1,34:23,6,den
2006,3,2006-09-24,6,0,NWE,W,17,0,15,30,50.0,256.0,2,8.5,9.87,101.5,0,34,144.0,0,4.2,64,400.0,6.25,1,1,2,2,8,329.0,10,6,3,19,7,16,0,0,7,52.0,0,0,0,31:45,7,den
2006,5,2006-10-09,0,1,BAL,W,13,0,13,24,54.2,106.0,1,4.4,3.38,62.2,1,28,116.0,0,4.1,53,222.0,4.19,2,2,1,1,4,169.0,8,5,0,13,6,12,0,0,3,25.0,1,1,2,28:22,3,den
2006,6,2006-10-15,6,1,OAK,W,13,0,11,18,61.1,91.0,0,5.1,5.06,74.1,2,31,144.0,1,4.6,51,235.0,4.61,2,2,1,1,4,151.0,6,7,2,15,5,11,0,0,5,39.0,1,0,1,28:24,3,den
2006,7,2006-10-22,6,0,CLE,W,17,0,20,41,48.8,197.0,1,4.8,3.1,50.6,2,37,150.0,1,4.1,80,347.0,4.34,2,1,2,2,6,210.0,15,7,0,22,9,20,1,1,3,30.0,0,2,2,37:15,7,den
2006,8,2006-10-29,6,1,IND,L,31,0,13,21,61.9,169.0,1,8.0,9.0,103.1,1,36,227.0,3,6.3,58,396.0,6.83,1,1,4,4,2,100.0,9,13,2,24,7,11,0,0,3,24.0,1,0,1,31:03,34,den
2006,9,2006-11-05,6,0,PIT,W,31,0,16,27,59.3,221.0,3,8.2,10.41,122.6,1,23,115.0,1,5.0,51,336.0,6.59,1,1,4,4,7,296.0,8,3,2,13,3,12,0,0,8,60.0,0,0,0,25:27,20,den
2006,10,2006-11-12,6,0,OAK,W,17,0,20,31,64.5,201.0,2,6.5,3.42,64.8,2,26,63.0,0,2.4,59,264.0,4.47,1,1,2,2,7,235.0,10,3,0,13,3,14,1,2,4,15.0,0,3,3,30:15,13,den
2006,11,2006-11-19,6,1,SDG,L,27,0,13,28,46.4,168.0,0,6.0,4.39,50.9,2,35,158.0,2,4.5,65,326.0,5.02,2,2,3,3,4,191.0,9,9,2,20,6,15,2,3,6,60.0,0,1,1,30:49,35,den
