Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,SEA,L,6,0,21,37,56.8,213.0,0,5.8,5.76,73.4,3,17,38.0,0,2.2,57,251.0,4.4,3,2,0,0,6,258.0,9,4,2,15,5,14,0,0,7,61.0,1,0,1,27:35,9,det
2006,2,2006-09-17,6,0,CHI,L,7,0,23,30,76.7,199.0,0,6.6,6.63,93.6,6,14,46.0,1,3.3,50,245.0,4.9,1,0,1,1,6,258.0,11,2,2,15,1,9,1,1,14,104.0,3,0,3,27:00,34,det
2006,3,2006-09-24,6,1,GNB,L,24,0,25,40,62.5,319.0,2,8.0,7.85,93.6,3,23,105.0,1,4.6,66,424.0,6.42,1,1,3,3,5,214.0,15,5,3,23,3,12,1,3,6,46.0,0,1,1,29:20,31,det
2006,4,2006-10-01,6,0,STL,L,34,0,29,43,67.4,277.0,2,6.4,5.28,81.2,2,21,93.0,2,4.4,66,370.0,5.61,2,2,4,4,3,126.0,16,3,3,21,5,12,0,1,4,70.0,1,2,3,29:54,41,det
2006,5,2006-10-08,6,0,MIN,L,17,0,23,42,54.8,201.0,1,4.8,2.05,45.8,5,11,16.0,1,1.5,58,217.0,3.74,1,1,2,2,6,296.0,11,2,0,13,3,12,1,2,7,50.0,1,3,4,23:21,26,det
2006,6,2006-10-15,6,1,BUF,W,20,0,24,36,66.7,262.0,1,7.3,6.58,85.6,3,27,135.0,1,5.0,66,397.0,6.02,3,2,2,2,5,221.0,15,5,1,21,3,12,0,1,6,40.0,0,1,1,31:41,17,det
2006,7,2006-10-22,6,0,NYJ,L,24,0,22,36,61.1,261.0,3,7.3,6.42,87.8,1,22,125.0,0,5.7,59,386.0,6.54,1,1,3,3,2,107.0,16,6,0,22,4,10,2,2,9,60.0,0,2,2,25:46,31,det
2006,9,2006-11-05,6,1,ATL,W,30,0,20,32,62.5,308.0,1,9.6,8.84,91.7,3,27,127.0,2,4.7,62,435.0,7.02,3,3,3,3,2,83.0,15,4,1,20,6,12,0,1,10,71.0,0,1,1,32:56,14,det
2006,10,2006-11-12,6,1,SFO,L,13,0,19,30,63.3,180.0,1,6.0,5.17,77.1,3,17,71.0,0,4.2,50,251.0,5.02,2,2,1,1,3,121.0,9,4,3,16,3,9,0,1,5,40.0,3,1,4,21:11,19,det
2006,11,2006-11-19,6,0,ARI,L,10,0,23,38,60.5,213.0,0,5.6,4.42,64.9,4,20,68.0,1,3.4,62,281.0,4.53,2,1,1,1,5,220.0,13,4,2,19,4,12,0,0,4,28.0,0,1,1,29:17,17,det
2006,12,2006-11-23,3,1,MIA,L,10,0,22,40,55.0,199.0,1,5.0,4.35,66.6,8,10,21.0,0,2.1,58,220.0,3.79,1,1,1,1,6,263.0,12,0,1,13,2,12,0,2,7,55.0,1,1,2,25:56,27,det
2006,13,2006-12-03,6,0,NWE,L,21,0,22,38,57.9,284.0,1,7.5,4.45,57.3,5,22,77.0,0,3.5,65,361.0,5.55,4,4,1,1,1,44.0,13,5,4,22,5,12,0,0,7,70.0,2,3,5,30:43,28,det
2006,14,2006-12-10,6,1,MIN,L,20,0,28,41,68.3,283.0,1,6.9,4.1,65.4,3,10,-3.0,0,-0.3,54,280.0,5.19,2,2,2,2,1,42.0,16,0,4,20,4,10,1,2,6,50.0,3,3,6,24:29,30,det
2006,15,2006-12-17,6,0,GNB,L,9,0,16,26,61.5,84.0,0,3.2,-0.23,34.8,6,20,58.0,0,2.9,52,142.0,2.73,3,3,0,0,5,240.0,6,3,1,10,2,12,0,2,6,37.0,1,2,3,26:26,17,det
2006,16,2006-12-24,6,1,CHI,L,21,0,27,45,60.0,260.0,3,5.8,7.11,98.4,3,18,67.0,0,3.7,66,327.0,4.95,0,0,3,3,7,335.0,15,2,1,18,3,13,2,3,11,92.0,1,0,1,25:17,26,det
2006,17,2006-12-31,6,0,DAL,W,39,0,28,42,66.7,277.0,4,6.6,7.43,106.9,5,25,85.0,0,3.4,72,362.0,5.03,4,4,3,3,3,139.0,16,4,2,22,9,17,1,1,7,65.0,0,1,1,32:07,31,det
2007,1,2007-09-09,6,0,OAK,W,36,0,27,36,75.0,284.0,3,7.9,7.06,102.1,2,21,108.0,1,5.1,59,392.0,6.64,3,3,3,3,3,132.0,16,4,1,21,6,13,0,0,6,35.0,0,2,2,26:54,21,det
