Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,CHI,L,0,0,16,30,53.3,164.0,0,5.5,2.47,41.5,3,23,103.0,0,4.5,56,267.0,4.77,1,0,0,0,6,270.0,8,6,0,14,1,11,2,3,5,45.0,1,2,3,25:55,26,gnb
2006,2,2006-09-17,6,1,NOR,L,27,0,31,55,56.4,322.0,3,5.9,6.13,84.1,2,20,63.0,0,3.2,77,385.0,5.0,2,2,3,3,6,286.0,18,2,1,21,9,18,0,1,5,31.0,1,1,2,31:56,34,gnb
2006,3,2006-09-24,6,0,DET,W,31,0,25,36,69.4,340.0,3,9.4,11.11,127.1,0,27,60.0,0,2.2,63,400.0,6.35,1,1,4,4,5,248.0,15,2,1,18,7,15,0,0,5,30.0,2,0,2,30:40,24,gnb
2006,4,2006-10-02,0,0,PHI,L,9,0,24,47,51.1,219.0,0,4.7,2.74,46.3,0,28,99.0,0,3.5,75,318.0,4.24,4,3,0,0,5,233.0,9,8,3,20,4,14,0,1,7,62.0,1,2,3,32:43,31,gnb
2006,5,2006-10-08,6,1,STL,L,20,0,22,39,56.4,215.0,1,5.5,6.03,80.6,2,26,121.0,1,4.7,67,336.0,5.01,3,2,2,2,4,195.0,10,6,4,20,9,16,0,0,4,41.0,2,0,2,29:17,23,gnb
2006,7,2006-10-22,6,0,MIA,W,34,0,19,35,54.3,191.0,2,5.5,6.6,89.1,2,29,155.0,1,5.3,66,346.0,5.24,2,2,4,4,6,262.0,10,5,4,19,4,15,2,2,9,74.0,1,0,1,27:59,24,gnb
2006,8,2006-10-29,6,1,ARI,W,31,0,17,25,68.0,180.0,1,7.2,8.0,102.1,0,39,203.0,3,5.2,64,383.0,5.98,1,1,4,4,2,107.0,9,16,3,28,2,7,1,2,10,65.0,0,0,0,33:39,14,gnb
2006,9,2006-11-05,6,0,BUF,L,10,0,28,47,59.6,280.0,1,6.0,4.47,65.9,2,30,147.0,0,4.9,79,427.0,5.41,1,1,1,1,6,233.0,19,7,0,26,7,16,0,1,5,36.0,2,2,4,34:21,24,gnb
2006,10,2006-11-12,6,0,MIN,W,23,0,24,42,57.1,347.0,2,8.3,9.21,100.0,0,26,47.0,0,1.8,68,394.0,5.79,3,3,2,2,7,359.0,13,2,1,16,9,19,0,0,5,34.0,0,0,0,33:39,17,gnb
2006,11,2006-11-19,6,1,NWE,L,0,0,9,27,33.3,76.0,0,2.8,2.81,42.4,5,16,44.0,0,2.8,48,120.0,2.5,1,0,0,0,10,459.0,3,2,0,5,1,13,0,1,3,32.0,1,0,1,20:50,35,gnb
2006,12,2006-11-27,0,0,SEA,L,24,0,22,36,61.1,265.0,1,7.4,4.17,58.2,1,20,51.0,1,2.6,57,316.0,5.54,2,1,3,3,5,174.0,12,2,0,14,6,14,0,0,10,61.0,1,3,4,23:53,34,gnb
2006,13,2006-12-03,6,1,NYJ,L,10,0,24,47,51.1,202.0,1,4.3,2.81,51.9,2,23,149.0,0,6.5,72,351.0,4.88,2,1,1,1,2,79.0,12,11,0,23,4,13,2,5,4,29.0,1,2,3,28:33,38,gnb
2006,14,2006-12-10,6,0,SFO,W,30,0,22,34,64.7,281.0,2,8.3,9.44,110.0,1,34,139.0,1,4.1,69,420.0,6.09,3,3,3,3,5,208.0,12,7,0,19,6,15,0,1,2,10.0,0,0,0,33:31,19,gnb
2006,15,2006-12-17,6,1,DET,W,17,0,20,37,54.1,164.0,0,4.4,0.78,31.8,1,32,139.0,2,4.3,70,303.0,4.33,1,1,2,2,5,210.0,9,8,2,19,7,15,0,0,9,69.0,1,3,4,33:34,9,gnb
2006,16,2006-12-21,3,1,MIN,W,9,0,26,51,51.0,273.0,0,5.4,3.59,50.5,1,24,46.0,0,1.9,76,319.0,4.2,5,3,0,0,5,225.0,12,4,3,19,7,19,0,0,4,35.0,1,2,3,34:39,7,gnb
2006,17,2006-12-31,6,0,CHI,W,26,0,21,42,50.0,276.0,1,6.6,5.98,69.1,2,34,97.0,0,2.9,78,373.0,4.78,3,2,3,2,5,200.0,14,5,1,20,11,20,0,0,3,35.0,0,1,1,36:56,7,gnb
2007,1,2007-09-09,6,1,PHI,W,16,0,23,42,54.8,169.0,0,4.0,2.95,54.6,4,17,46.0,0,2.7,63,215.0,3.41,3,3,1,1,7,286.0,9,1,0,10,6,18,0,0,6,35.0,1,1,2,28:12,13,gnb
2007,2,2007-09-16,6,0,NYG,W,35,0,29,38,76.3,285.0,3,7.5,7.89,112.3,1,29,83.0,2,2.9,68,368.0,5.41,1,0,5,5,3,108.0,19,3,3,25,6,11,0,0,8,63.0,0,1,1,34:26,13,gnb
2007,3,2007-09-23,6,1,SDG,W,31,0,28,45,62.2,363.0,3,8.1,9.4,109.8,2,13,42.0,1,3.2,60,405.0,6.75,1,1,4,4,3,132.0,15,3,2,20,5,11,0,2,5,38.0,0,0,0,27:45,24,gnb
2007,4,2007-09-30,6,0,MIN,W,23,0,32,45,71.1,338.0,2,7.5,8.4,107.5,1,20,46.0,0,2.3,66,384.0,5.82,3,3,2,2,4,196.0,15,4,1,20,7,14,1,1,6,40.0,2,0,2,30:58,16,gnb
2007,5,2007-10-07,6,1,CHI,L,20,0,29,40,72.5,318.0,1,8.0,6.2,83.1,1,22,121.0,1,5.5,63,439.0,6.97,2,2,2,2,5,240.0,12,5,1,18,6,14,0,0,12,93.0,3,2,5,30:30,27,gnb
2007,6,2007-10-14,6,1,WAS,W,17,0,19,37,51.4,169.0,0,4.6,2.14,41.4,2,20,56.0,1,2.8,59,225.0,3.81,3,1,2,2,8,337.0,6,4,3,13,3,13,0,0,4,35.0,0,2,2,27:12,14,gnb
2007,8,2007-10-29,0,0,DEN,W,19,1,21,27,77.8,325.0,2,12.0,13.52,141.5,1,27,105.0,0,3.9,55,430.0,7.82,2,2,1,1,4,209.0,13,4,3,20,4,10,0,0,13,103.0,0,0,0,30:41,13,gnb
2007,9,2007-11-04,6,0,KAN,W,33,0,24,34,70.6,354.0,2,10.4,8.94,99.4,1,27,78.0,0,2.9,62,432.0,6.97,5,4,3,3,2,115.0,17,1,1,19,6,14,0,0,13,112.0,0,2,2,32:07,22,gnb
2007,10,2007-11-11,6,1,MIN,W,34,0,35,48,72.9,368.0,3,7.7,8.92,115.6,0,32,120.0,1,3.8,80,488.0,6.1,2,2,4,4,3,152.0,22,5,2,29,11,17,2,2,4,35.0,0,0,0,40:40,0,gnb
2007,11,2007-11-18,6,1,CAR,W,31,0,22,30,73.3,214.0,3,7.1,9.13,126.2,1,27,103.0,0,3.8,58,317.0,5.47,3,1,4,4,4,142.0,12,5,1,18,5,12,0,0,6,75.0,0,0,0,31:11,17,gnb
2007,12,2007-11-22,3,0,DET,W,37,0,31,41,75.6,381.0,3,9.3,10.76,128.2,0,17,100.0,1,5.9,58,481.0,8.29,3,3,4,4,4,174.0,19,3,3,25,1,7,0,0,9,81.0,1,0,1,25:41,26,gnb
2007,13,2007-11-29,3,0,DAL,L,27,0,23,40,57.5,233.0,1,5.8,4.08,61.8,3,19,124.0,2,6.5,62,357.0,5.76,2,2,3,3,3,149.0,11,8,1,20,5,12,0,1,9,142.0,0,2,2,29:11,37,gnb
2007,14,2007-12-09,6,1,OAK,W,38,0,15,23,65.2,266.0,2,11.6,11.35,115.5,0,36,179.0,1,5.0,59,445.0,7.54,3,1,5,5,2,73.0,10,9,2,21,6,12,0,1,9,84.0,0,1,1,33:14,7,gnb
2007,15,2007-12-16,6,0,STL,W,33,0,19,30,63.3,225.0,2,7.5,5.83,80.6,0,23,52.0,1,2.3,53,277.0,5.23,4,4,3,3,1,60.0,10,2,5,17,5,11,0,0,6,35.0,1,2,3,23:36,14,gnb
2007,16,2007-12-23,6,0,CHI,L,7,0,17,32,53.1,149.0,0,4.7,1.84,39.7,1,21,125.0,1,6.0,54,274.0,5.07,0,0,1,1,5,95.0,9,4,0,13,3,12,1,3,1,10.0,0,2,2,26:27,35,gnb
2007,17,2007-12-30,6,1,DET,W,34,0,16,26,61.5,177.0,3,6.8,9.12,120.2,1,38,217.0,1,5.7,65,394.0,6.06,2,2,4,4,4,196.0,11,8,0,19,7,14,1,1,2,25.0,1,0,1,33:16,13,gnb
2008,1,2008-09-08,0,1,MIN,W,24,0,18,22,81.8,178.0,1,8.1,9.0,115.5,0,27,139.0,1,5.1,49,317.0,6.47,2,1,3,3,5,226.0,6,8,1,15,4,10,0,0,12,118.0,0,0,0,27:59,19,gnb
2008,2,2008-09-14,6,0,DET,W,48,0,24,38,63.2,324.0,3,8.5,10.11,116.6,1,30,123.0,1,4.1,69,447.0,6.48,2,2,6,6,4,192.0,13,6,0,19,9,16,0,1,8,62.0,1,0,1,35:28,25,gnb
2008,3,2008-09-21,6,1,DAL,L,16,0,22,39,56.4,250.0,0,6.4,6.41,75.8,5,21,84.0,1,4.0,65,334.0,5.14,3,3,1,1,5,245.0,12,4,1,17,4,14,1,2,8,68.0,1,0,1,27:48,27,gnb
