Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,PHI,L,10,0,18,27,66.7,171.0,1,6.3,7.07,96.4,5,20,70.0,0,3.5,52,241.0,4.63,1,1,1,1,5,223.0,9,7,3,19,3,11,1,2,3,20.0,0,0,0,27:09,24,htx
2006,2,2006-09-17,6,0,IND,L,24,0,22,26,84.6,191.0,3,7.3,9.65,135.7,4,23,108.0,0,4.7,53,299.0,5.64,1,1,3,3,4,165.0,13,3,2,18,4,9,0,0,8,58.0,2,0,2,25:04,43,htx
2006,3,2006-09-24,6,1,WAS,L,15,0,19,29,65.5,200.0,2,6.9,6.72,94.0,1,18,61.0,0,3.4,48,261.0,5.44,0,0,1,1,4,158.0,11,4,2,17,3,7,0,0,7,57.0,1,1,2,21:33,31,htx
2006,4,2006-10-01,6,1,MIA,W,17,0,22,29,75.9,211.0,1,7.3,6.41,92.7,5,33,65.0,1,2.0,67,276.0,4.12,1,1,2,2,4,186.0,13,5,1,19,9,16,0,1,2,15.0,1,1,2,33:55,15,htx
2006,6,2006-10-15,6,0,DAL,L,6,0,23,38,60.5,198.0,0,5.2,2.84,52.3,0,17,34.0,0,2.0,55,232.0,4.22,2,2,0,0,6,234.0,9,1,2,12,3,13,1,1,7,55.0,1,2,3,24:46,34,htx
2006,7,2006-10-22,6,1,JAX,W,27,0,25,34,73.5,218.0,2,6.4,7.59,109.7,1,34,131.0,1,3.9,69,349.0,5.06,3,2,3,3,5,217.0,10,10,1,21,5,14,0,0,3,17.0,0,0,0,33:30,7,htx
2006,8,2006-10-29,6,0,TEN,L,22,0,33,46,71.7,279.0,3,6.1,5.41,90.8,4,26,148.0,0,5.7,76,427.0,5.62,1,1,2,1,3,131.0,16,8,2,26,4,12,2,2,10,74.0,3,2,5,36:21,28,htx
2006,9,2006-11-05,6,0,NYG,L,10,0,21,30,70.0,170.0,0,5.7,5.67,84.0,1,26,81.0,1,3.1,57,251.0,4.4,2,1,1,1,3,93.0,10,5,2,17,6,13,1,1,8,65.0,1,0,1,28:55,14,htx
2006,10,2006-11-12,6,0,JAX,W,13,0,17,35,48.6,158.0,0,4.5,4.51,61.4,3,42,148.0,1,3.5,80,306.0,3.83,4,2,1,1,5,171.0,9,9,3,21,8,19,1,1,6,51.0,0,0,0,37:33,10,htx
2006,11,2006-11-19,6,1,BUF,L,21,0,25,30,83.3,206.0,0,6.9,5.37,81.4,3,26,188.0,2,7.2,59,394.0,6.68,0,0,3,3,6,245.0,11,9,0,20,6,13,1,1,5,40.0,1,1,2,32:25,24,htx
2006,12,2006-11-26,6,0,NYJ,L,11,0,39,54,72.2,309.0,1,5.7,5.26,84.6,4,14,25.0,0,1.8,72,334.0,4.64,2,1,0,0,5,241.0,18,2,1,21,7,15,0,1,7,77.0,0,1,1,30:51,26,htx
2006,13,2006-12-03,6,0,OAK,W,23,0,7,14,50.0,-5.0,0,-0.4,-0.36,56.2,5,32,129.0,1,4.0,51,124.0,2.43,4,3,2,2,5,202.0,2,8,0,10,2,12,0,0,5,46.0,2,0,2,26:28,14,htx
2006,14,2006-12-10,6,1,TEN,L,20,1,17,23,73.9,133.0,0,5.8,5.78,87.8,2,30,107.0,2,3.6,55,240.0,4.36,2,2,2,2,6,251.0,6,8,1,15,2,11,1,1,7,64.0,0,0,0,29:09,26,htx
2006,15,2006-12-17,6,0,NWE,L,7,0,16,28,57.1,93.0,0,3.3,-3.11,24.0,4,22,105.0,1,4.8,54,198.0,3.67,0,0,1,1,7,295.0,7,6,0,13,3,11,0,1,4,66.0,0,4,4,24:07,40,htx
2006,16,2006-12-24,6,1,IND,W,27,0,16,23,69.6,163.0,1,7.1,7.96,104.1,0,42,191.0,2,4.5,65,354.0,5.45,2,2,3,3,2,80.0,8,14,0,22,10,14,1,1,4,25.0,0,0,0,35:59,24,htx
2006,17,2006-12-31,6,1,CLE,W,14,0,9,15,60.0,83.0,0,5.5,2.53,47.4,1,26,94.0,1,3.6,42,177.0,4.21,0,0,2,2,6,271.0,4,7,0,11,2,8,0,0,4,31.0,0,1,1,21:54,6,htx
2007,1,2007-09-09,6,1,KAN,W,20,0,16,22,72.7,206.0,1,9.4,8.23,97.9,2,31,109.0,0,3.5,55,315.0,5.73,2,2,2,2,3,165.0,7,6,0,13,9,14,0,0,6,45.0,1,1,2,32:50,3,htx
2007,2,2007-09-16,6,0,CAR,W,34,0,20,28,71.4,227.0,2,8.1,9.54,119.2,0,36,119.0,1,3.3,64,346.0,5.41,2,2,4,4,5,196.0,11,8,0,19,6,14,1,1,5,40.0,1,0,1,34:48,21,htx
2007,3,2007-09-23,6,1,IND,L,24,0,27,33,81.8,214.0,1,6.5,4.36,78.5,3,17,40.0,1,2.4,53,254.0,4.79,1,1,3,3,3,110.0,10,5,1,16,5,11,1,1,2,15.0,0,2,2,29:02,30,htx
2007,4,2007-09-30,6,0,ATL,L,16,0,28,40,70.0,311.0,1,7.8,8.28,101.1,1,22,87.0,0,4.0,63,398.0,6.32,4,3,1,1,2,105.0,14,3,1,18,5,13,1,2,7,78.0,2,0,2,25:48,26,htx
2007,5,2007-10-07,6,1,MIA,W,22,0,20,34,58.8,278.0,0,8.2,6.85,72.9,2,28,74.0,1,2.6,64,352.0,5.5,5,5,1,1,1,47.0,12,6,2,20,6,12,1,1,6,67.0,1,1,2,31:10,19,htx
2007,6,2007-10-14,6,0,JAX,L,17,0,30,43,69.8,329.0,1,7.7,7.07,90.2,2,24,61.0,0,2.5,69,390.0,5.65,3,3,0,0,2,89.0,18,5,0,23,2,10,2,2,8,58.0,2,1,3,30:40,37,htx
2007,7,2007-10-21,6,1,TEN,L,36,0,27,44,61.4,294.0,4,6.7,5.43,83.0,2,12,39.0,0,3.3,58,333.0,5.74,0,0,4,4,5,225.0,16,1,1,18,5,12,1,1,4,37.0,3,3,6,23:17,38,htx
2007,8,2007-10-28,6,0,SDG,L,10,0,28,45,62.2,252.0,1,5.6,2.04,47.6,1,29,115.0,0,4.0,75,367.0,4.89,1,1,1,1,4,173.0,13,8,1,22,8,15,0,1,5,31.0,1,4,5,36:32,35,htx
2007,9,2007-11-04,6,0,OAK,W,24,0,11,19,57.9,181.0,1,9.5,8.21,85.6,0,39,178.0,2,4.6,58,359.0,6.19,2,1,3,3,3,84.0,7,10,0,17,7,14,1,1,9,56.0,0,1,1,30:27,17,htx
2007,11,2007-11-18,6,1,NOR,W,23,0,21,33,63.6,287.0,2,8.7,9.91,111.6,1,25,103.0,0,4.1,59,390.0,6.61,3,3,2,2,3,139.0,11,8,0,19,3,11,1,2,3,22.0,2,0,2,28:03,10,htx
2007,12,2007-11-25,6,0,CLE,L,17,0,22,36,61.1,237.0,2,6.6,5.19,75.8,2,18,77.0,0,4.3,56,314.0,5.61,2,1,2,2,4,137.0,13,3,1,17,2,10,0,1,5,26.0,1,2,3,24:37,27,htx
2007,13,2007-12-02,6,0,TEN,L,20,0,20,35,57.1,196.0,1,5.6,4.89,70.7,2,25,119.0,1,4.8,62,315.0,5.08,2,2,2,2,6,249.0,11,6,0,17,4,12,0,0,5,36.0,1,1,2,29:42,28,htx
2007,14,2007-12-09,6,1,TAM,W,28,0,27,36,75.0,186.0,3,5.2,6.83,113.9,3,27,71.0,0,2.6,66,257.0,3.89,0,0,4,4,5,213.0,17,1,0,18,10,17,0,0,5,35.0,2,0,2,35:06,14,htx
2007,15,2007-12-13,3,1,DEN,W,31,0,16,27,59.3,200.0,1,7.4,6.48,79.2,0,31,158.0,3,5.1,58,358.0,6.17,1,1,4,4,3,113.0,10,11,0,21,6,11,0,0,3,15.0,0,1,1,30:26,13,htx
2007,16,2007-12-23,6,0,IND,L,15,0,22,36,61.1,233.0,2,6.5,3.83,63.8,0,19,66.0,0,3.5,55,299.0,5.44,1,0,1,1,4,178.0,12,5,1,18,3,8,1,1,6,55.0,0,3,3,24:15,38,htx
2007,17,2007-12-30,6,1,JAX,W,42,0,11,18,61.1,120.0,1,6.7,5.28,76.2,1,34,170.0,3,5.0,53,290.0,5.47,0,0,6,6,2,73.0,8,10,1,19,5,9,1,1,3,20.0,0,1,1,28:13,28,htx
2008,1,2008-09-07,6,0,PIT,L,17,0,25,33,75.8,159.0,1,4.8,2.7,70.1,5,20,75.0,1,3.8,58,234.0,4.03,1,1,2,2,4,173.0,13,5,2,20,3,10,0,1,5,43.0,1,2,3,28:29,38,htx
2008,3,2008-09-21,6,0,TEN,L,12,0,17,37,45.9,171.0,0,4.6,0.97,25.8,3,28,146.0,1,5.2,68,317.0,4.66,2,2,0,0,4,170.0,8,7,3,18,3,15,2,6,2,10.0,0,3,3,30:41,31,htx
2008,4,2008-09-28,6,0,JAX,L,27,1,29,40,72.5,307.0,3,7.7,9.18,119.5,0,23,79.0,0,3.4,63,386.0,6.13,2,2,3,3,2,87.0,18,4,1,23,9,13,0,0,2,15.0,0,0,0,32:20,30,htx
2008,5,2008-10-05,6,1,IND,L,27,0,21,33,63.6,235.0,1,7.1,6.36,82.3,2,32,156.0,2,4.9,67,391.0,5.84,2,2,3,3,2,87.0,12,9,2,23,6,13,0,0,1,5.0,2,1,3,31:21,31,htx
2008,6,2008-10-12,6,1,MIA,W,29,0,22,42,52.4,371.0,1,8.8,7.17,70.6,1,27,114.0,1,4.2,70,485.0,6.93,3,3,2,2,3,140.0,13,8,2,23,6,15,2,2,1,5.0,2,2,4,32:17,28,htx
2008,7,2008-10-19,6,1,DET,W,28,0,26,31,83.9,254.0,2,8.2,9.48,122.3,3,34,150.0,2,4.4,68,404.0,5.94,0,0,4,4,4,195.0,16,12,1,29,6,11,1,1,5,41.0,1,0,1,40:04,21,htx
2008,8,2008-10-26,6,1,CIN,W,35,0,24,28,85.7,275.0,3,9.8,11.96,143.3,1,31,109.0,1,3.5,60,384.0,6.4,0,0,5,5,2,59.0,17,5,1,23,10,13,0,0,7,55.0,0,0,0,35:11,6,htx
2008,9,2008-11-02,6,0,MIN,L,21,0,32,45,71.1,327.0,2,7.3,6.16,87.9,5,16,62.0,0,3.9,66,389.0,5.89,0,0,3,3,4,161.0,17,3,0,20,7,14,1,2,5,35.0,1,2,3,32:22,28,htx
2008,10,2008-11-09,6,1,BAL,L,13,0,23,38,60.5,280.0,1,7.4,3.16,52.4,2,16,75.0,0,4.7,56,355.0,6.34,2,2,1,1,3,139.0,12,5,2,19,3,8,0,1,10,76.0,0,4,4,23:51,41,htx
2008,11,2008-11-16,6,0,IND,L,27,0,13,18,72.2,179.0,0,9.9,7.44,80.6,2,25,177.0,3,7.1,45,356.0,7.91,2,2,3,3,2,95.0,7,9,0,16,4,8,0,0,3,23.0,0,1,1,25:45,33,htx
2008,12,2008-11-23,6,0,CLE,W,16,0,24,32,75.0,271.0,1,8.5,6.28,84.2,1,36,112.0,0,3.1,69,383.0,5.55,5,3,1,1,3,129.0,13,6,0,19,4,16,3,3,11,84.0,0,2,2,37:25,6,htx
2008,13,2008-12-01,0,1,JAX,W,30,0,14,25,56.0,200.0,1,8.0,7.0,78.7,0,26,126.0,2,4.8,51,326.0,6.39,3,3,3,3,3,108.0,8,8,2,18,1,8,0,1,5,30.0,0,1,1,26:57,17,htx
2008,14,2008-12-07,6,0,GNB,W,24,0,28,42,66.7,408.0,2,9.7,9.6,104.1,1,31,141.0,0,4.5,74,549.0,7.42,4,3,1,1,3,127.0,18,6,1,25,7,13,1,1,4,30.0,3,1,4,34:03,21,htx
2008,15,2008-12-14,6,1,TEN,W,13,0,23,39,59.0,268.0,1,6.9,7.38,88.4,3,29,107.0,0,3.7,71,375.0,5.28,3,2,1,1,6,257.0,11,6,5,22,7,17,1,1,11,127.0,1,0,1,36:22,12,htx
2008,16,2008-12-21,6,0,OAK,L,16,0,19,36,52.8,234.0,0,6.5,5.25,61.6,3,22,90.0,1,4.1,61,324.0,5.31,3,3,1,1,4,147.0,11,5,1,17,3,13,2,3,1,15.0,0,1,1,28:31,27,htx
2008,17,2008-12-28,6,1,CHI,W,31,0,27,36,75.0,328.0,2,9.1,10.22,121.1,0,36,127.0,2,3.5,72,455.0,6.32,1,1,4,4,4,166.0,16,8,1,25,4,10,1,1,7,70.0,1,0,1,37:34,24,htx
2009,1,2009-09-13,6,1,NYJ,L,7,0,18,33,54.5,145.0,0,4.4,3.03,53.2,2,13,38.0,0,2.9,48,183.0,3.81,0,0,1,1,6,264.0,7,3,1,11,3,10,0,1,6,37.0,1,1,2,21:14,24,htx
2009,2,2009-09-20,6,0,TEN,W,34,0,25,39,64.1,357.0,4,9.2,11.21,127.8,0,29,63.0,0,2.2,68,420.0,6.18,2,2,4,4,6,311.0,15,3,1,19,5,16,2,2,6,40.0,0,0,0,34:03,31,htx
