Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,DAL,W,24,0,23,34,67.6,229.0,1,6.7,6.0,84.1,1,32,78.0,2,2.4,67,307.0,4.58,2,1,3,3,6,264.0,14,6,2,22,5,13,0,0,2,41.0,0,1,1,34:12,17,jax
2006,2,2006-09-18,0,1,PIT,W,9,0,26,39,66.7,252.0,0,6.5,5.31,73.9,1,30,110.0,0,3.7,70,362.0,5.17,3,3,0,0,6,251.0,13,3,1,17,6,18,0,1,10,86.0,0,1,1,37:25,0,jax
2006,3,2006-09-24,6,0,IND,L,14,0,16,28,57.1,106.0,1,3.8,1.29,47.6,1,40,191.0,1,4.8,69,297.0,4.3,2,0,2,2,4,186.0,7,12,1,20,9,16,1,1,4,38.0,0,2,2,39:24,21,jax
2006,4,2006-10-01,6,0,WAS,L,30,1,20,34,58.8,275.0,3,8.1,8.53,102.0,4,16,32.0,0,2.0,54,307.0,5.69,3,3,3,3,5,246.0,10,2,0,12,2,13,2,2,4,35.0,1,1,2,25:17,36,jax
2006,5,2006-10-08,6,1,NYJ,W,41,0,9,20,45.0,131.0,2,6.6,8.55,100.2,1,39,181.0,3,4.6,60,312.0,5.2,2,2,5,5,4,154.0,9,8,2,19,6,13,0,0,9,62.0,0,0,0,32:02,0,jax
2006,7,2006-10-22,6,0,HOU,L,7,0,14,28,50.0,118.0,0,4.2,4.21,61.3,1,25,102.0,1,4.1,54,220.0,4.07,0,0,1,1,7,295.0,5,7,2,14,3,12,0,2,7,35.0,2,0,2,26:30,27,jax
2006,8,2006-10-29,6,0,PHI,W,13,0,10,17,58.8,76.0,0,4.5,4.47,69.7,1,46,209.0,1,4.5,64,285.0,4.45,2,2,1,1,5,199.0,3,13,0,16,4,14,2,3,5,44.0,1,0,1,36:51,6,jax
2006,9,2006-11-05,6,1,TEN,W,37,0,12,22,54.5,169.0,3,7.7,10.41,119.1,2,30,173.0,0,5.8,54,342.0,6.33,3,3,4,4,5,205.0,8,8,1,17,5,13,0,0,4,20.0,0,0,0,30:11,7,jax
2006,10,2006-11-12,6,1,HOU,L,10,0,15,34,44.1,204.0,0,6.0,0.71,24.3,2,19,118.0,1,6.2,55,322.0,5.85,1,1,1,1,4,146.0,9,6,1,16,5,10,0,0,9,65.0,0,4,4,22:27,13,jax
2006,11,2006-11-20,0,1,NYG,W,26,0,19,32,59.4,249.0,0,7.8,7.78,84.0,0,43,165.0,2,3.8,75,414.0,5.52,4,4,2,2,4,147.0,13,8,0,21,9,18,0,0,9,65.0,1,0,1,40:19,10,jax
