Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,CIN,L,10,0,23,35,65.7,176.0,1,5.0,4.31,75.4,7,25,113.0,0,4.5,67,289.0,4.31,2,1,1,1,4,165.0,12,6,0,18,5,15,3,4,5,40.0,2,1,3,31:57,23,kan
2006,2,2006-09-17,6,0,DEN,L,6,1,17,23,73.9,131.0,0,5.7,5.7,87.4,1,34,145.0,0,4.3,58,276.0,4.76,2,2,0,0,6,281.0,9,7,0,16,5,13,0,0,4,26.0,2,0,2,30:47,9,kan
2006,4,2006-10-01,6,1,SFO,W,41,0,18,23,78.3,208.0,2,9.0,10.78,133.3,0,40,125.0,2,3.1,63,333.0,5.29,2,2,5,5,4,170.0,14,6,3,23,8,15,0,0,3,30.0,0,0,0,35:15,0,kan
2006,5,2006-10-08,6,0,ARI,W,23,0,26,38,68.4,262.0,2,6.9,7.95,105.4,3,22,39.0,0,1.8,63,301.0,4.78,3,3,2,2,6,304.0,16,0,2,18,5,14,0,0,5,49.0,2,0,2,29:31,20,kan
2006,6,2006-10-15,6,0,PIT,L,7,0,19,39,48.7,175.0,0,4.5,1.03,29.3,1,19,38.0,1,2.0,59,213.0,3.61,0,0,1,1,7,341.0,11,1,2,14,5,14,0,1,6,50.0,0,3,3,25:29,45,kan
2006,7,2006-10-22,6,1,SDG,W,30,0,15,27,55.6,221.0,2,8.2,9.67,107.2,2,30,134.0,2,4.5,59,355.0,6.02,2,1,4,3,5,237.0,11,8,0,19,6,13,0,0,6,50.0,1,0,1,28:58,27,kan
2006,8,2006-10-29,6,1,SEA,W,35,0,17,25,68.0,308.0,1,12.3,13.12,123.4,1,53,191.0,3,3.6,79,499.0,6.32,3,2,3,3,1,50.0,17,12,1,30,6,13,1,2,6,40.0,3,0,3,42:15,28,kan
2006,9,2006-11-05,6,0,STL,W,31,0,10,15,66.7,131.0,3,8.7,12.73,133.6,2,32,186.0,1,5.8,49,317.0,6.47,1,1,4,4,6,262.0,9,6,1,16,5,12,0,0,5,23.0,0,0,0,25:20,17,kan
2006,10,2006-11-12,6,0,MIA,L,10,0,15,38,39.5,185.0,0,4.9,4.87,55.3,3,19,80.0,1,4.2,60,265.0,4.42,2,1,1,1,8,325.0,12,1,1,14,3,14,0,1,7,65.0,0,0,0,24:10,13,kan
2006,11,2006-11-19,6,1,OAK,W,17,0,9,16,56.3,92.0,0,5.8,5.75,72.9,2,37,200.0,2,5.4,55,292.0,5.31,2,1,2,2,3,123.0,6,13,2,21,5,11,1,1,4,20.0,0,0,0,27:26,13,kan
2006,12,2006-11-23,3,1,DEN,W,19,0,13,22,59.1,159.0,0,7.2,5.18,62.5,1,41,223.0,1,5.4,64,382.0,5.97,4,4,1,1,2,75.0,8,12,2,22,4,10,0,0,4,25.0,0,1,1,35:02,10,kan
