Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-07,3,0,PIT,L,17,0,18,37,48.6,240.0,0,6.5,4.05,47.1,3,18,38.0,2,2.1,58,278.0,4.79,1,1,2,2,6,220.0,12,3,0,15,5,13,0,1,6,63.0,0,2,2,24:33,28,mia
2006,2,2006-09-17,6,1,BUF,L,6,0,23,32,71.9,190.0,1,5.9,5.16,84.1,7,20,92.0,0,4.6,59,282.0,4.78,1,0,0,0,7,283.0,10,5,0,15,6,15,1,1,6,75.0,0,1,1,29:01,16,mia
2006,3,2006-09-24,6,1,TEN,W,13,0,17,26,65.4,130.0,0,5.0,5.0,77.4,6,36,159.0,1,4.4,68,289.0,4.25,3,2,1,1,6,316.0,10,6,1,17,6,16,0,0,5,29.0,1,0,1,35:29,10,mia
2006,4,2006-10-01,6,0,HOU,L,15,0,23,39,59.0,219.0,1,5.6,6.13,83.2,5,14,70.0,0,5.0,58,289.0,4.98,3,3,0,0,5,216.0,12,3,0,15,3,12,1,1,5,35.0,0,0,0,26:05,17,mia
2006,5,2006-10-08,6,0,NWE,L,10,0,26,41,63.4,221.0,0,5.4,3.2,57.1,1,21,62.0,1,3.0,63,283.0,4.49,3,1,1,1,3,125.0,14,2,3,19,4,14,0,1,10,81.0,1,2,3,30:17,20,mia
2006,6,2006-10-15,6,0,NYJ,L,17,0,27,43,62.8,266.0,1,6.2,4.56,68.6,0,29,129.0,1,4.4,72,395.0,5.49,2,1,2,2,3,121.0,14,7,3,24,8,15,0,1,6,61.0,1,2,3,31:44,20,mia
2006,7,2006-10-22,6,1,GNB,L,24,0,33,62,53.2,381.0,2,6.1,4.61,62.6,4,17,67.0,0,3.9,83,448.0,5.4,4,3,1,1,4,158.0,20,4,2,26,7,18,3,3,8,70.0,0,3,3,32:01,34,mia
2006,9,2006-11-05,6,0,CHI,W,31,0,16,32,50.0,137.0,3,4.3,3.34,66.8,0,35,161.0,0,4.6,67,298.0,4.45,2,1,4,4,6,261.0,6,10,1,17,7,17,0,0,11,69.0,0,2,2,29:54,13,mia
2006,10,2006-11-12,6,1,KAN,W,13,0,19,36,52.8,189.0,0,5.3,5.25,67.9,1,36,117.0,1,3.3,73,306.0,4.19,3,2,1,1,6,224.0,11,5,0,16,7,17,0,1,1,3.0,1,0,1,35:50,10,mia
2006,11,2006-11-19,6,1,MIN,W,24,0,26,42,61.9,247.0,1,5.9,5.29,76.2,1,13,7.0,0,0.5,56,254.0,4.54,2,1,3,3,6,256.0,12,2,1,15,5,13,0,0,5,40.0,1,1,2,24:00,20,mia
