Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-11,0,0,WAS,W,19,0,16,30,53.3,223.0,1,7.4,8.1,88.6,1,34,86.0,1,2.5,65,309.0,4.75,3,2,1,1,5,190.0,10,4,4,18,9,17,0,0,9,60.0,0,0,0,31:44,16,min
2006,2,2006-09-17,6,1,CAR,W,16,1,20,32,62.5,225.0,1,7.0,6.25,80.9,5,33,140.0,0,4.2,70,365.0,5.21,4,3,1,1,7,324.0,10,6,1,17,2,15,3,3,9,54.0,0,1,1,37:40,13,min
2006,3,2006-09-24,6,1,CHI,L,16,0,21,31,67.7,189.0,0,6.1,6.1,83.9,1,24,97.0,0,4.0,56,286.0,5.11,3,3,1,1,4,159.0,7,3,1,11,5,15,0,1,8,83.0,2,0,2,31:39,19,min
2006,4,2006-10-01,6,0,BUF,L,12,0,25,44,56.8,267.0,1,6.1,4.48,63.4,0,16,63.0,0,3.9,60,330.0,5.5,2,2,0,0,6,195.0,11,2,1,14,2,13,2,2,12,78.0,0,2,2,24:03,17,min
2006,5,2006-10-08,6,1,DET,W,26,0,26,34,76.5,201.0,1,5.9,5.18,88.0,0,30,135.0,0,4.5,64,336.0,5.25,2,2,3,2,4,168.0,11,5,2,18,5,13,0,0,5,40.0,2,1,3,36:39,17,min
2006,7,2006-10-22,6,0,SEA,W,31,0,16,25,64.0,157.0,2,6.3,7.88,108.2,4,30,175.0,1,5.8,59,332.0,5.63,2,1,4,4,5,204.0,10,3,1,14,5,14,0,1,5,45.0,0,0,0,32:19,13,min
2006,8,2006-10-30,0,1,NWE,L,7,0,26,42,61.9,239.0,0,5.7,1.4,37.8,4,15,45.0,0,3.0,61,284.0,4.66,0,0,1,1,5,249.0,14,2,1,17,5,14,0,2,6,39.0,0,4,4,30:15,31,min
2006,9,2006-11-05,6,0,SFO,L,3,0,21,31,67.7,103.0,0,3.3,1.87,58.9,3,33,135.0,0,4.1,67,238.0,3.55,1,1,0,0,5,198.0,6,8,3,17,5,14,0,1,6,65.0,2,1,3,34:45,9,min
2006,10,2006-11-12,6,1,GNB,L,17,0,18,30,60.0,222.0,1,7.4,6.57,80.1,4,23,90.0,0,3.9,57,312.0,5.47,1,1,2,2,7,336.0,9,4,1,14,6,15,1,1,7,49.0,1,1,2,26:21,23,min
2006,11,2006-11-19,6,0,MIA,L,20,0,26,44,59.1,247.0,0,5.6,4.59,65.2,3,35,114.0,2,3.3,82,361.0,4.4,2,2,2,2,6,226.0,15,8,2,25,5,17,4,4,6,49.0,2,1,3,36:00,24,min
2006,12,2006-11-26,6,1,ARI,W,31,0,27,41,65.9,255.0,3,6.2,7.68,107.3,2,33,157.0,1,4.8,76,412.0,5.42,1,1,4,4,5,214.0,20,9,1,30,7,15,2,2,8,63.0,1,0,1,36:32,26,min
2006,13,2006-12-03,6,0,CHI,L,13,0,21,39,53.8,156.0,0,4.0,-0.62,24.0,5,33,190.0,1,5.8,77,346.0,4.49,2,2,1,1,8,249.0,8,9,4,21,4,17,1,1,12,69.0,1,4,5,39:21,23,min
