Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,CLE,W,19,0,16,30,53.3,170.0,1,5.7,4.83,67.4,0,41,156.0,0,3.8,71,326.0,4.59,4,4,1,1,3,135.0,12,5,0,17,9,18,0,1,6,44.0,1,1,2,32:46,14,nor
2006,2,2006-09-17,6,0,GNB,W,34,0,26,41,63.4,332.0,2,8.1,7.98,94.8,4,22,48.0,2,2.2,67,380.0,5.67,2,2,4,4,4,186.0,17,2,1,20,6,15,1,1,2,14.0,2,1,3,28:04,27,nor
2006,3,2006-09-25,0,1,ATL,W,23,0,20,28,71.4,180.0,0,6.4,6.43,88.4,1,34,146.0,1,4.3,63,326.0,5.17,3,3,2,2,6,245.0,9,8,2,19,4,12,0,0,4,40.0,0,0,0,32:40,3,nor
2006,4,2006-10-01,6,0,CAR,L,18,0,28,38,73.7,344.0,1,9.1,9.58,110.0,1,23,63.0,1,2.7,62,407.0,6.56,2,1,1,1,5,230.0,15,4,3,22,4,11,0,0,5,38.0,1,0,1,29:39,21,nor
2006,5,2006-10-08,6,1,TAM,W,24,0,21,33,63.6,171.0,1,5.2,5.79,86.8,0,25,143.0,1,5.7,58,314.0,5.41,1,1,3,3,8,358.0,8,7,0,15,3,12,0,0,9,49.0,0,0,0,29:23,21,nor
2006,6,2006-10-15,6,1,PHI,W,27,0,27,38,71.1,275.0,3,7.2,6.45,95.8,0,30,98.0,0,3.3,68,373.0,5.49,2,2,3,3,5,236.0,14,6,2,22,8,16,0,0,7,64.0,0,2,2,34:03,24,nor
2006,8,2006-10-29,6,1,BAL,L,22,0,24,46,52.2,368.0,3,8.0,5.39,64.4,2,14,35.0,0,2.5,62,403.0,6.5,0,0,2,2,2,89.0,13,0,4,17,6,14,2,4,10,68.0,1,4,5,23:14,35,nor
2006,9,2006-11-05,6,0,TAM,W,31,0,24,32,75.0,314.0,3,9.8,11.69,136.7,0,35,49.0,1,1.4,67,363.0,5.42,1,1,4,4,6,242.0,13,6,0,19,9,17,0,1,4,25.0,0,0,0,37:21,14,nor
2006,10,2006-11-12,6,0,PIT,L,31,0,31,47,66.0,393.0,1,8.4,8.79,99.0,1,29,120.0,2,4.1,77,513.0,6.66,2,1,4,4,2,79.0,19,8,2,29,10,16,1,1,3,25.0,3,0,3,33:01,38,nor
2006,11,2006-11-19,6,1,CIN,L,16,0,37,52,71.2,504.0,2,9.7,7.87,90.5,2,23,91.0,0,4.0,77,595.0,7.73,1,1,2,1,5,186.0,25,3,1,29,6,12,0,0,4,25.0,1,3,4,33:33,31,nor
2006,12,2006-11-26,6,0,ATL,W,31,0,21,30,70.0,332.0,2,11.1,12.4,128.7,2,25,95.0,2,3.8,57,427.0,7.49,1,1,4,4,6,265.0,11,6,3,20,6,13,0,0,5,35.0,0,0,0,25:41,13,nor
2006,13,2006-12-03,6,1,SFO,W,34,0,17,28,60.7,185.0,1,6.6,7.32,92.1,1,41,190.0,3,4.6,70,375.0,5.36,2,2,4,4,5,210.0,8,11,4,23,8,16,1,1,3,47.0,0,0,0,37:19,10,nor
2006,14,2006-12-10,6,0,DAL,W,42,0,26,38,68.4,377.0,5,9.9,12.55,140.0,1,36,159.0,1,4.4,75,536.0,7.15,0,0,6,6,4,191.0,16,11,1,28,9,15,1,2,7,54.0,0,0,0,37:11,17,nor
2006,15,2006-12-17,6,1,WAS,L,10,0,21,38,55.3,199.0,0,5.2,4.05,59.0,2,24,71.0,1,3.0,64,270.0,4.22,1,1,1,1,6,281.0,13,2,0,15,8,17,1,2,4,16.0,0,1,1,30:23,16,nor
2006,16,2006-12-24,6,0,NYG,W,30,0,13,32,40.6,123.0,1,3.8,4.47,62.4,1,53,236.0,2,4.5,86,359.0,4.17,4,3,3,3,5,213.0,7,14,1,22,5,20,4,6,2,15.0,0,0,0,40:34,7,nor
2006,17,2006-12-31,6,1,CAR,L,21,0,20,29,69.0,236.0,1,8.1,7.28,90.6,5,17,61.0,2,3.6,51,297.0,5.82,0,0,3,3,5,224.0,7,6,0,13,4,10,1,1,4,38.0,1,1,2,25:21,31,nor
2007,1,2007-09-06,3,0,IND,L,10,0,28,41,68.3,187.0,0,4.6,2.37,57.7,1,26,106.0,0,4.1,68,293.0,4.31,2,1,1,1,5,242.0,9,8,1,18,6,15,1,1,4,20.0,1,2,3,31:45,41,nor
2007,2,2007-09-16,6,0,TAM,L,14,0,26,44,59.1,244.0,1,5.5,4.98,72.5,2,26,99.0,1,3.8,72,343.0,4.76,1,0,2,2,4,177.0,13,6,0,19,8,18,2,4,3,35.0,1,1,2,33:08,31,nor
2007,3,2007-09-24,0,1,TEN,L,14,0,29,45,64.4,218.0,0,4.8,0.84,38.9,1,16,34.0,2,2.1,62,252.0,4.06,0,0,2,2,3,160.0,12,4,2,18,7,12,0,1,2,15.0,1,4,5,26:54,31,nor
2007,5,2007-10-07,6,1,CAR,L,13,0,29,47,61.7,252.0,0,5.4,3.45,58.1,0,28,89.0,1,3.2,75,341.0,4.55,4,2,1,1,2,78.0,11,8,4,23,8,16,2,2,5,35.0,0,2,2,35:13,16,nor
2007,6,2007-10-14,6,0,SEA,W,28,0,25,36,69.4,246.0,2,6.8,7.94,106.9,0,33,121.0,1,3.7,69,367.0,5.32,0,0,4,4,6,259.0,16,5,1,22,7,14,1,1,5,37.0,1,0,1,32:44,17,nor
2007,7,2007-10-21,6,1,ATL,W,22,0,22,34,64.7,219.0,2,6.4,6.29,90.2,0,22,91.0,1,4.1,56,310.0,5.54,0,0,2,2,5,194.0,9,5,0,14,4,12,1,3,6,49.0,0,1,1,24:33,16,nor
2007,8,2007-10-28,6,0,SFO,W,31,0,31,39,79.5,336.0,4,8.6,10.67,136.8,0,27,102.0,0,3.8,66,438.0,6.64,1,1,4,4,4,159.0,18,5,3,26,7,13,0,1,4,25.0,1,0,1,32:35,10,nor
2007,9,2007-11-04,6,1,JAX,W,41,0,35,49,71.4,435.0,3,8.9,10.1,119.0,1,25,103.0,1,4.1,75,538.0,7.17,4,2,5,5,3,133.0,25,6,1,32,4,10,0,0,2,20.0,1,0,1,33:54,24,nor
2007,10,2007-11-11,6,1,STL,L,29,0,25,36,69.4,256.0,2,7.1,5.72,85.0,2,10,43.0,2,4.3,48,299.0,6.23,0,0,1,1,3,129.0,16,4,2,22,4,8,0,1,2,28.0,0,2,2,20:18,37,nor
2007,11,2007-11-18,6,0,HOU,L,10,0,33,49,67.3,280.0,1,5.7,4.29,71.8,1,19,47.0,0,2.5,69,327.0,4.74,1,1,1,1,3,144.0,15,4,1,20,8,15,0,2,4,30.0,1,2,3,31:57,23,nor
2007,12,2007-11-25,6,0,CAR,W,31,0,24,36,66.7,260.0,3,7.2,7.64,103.9,0,39,113.0,1,2.9,75,373.0,4.97,2,1,4,4,5,213.0,17,5,0,22,11,18,0,0,5,76.0,0,1,1,39:23,6,nor
2007,13,2007-12-02,6,1,TAM,L,23,0,17,23,73.9,162.0,2,7.0,8.78,122.0,3,21,84.0,0,4.0,47,246.0,5.23,0,0,3,3,6,257.0,8,5,0,13,5,11,0,0,6,40.0,1,0,1,25:14,27,nor
2007,14,2007-12-10,0,0,ATL,W,34,0,28,41,68.3,328.0,3,8.0,9.46,116.7,0,30,145.0,0,4.8,71,473.0,6.66,2,2,4,4,3,116.0,16,7,0,23,10,17,1,2,3,20.0,1,0,1,35:27,14,nor
2007,15,2007-12-16,6,1,ARI,W,31,0,26,30,86.7,307.0,2,10.2,11.57,131.5,1,29,114.0,2,3.9,60,421.0,7.02,1,1,4,4,2,97.0,15,8,1,24,4,9,1,1,3,15.0,2,0,2,31:52,24,nor
2007,16,2007-12-23,6,1,PHI,L,23,0,27,42,64.3,276.0,0,6.6,5.5,73.1,1,21,70.0,2,3.3,64,346.0,5.41,3,3,2,2,4,194.0,14,6,2,22,3,12,1,2,6,64.0,0,1,1,28:12,38,nor
2007,17,2007-12-30,6,0,CHI,L,25,0,35,60,58.3,308.0,3,5.1,4.63,74.9,3,20,105.0,0,5.3,83,413.0,4.98,1,1,2,2,5,205.0,18,8,2,28,3,14,1,4,8,72.0,1,2,3,35:08,33,nor
2008,1,2008-09-07,6,1,TAM,W,24,0,23,32,71.9,337.0,3,10.5,11.0,124.1,1,27,101.0,0,3.7,60,438.0,7.3,1,1,3,3,7,310.0,11,5,0,16,5,13,0,0,7,51.0,0,1,1,31:32,20,nor
2008,2,2008-09-14,6,0,WAS,L,24,0,22,33,66.7,195.0,1,5.9,3.79,67.1,2,19,55.0,1,2.9,54,250.0,4.63,1,1,3,3,5,223.0,11,3,2,16,3,10,0,0,5,55.0,1,2,3,25:46,29,nor
2008,3,2008-09-21,6,0,DEN,L,32,0,39,48,81.3,414.0,1,8.6,9.04,109.5,1,25,88.0,3,3.5,74,502.0,6.78,3,1,3,3,2,114.0,20,7,0,27,8,14,0,1,4,51.0,1,0,1,32:48,34,nor
2008,4,2008-09-28,6,1,SFO,W,31,0,23,35,65.7,363.0,3,10.4,10.8,116.7,0,32,104.0,1,3.3,67,467.0,6.97,1,1,4,4,3,92.0,12,6,6,24,6,11,0,1,13,123.0,1,1,2,32:55,17,nor
2008,5,2008-10-06,0,1,MIN,L,27,0,26,46,56.5,320.0,1,7.0,5.43,67.3,1,22,55.0,0,2.5,69,375.0,5.43,4,2,3,3,2,86.0,14,3,0,17,7,15,1,1,11,102.0,2,2,4,32:09,30,nor
2008,6,2008-10-12,6,1,OAK,W,34,0,26,30,86.7,319.0,3,10.6,12.63,144.3,1,33,122.0,1,3.7,64,441.0,6.89,3,2,4,4,2,92.0,14,9,0,23,9,14,0,0,4,30.0,0,0,0,36:12,3,nor
2008,7,2008-10-19,6,0,CAR,L,7,0,21,39,53.8,228.0,0,5.8,4.69,60.6,1,22,115.0,1,5.2,62,343.0,5.53,0,0,1,1,5,177.0,9,7,1,17,5,12,0,2,3,30.0,1,1,2,26:59,30,nor
2008,8,2008-10-26,6,1,SDG,W,37,0,30,41,73.2,339.0,3,8.3,9.73,121.9,0,26,70.0,2,2.7,67,409.0,6.1,1,1,5,4,3,126.0,16,6,6,28,4,11,2,3,6,60.0,0,0,0,30:50,32,nor
2008,10,2008-11-09,6,0,ATL,L,20,0,31,58,53.4,416.0,2,7.2,5.53,66.5,1,17,105.0,0,6.2,76,521.0,6.86,2,2,2,2,3,145.0,20,5,0,25,7,15,2,3,7,45.0,0,3,3,28:48,34,nor
2008,11,2008-11-16,6,0,KAN,W,30,0,25,36,69.4,266.0,1,7.4,6.69,88.4,0,28,103.0,2,3.7,64,369.0,5.77,3,3,3,3,2,97.0,15,7,0,22,6,12,0,0,2,8.0,0,1,1,29:36,20,nor
2008,12,2008-11-24,0,1,GNB,W,51,0,20,27,74.1,318.0,4,11.8,13.07,137.0,1,26,98.0,3,3.8,54,416.0,7.7,1,1,6,6,3,132.0,11,9,1,21,3,8,2,2,2,10.0,0,1,1,27:56,29,nor
2008,13,2008-11-30,6,0,TAM,L,20,0,25,47,53.2,288.0,2,6.1,4.11,59.5,1,18,44.0,0,2.4,66,332.0,5.03,2,2,2,2,5,247.0,14,3,1,18,5,13,0,1,5,45.0,0,3,3,30:44,23,nor
2008,14,2008-12-07,6,1,ATL,W,29,0,18,32,56.3,230.0,2,7.2,8.44,99.7,0,30,184.0,1,6.1,62,414.0,6.68,3,3,2,2,3,152.0,14,9,1,24,4,10,1,1,3,30.0,0,0,0,27:08,25,nor
2008,15,2008-12-11,3,0,CHI,L,24,1,24,43,55.8,226.0,2,5.3,4.09,66.6,1,32,119.0,1,3.7,76,345.0,4.54,1,1,3,3,5,207.0,14,7,1,22,7,17,1,2,5,97.0,0,2,2,36:32,27,nor
2008,16,2008-12-21,6,0,DET,W,42,0,30,40,75.0,351.0,2,8.8,9.78,117.8,0,30,181.0,4,6.0,70,532.0,7.6,0,0,6,6,0,0.0,19,13,0,32,11,12,0,0,3,12.0,1,0,1,34:29,7,nor
2008,17,2008-12-28,6,1,CAR,L,31,0,30,49,61.2,367.0,4,7.5,8.2,103.0,2,11,50.0,0,4.5,62,417.0,6.73,1,1,4,4,3,164.0,18,4,0,22,7,13,1,1,7,48.0,1,1,2,23:05,33,nor
2009,1,2009-09-13,6,1,DET,W,45,0,26,34,76.5,358.0,6,10.5,12.74,137.0,0,35,157.0,0,4.5,69,515.0,7.46,2,1,6,6,2,96.0,16,10,2,28,9,13,0,0,7,36.0,2,1,3,36:30,27,nor
2009,2,2009-09-20,6,0,PHI,W,48,0,25,34,73.5,288.0,3,8.5,8.91,115.8,2,29,133.0,2,4.6,65,421.0,6.48,2,2,6,6,3,156.0,15,8,0,23,6,13,0,1,3,13.0,0,1,1,30:26,22,nor
2009,3,2009-09-27,6,0,BUF,W,27,0,16,29,55.2,156.0,0,5.4,5.38,70.5,2,38,222.0,3,5.8,69,378.0,5.48,2,2,3,3,5,213.0,8,11,2,21,5,15,1,2,9,97.0,1,0,1,33:34,7,nor
2009,4,2009-10-04,6,1,NYJ,W,24,0,20,32,62.5,190.0,0,5.9,5.94,78.9,0,32,153.0,1,4.8,64,343.0,5.36,1,1,3,3,5,190.0,8,9,1,18,4,13,0,2,7,70.0,1,0,1,32:39,10,nor
2009,6,2009-10-18,6,1,NYG,W,48,0,23,30,76.7,369.0,4,12.3,14.97,156.8,0,40,124.0,3,3.1,70,493.0,7.04,0,0,7,6,4,180.0,18,8,2,28,7,13,1,2,6,55.0,0,0,0,36:07,27,nor
2009,7,2009-10-25,6,0,MIA,W,46,0,22,38,57.9,276.0,1,7.3,4.24,56.5,5,27,138.0,3,5.1,70,414.0,5.91,3,2,5,4,3,137.0,14,7,1,22,5,15,0,0,6,25.0,1,3,4,33:02,34,nor
2009,8,2009-11-02,0,1,ATL,W,35,0,25,33,75.8,291.0,2,8.8,8.67,109.5,2,35,146.0,2,4.2,70,437.0,6.24,1,0,5,5,2,89.0,15,7,1,23,7,12,0,0,7,65.0,3,1,4,33:14,27,nor
2009,9,2009-11-08,6,1,CAR,W,30,0,24,35,68.6,330.0,1,9.4,8.71,96.1,1,23,84.0,1,3.7,59,414.0,7.02,3,3,3,3,3,116.0,11,6,1,18,6,12,0,0,7,55.0,1,1,2,27:34,20,nor
2009,10,2009-11-15,6,0,STL,W,28,0,18,26,69.2,217.0,2,8.3,6.42,88.1,1,29,203.0,1,7.0,56,420.0,7.5,0,0,4,4,3,112.0,11,8,0,19,6,10,0,1,6,40.0,1,2,3,27:58,23,nor
