Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,BUF,W,19,0,11,23,47.8,136.0,2,5.9,5.7,77.4,3,41,183.0,0,4.5,67,319.0,4.76,1,1,2,2,4,183.0,8,11,0,19,5,13,2,2,1,5.0,1,1,2,32:55,17,nwe
2006,2,2006-09-17,6,0,NYJ,W,24,0,15,29,51.7,211.0,1,7.3,6.41,72.6,1,39,147.0,2,3.8,69,358.0,5.19,2,1,3,3,3,158.0,14,8,2,24,8,14,0,0,6,64.0,1,1,2,30:16,17,nwe
2006,3,2006-09-24,6,1,DEN,L,7,0,31,55,56.4,320.0,1,5.8,6.18,79.4,0,21,50.0,0,2.4,76,370.0,4.87,1,0,1,1,7,306.0,18,3,1,22,4,16,1,3,6,78.0,0,0,0,28:15,17,nwe
2006,4,2006-10-01,6,0,CIN,W,38,0,15,26,57.7,188.0,2,7.2,7.04,89.9,0,41,236.0,3,5.8,67,424.0,6.33,2,1,5,5,3,125.0,9,15,2,26,6,13,1,1,7,61.0,0,1,1,33:56,13,nwe
2006,5,2006-10-08,6,1,MIA,W,20,0,16,29,55.2,134.0,2,4.6,6.0,90.3,1,34,79.0,0,2.3,64,213.0,3.33,2,2,2,2,5,182.0,12,3,2,17,5,15,2,2,7,59.0,1,0,1,29:43,10,nwe
2006,7,2006-10-22,6,0,BUF,W,28,0,18,27,66.7,171.0,2,6.3,7.81,108.7,4,27,94.0,2,3.5,58,265.0,4.57,0,0,4,4,6,285.0,10,7,1,18,8,15,0,0,3,25.0,0,0,0,31:40,6,nwe
2006,8,2006-10-30,0,0,MIN,W,31,0,29,43,67.4,345.0,4,8.0,8.84,113.0,3,15,85.0,0,5.7,61,430.0,7.05,1,1,4,4,4,187.0,18,4,3,25,4,11,0,1,9,85.0,1,1,2,29:45,7,nwe
2006,9,2006-11-05,6,1,IND,L,20,0,20,35,57.1,201.0,0,5.7,0.6,34.0,0,33,148.0,2,4.5,68,349.0,5.13,3,2,2,2,1,46.0,9,11,4,24,7,13,2,2,8,81.0,1,4,5,30:34,27,nwe
2006,10,2006-11-12,6,1,NYJ,L,14,0,24,36,66.7,232.0,1,6.4,5.75,82.2,4,26,145.0,0,5.6,66,377.0,5.71,2,2,0,0,4,161.0,12,9,1,22,3,12,3,3,4,30.0,1,1,2,29:26,17,nwe
2006,11,2006-11-19,6,0,GNB,W,35,0,20,31,64.5,235.0,4,7.6,10.16,127.0,2,40,122.0,1,3.1,73,357.0,4.89,0,0,5,5,6,214.0,12,8,2,22,8,17,2,2,6,38.0,1,0,1,39:10,0,nwe
