Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,TEN,W,23,0,24,33,72.7,302.0,2,9.2,10.36,121.0,2,34,91.0,1,2.7,69,393.0,5.7,3,1,3,2,4,199.0,16,4,4,24,4,13,0,0,8,53.0,2,0,2,34:02,16,nyj
2006,2,2006-09-17,6,1,NWE,L,17,0,22,37,59.5,286.0,2,7.7,7.59,90.6,4,24,52.0,0,2.2,65,338.0,5.2,1,1,2,2,5,159.0,13,0,3,16,11,18,0,1,4,48.0,0,1,1,29:44,24,nyj
2006,3,2006-09-24,6,0,BUF,W,28,0,19,29,65.5,182.0,1,6.3,6.97,94.3,1,24,74.0,2,3.1,54,256.0,4.74,0,0,4,4,7,338.0,8,6,1,15,4,12,1,1,8,52.0,0,0,0,26:47,20,nyj
2006,4,2006-10-01,6,1,IND,L,28,0,17,23,73.9,186.0,1,8.1,7.0,93.7,3,37,135.0,2,3.6,63,321.0,5.1,0,0,4,4,3,147.0,10,9,4,23,7,13,1,2,5,47.0,2,1,3,31:57,31,nyj
2006,5,2006-10-08,6,0,JAX,L,0,0,10,18,55.6,45.0,0,2.5,-5.0,21.3,6,34,132.0,0,3.9,58,177.0,3.05,0,0,0,0,6,245.0,3,6,2,11,3,14,0,2,6,59.0,1,3,4,27:58,41,nyj
2006,6,2006-10-15,6,1,MIA,W,20,0,17,29,58.6,169.0,2,5.8,7.21,98.2,2,27,103.0,0,3.8,58,272.0,4.69,2,2,2,2,7,305.0,6,6,3,15,4,13,0,0,8,70.0,0,0,0,28:16,17,nyj
2006,7,2006-10-22,6,1,DET,W,31,0,16,22,72.7,177.0,1,8.0,6.91,92.4,2,42,221.0,3,5.3,66,398.0,6.03,1,1,4,4,2,68.0,8,16,3,27,8,12,0,0,2,20.0,0,1,1,34:14,24,nyj
2006,8,2006-10-29,6,0,CLE,L,13,0,11,28,39.3,105.0,0,3.8,0.54,20.7,1,27,88.0,0,3.3,56,193.0,3.45,3,2,1,1,3,154.0,7,4,1,12,5,13,0,1,1,5.0,1,2,3,24:49,20,nyj
2006,10,2006-11-12,6,0,NWE,W,17,0,22,33,66.7,161.0,1,4.9,4.12,75.4,1,29,117.0,1,4.0,63,278.0,4.41,1,1,2,2,5,184.0,11,8,0,19,6,13,1,1,4,28.0,0,1,1,30:34,14,nyj
2006,11,2006-11-19,6,1,CHI,L,0,0,19,35,54.3,156.0,0,4.5,1.89,42.1,2,30,108.0,0,3.6,67,264.0,3.94,0,0,0,0,7,310.0,10,5,0,15,6,17,1,2,6,40.0,0,2,2,31:54,10,nyj
2006,12,2006-11-26,6,1,HOU,W,26,0,24,32,75.0,277.0,1,8.7,9.28,111.1,1,26,27.0,1,1.0,59,304.0,5.15,4,4,2,2,4,197.0,11,5,1,17,4,13,1,1,1,5.0,0,0,0,29:09,11,nyj
2006,13,2006-12-03,6,0,GNB,W,38,0,25,35,71.4,263.0,2,7.5,6.09,88.2,0,31,178.0,3,5.7,66,441.0,6.68,1,1,5,5,1,51.0,16,9,2,27,6,10,0,1,3,20.0,0,2,2,31:27,10,nyj
2006,14,2006-12-10,6,1,BUF,L,13,0,22,35,62.9,143.0,1,4.1,2.09,57.2,5,30,132.0,0,4.4,70,275.0,3.93,2,2,1,1,5,211.0,9,7,0,16,7,16,0,2,3,15.0,1,2,3,32:08,31,nyj
2006,15,2006-12-17,6,0,MIN,W,26,0,29,40,72.5,323.0,1,8.1,7.45,94.1,2,29,68.0,1,2.3,71,391.0,5.51,4,4,2,2,3,136.0,17,2,2,21,7,14,0,1,7,55.0,1,1,2,36:26,13,nyj
2006,16,2006-12-25,0,0,MIA,W,13,0,14,29,48.3,229.0,1,7.9,8.59,86.7,1,30,95.0,0,3.2,60,324.0,5.4,2,2,1,1,8,332.0,8,3,1,12,7,18,0,1,1,12.0,1,0,1,30:32,10,nyj
2006,17,2006-12-31,6,1,OAK,W,23,0,22,30,73.3,149.0,1,5.0,5.63,95.0,1,37,117.0,1,3.2,68,266.0,3.91,3,3,2,2,4,175.0,8,9,2,19,10,17,0,0,3,31.0,0,0,0,36:49,3,nyj
2007,1,2007-09-09,6,1,NWE,L,14,0,21,31,67.7,167.0,2,5.4,6.68,102.5,5,19,60.0,0,3.2,55,227.0,4.13,0,0,2,2,5,205.0,12,4,1,17,4,11,0,1,2,20.0,0,0,0,26:51,38,nyj
2007,2,2007-09-16,6,0,BAL,L,13,0,19,37,51.4,235.0,1,6.4,4.46,57.8,4,27,69.0,0,2.6,68,304.0,4.47,3,2,1,1,5,202.0,12,3,3,18,8,18,1,1,2,10.0,0,2,2,28:55,20,nyj
2007,3,2007-09-23,6,1,MIA,W,31,0,15,22,68.2,115.0,2,5.2,7.05,111.0,1,38,141.0,1,3.7,61,256.0,4.2,1,1,4,4,3,140.0,10,9,3,22,8,13,0,0,5,26.0,0,0,0,31:50,28,nyj
2007,4,2007-09-30,6,0,BUF,L,14,0,32,39,82.1,287.0,1,7.4,5.56,84.5,1,19,60.0,1,3.2,59,347.0,5.88,1,0,2,2,4,166.0,15,5,0,20,6,11,1,1,9,66.0,0,2,2,27:44,17,nyj
2007,5,2007-10-07,6,0,NYG,L,24,0,21,36,58.3,222.0,1,6.2,2.97,50.9,1,25,55.0,0,2.2,62,277.0,4.47,2,1,3,3,4,181.0,12,3,1,16,9,15,0,1,6,40.0,0,3,3,26:15,35,nyj
2007,6,2007-10-14,6,1,PHI,L,9,0,11,21,52.4,109.0,0,5.2,3.05,47.5,3,32,158.0,0,4.9,56,267.0,4.77,4,3,0,0,3,112.0,5,9,1,15,5,14,0,1,0,0.0,0,1,1,28:04,16,nyj
2007,7,2007-10-21,6,0,CIN,L,31,0,20,31,64.5,258.0,3,8.3,8.81,109.3,2,26,84.0,0,3.2,59,342.0,5.8,3,3,2,2,2,78.0,13,5,1,19,2,11,2,2,5,62.0,1,1,2,26:06,38,nyj
2007,8,2007-10-28,6,1,BUF,L,3,0,18,32,56.3,154.0,0,4.8,2.0,43.0,3,23,100.0,0,4.3,58,254.0,4.38,1,1,0,0,6,286.0,10,3,1,14,3,12,0,0,2,25.0,1,2,3,27:29,13,nyj
2007,9,2007-11-04,6,1,WAS,L,20,1,23,42,54.8,214.0,1,5.1,5.57,76.9,3,26,124.0,0,4.8,71,338.0,4.76,3,2,2,2,3,125.0,14,7,2,23,11,18,0,0,5,40.0,1,0,1,31:04,23,nyj
2007,11,2007-11-18,6,1,PIT,W,19,1,14,31,45.2,146.0,1,4.7,3.9,56.7,3,34,151.0,0,4.4,68,297.0,4.37,4,4,1,1,5,234.0,8,8,4,20,3,13,0,2,4,30.0,0,1,1,29:11,16,nyj
2007,12,2007-11-22,3,0,DAL,L,3,0,12,27,44.4,120.0,0,4.4,2.78,42.2,3,21,60.0,0,2.9,51,180.0,3.53,1,1,0,0,8,369.0,6,3,0,9,2,14,1,2,4,30.0,1,1,2,22:08,34,nyj
2007,13,2007-12-02,6,0,MIA,W,40,0,15,24,62.5,209.0,1,8.7,7.67,87.0,6,40,163.0,3,4.1,70,372.0,5.31,4,4,4,4,2,61.0,11,9,0,20,10,18,0,0,2,11.0,1,1,2,35:00,13,nyj
2007,14,2007-12-09,6,1,CLE,L,18,0,24,41,58.5,268.0,0,6.5,4.34,57.8,4,30,119.0,1,4.0,75,387.0,5.16,4,4,0,0,5,208.0,18,7,1,26,2,12,2,2,2,9.0,0,2,2,32:01,24,nyj
2007,15,2007-12-16,6,0,NWE,L,10,0,25,40,62.5,144.0,0,3.6,2.48,58.7,5,17,90.0,0,5.3,62,234.0,3.77,2,1,1,1,4,127.0,10,2,1,13,3,14,1,3,6,42.0,1,1,2,26:23,20,nyj
2007,16,2007-12-23,6,0,TEN,L,6,0,26,32,81.3,228.0,1,7.1,4.94,80.7,6,24,68.0,0,2.8,62,296.0,4.77,1,0,1,0,5,208.0,8,5,1,14,6,16,1,2,4,35.0,0,2,2,30:11,10,nyj
2007,17,2007-12-30,6,1,KAN,W,13,1,14,26,53.8,138.0,1,5.3,6.08,81.9,3,45,199.0,0,4.4,74,337.0,4.55,2,2,1,1,8,361.0,9,10,1,20,3,16,1,3,5,40.0,0,0,0,36:37,10,nyj
2008,1,2008-09-07,6,0,MIA,W,20,0,15,22,68.2,181.0,2,8.2,10.05,123.5,3,31,112.0,1,3.6,56,293.0,5.23,1,0,2,2,6,272.0,7,6,2,15,5,13,1,1,7,40.0,1,0,1,31:01,14,nyj
2008,2,2008-09-14,6,1,NWE,L,10,0,18,26,69.2,152.0,1,5.8,4.88,80.9,2,21,104.0,0,5.0,49,256.0,5.22,2,1,1,1,4,162.0,9,3,0,12,6,12,0,0,6,60.0,0,1,1,28:25,19,nyj
2008,3,2008-09-22,0,0,SDG,L,29,0,33,47,70.2,267.0,3,5.7,4.09,78.9,3,13,41.0,0,3.2,63,308.0,4.89,1,1,2,2,2,76.0,17,2,2,21,1,8,2,3,2,5.0,1,3,4,27:40,48,nyj
