Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,HOU,W,24,0,24,35,68.6,311.0,3,8.9,9.31,112.9,1,30,130.0,0,4.3,66,441.0,6.68,1,1,3,3,3,106.0,17,7,0,24,8,13,0,0,5,51.0,0,1,1,32:51,10,phi
2006,2,2006-09-17,6,1,NYG,L,24,1,27,45,60.0,344.0,2,7.6,8.53,98.7,1,30,107.0,1,3.6,76,451.0,5.93,2,1,3,3,5,221.0,15,8,0,23,6,14,0,2,10,66.0,1,0,1,33:02,30,phi
2006,3,2006-09-24,6,0,SFO,W,38,0,18,33,54.5,266.0,2,8.1,9.27,101.3,3,18,150.0,2,8.3,54,416.0,7.7,2,1,5,5,4,174.0,12,4,0,16,5,12,0,0,9,72.0,1,0,1,24:39,24,phi
2006,4,2006-10-02,0,1,GNB,W,31,0,17,32,53.1,267.0,2,8.3,9.59,102.0,4,27,131.0,2,4.9,63,398.0,6.32,1,1,4,4,5,231.0,11,9,3,23,4,11,0,1,5,53.0,2,0,2,27:17,9,phi
2006,5,2006-10-08,6,1,DAL,W,38,0,18,33,54.5,331.0,2,10.0,11.24,109.5,3,18,52.0,2,2.9,54,383.0,7.09,1,1,5,5,8,326.0,12,3,1,16,2,12,0,0,3,67.0,2,0,2,23:01,24,phi
2006,6,2006-10-15,6,0,NOR,L,24,0,19,32,59.4,226.0,2,7.1,6.91,88.8,3,19,99.0,1,5.2,54,325.0,6.02,1,1,3,3,6,259.0,12,5,3,20,3,10,0,0,8,67.0,1,1,2,25:57,27,phi
2006,7,2006-10-22,6,0,TAM,L,21,0,22,35,62.9,298.0,3,8.5,6.37,82.8,1,27,208.0,0,7.7,63,506.0,8.03,0,0,3,3,3,132.0,13,9,0,22,7,11,0,0,7,65.0,1,3,4,28:59,23,phi
2006,8,2006-10-29,6,1,JAX,L,6,0,18,34,52.9,142.0,0,4.2,4.18,63.6,4,20,85.0,0,4.3,58,227.0,3.91,2,2,0,0,7,308.0,9,4,1,14,4,14,0,1,8,50.0,0,0,0,23:09,13,phi
2006,10,2006-11-12,6,1,WAS,W,27,0,12,26,46.2,255.0,2,9.8,11.35,107.1,1,34,145.0,0,4.3,61,400.0,6.56,2,2,3,3,5,187.0,10,7,1,18,6,15,1,1,7,65.0,0,0,0,30:29,3,phi
2006,11,2006-11-19,6,1,TEN,L,13,0,32,61,52.5,267.0,1,4.4,3.97,62.7,0,30,123.0,0,4.1,91,390.0,4.29,2,2,1,1,6,251.0,12,9,1,22,10,23,1,3,8,64.0,2,1,3,36:22,31,phi
2006,12,2006-11-26,6,0,IND,L,21,0,23,29,79.3,151.0,2,5.2,5.03,97.0,2,25,149.0,1,6.0,56,300.0,5.36,1,0,3,3,3,132.0,10,9,1,20,5,10,1,1,3,15.0,2,1,3,29:42,45,phi
2006,13,2006-12-04,0,1,CAR,W,27,0,21,39,53.8,304.0,3,7.8,9.33,105.1,1,27,98.0,0,3.6,67,402.0,6.0,2,2,3,3,7,300.0,12,5,1,18,7,17,0,0,8,72.0,0,0,0,32:23,24,phi
2006,14,2006-12-10,6,0,WAS,W,21,0,15,23,65.2,164.0,2,7.1,8.87,115.1,0,22,99.0,0,4.5,45,263.0,5.84,0,0,3,3,5,223.0,8,5,1,14,4,10,0,0,2,20.0,1,0,1,22:14,19,phi
2006,15,2006-12-17,6,0,NYG,W,36,0,19,28,67.9,221.0,1,7.9,7.0,88.5,2,30,161.0,3,5.4,60,382.0,6.37,1,0,4,4,3,136.0,11,10,0,21,4,10,1,1,12,103.0,1,1,2,31:49,22,phi
2006,16,2006-12-25,0,0,DAL,W,23,0,15,23,65.2,222.0,1,9.7,8.57,93.0,2,42,204.0,1,4.9,67,426.0,6.36,3,3,2,2,3,124.0,10,10,0,20,9,16,1,1,6,45.0,0,1,1,37:06,7,phi
2006,17,2006-12-31,6,1,ATL,W,24,0,23,36,63.9,350.0,3,9.7,11.39,123.6,0,17,43.0,0,2.5,53,393.0,7.42,2,1,3,3,5,216.0,15,2,4,21,4,11,0,0,11,108.0,1,0,1,24:42,17,phi
2007,1,2007-09-09,6,0,GNB,L,13,0,15,33,45.5,180.0,1,5.5,4.7,60.2,1,29,103.0,0,3.6,63,283.0,4.49,2,2,1,1,7,283.0,8,4,1,13,8,18,0,0,8,76.0,2,1,3,31:48,16,phi
2007,2,2007-09-17,0,1,WAS,L,12,0,28,46,60.9,226.0,0,4.9,4.91,73.3,3,20,114.0,0,5.7,69,340.0,4.93,4,4,0,0,5,216.0,12,6,0,18,4,16,2,3,2,15.0,0,0,0,29:56,20,phi
2007,3,2007-09-23,6,1,DET,W,56,0,21,26,80.8,363.0,4,14.0,17.04,158.3,3,34,173.0,4,5.1,63,536.0,8.51,0,0,8,8,3,131.0,14,12,3,29,3,8,0,0,5,35.0,2,0,2,32:30,21,phi
2007,4,2007-09-30,6,0,NYG,L,3,0,15,31,48.4,76.0,0,2.5,2.45,54.9,12,23,114.0,0,5.0,66,190.0,2.88,2,1,0,0,8,333.0,8,8,0,16,5,16,0,1,15,132.0,1,0,1,30:26,16,phi
2007,6,2007-10-14,6,0,NYJ,W,16,0,22,35,62.9,262.0,1,7.5,6.77,83.3,3,28,151.0,0,5.4,66,413.0,6.26,5,3,1,1,2,94.0,11,9,0,20,9,16,0,0,2,14.0,0,1,1,31:56,9,phi
2007,7,2007-10-21,6,1,CHI,L,16,0,21,34,61.8,211.0,1,6.2,6.79,89.2,3,25,123.0,0,4.9,62,334.0,5.39,3,3,1,1,4,132.0,12,8,1,21,7,14,0,0,5,32.0,0,0,0,30:31,19,phi
