Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-07,3,1,MIA,W,28,0,15,25,60.0,196.0,3,7.8,10.24,124.3,3,38,146.0,0,3.8,66,342.0,5.18,1,0,4,4,5,233.0,11,6,3,20,7,15,1,1,1,10.0,1,0,1,35:27,17,pit
2006,2,2006-09-18,0,0,JAX,L,0,0,17,32,53.1,127.0,0,4.0,1.16,36.8,2,14,26.0,0,1.9,48,153.0,3.19,0,0,0,0,8,358.0,7,0,2,9,3,13,0,1,3,25.0,0,2,2,22:35,9,pit
2006,3,2006-09-24,6,1,CIN,L,20,0,18,39,46.2,195.0,0,5.0,1.54,29.3,3,38,170.0,2,4.5,80,365.0,4.56,3,2,2,2,2,84.0,12,12,3,27,7,16,3,3,2,25.0,2,3,5,33:51,28,pit
2006,5,2006-10-08,6,0,SDG,L,13,0,20,31,64.5,197.0,0,6.4,3.45,55.4,5,18,68.0,1,3.8,54,265.0,4.91,2,2,1,1,3,142.0,10,6,0,16,3,9,0,2,4,30.0,0,2,2,26:08,23,pit
2006,6,2006-10-15,6,1,KAN,W,45,0,17,20,85.0,238.0,2,11.9,13.9,149.6,1,42,219.0,3,5.2,63,457.0,7.25,2,1,6,6,3,137.0,12,10,1,23,8,13,1,1,5,41.0,1,0,1,34:31,7,pit
2006,7,2006-10-22,6,0,ATL,L,38,1,24,35,68.6,418.0,5,11.9,14.8,148.6,3,26,55.0,0,2.1,64,473.0,7.39,1,1,5,5,3,119.0,21,4,2,27,7,11,0,0,9,65.0,3,0,3,30:53,41,pit
2006,8,2006-10-29,6,0,OAK,L,13,0,25,37,67.6,271.0,1,7.3,3.0,58.3,5,28,89.0,0,3.2,70,360.0,5.14,2,2,1,1,4,160.0,12,2,1,15,7,19,1,3,6,70.0,0,4,4,35:30,20,pit
2006,9,2006-11-05,6,1,DEN,L,20,0,38,54,70.4,403.0,1,7.5,5.33,74.8,4,19,96.0,1,5.1,77,499.0,6.48,3,2,2,2,2,80.0,21,4,2,27,4,13,0,2,5,50.0,3,3,6,34:33,31,pit
2006,10,2006-11-12,6,1,NOR,W,38,0,17,28,60.7,250.0,3,8.9,11.07,125.6,2,26,217.0,2,8.3,56,467.0,8.34,2,1,5,5,3,99.0,12,7,0,19,7,12,0,0,5,34.0,0,0,0,26:59,31,pit
2006,11,2006-11-19,6,0,CLE,W,24,0,25,44,56.8,261.0,2,5.9,3.77,60.9,2,20,77.0,1,3.9,66,338.0,5.12,1,1,3,3,4,161.0,18,3,2,23,6,12,0,0,5,50.0,0,3,3,27:47,20,pit
