Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-11,0,1,SDG,L,0,0,8,19,42.1,42.0,0,2.2,2.21,49.7,9,20,87.0,0,4.4,48,129.0,2.69,0,0,0,0,9,420.0,4,5,0,9,2,12,0,1,7,54.0,1,0,1,24:12,27,rai
2006,2,2006-09-17,6,0,BAL,L,6,0,10,27,37.0,123.0,0,4.6,-0.44,12.3,6,26,39.0,0,1.5,59,162.0,2.75,2,2,0,0,4,214.0,8,2,4,14,2,12,1,2,6,45.0,3,3,6,27:59,28,rai
2006,4,2006-10-01,6,1,CLE,L,21,0,9,24,37.5,46.0,1,1.9,0.88,42.4,4,24,194.0,1,8.1,52,240.0,4.62,0,0,3,3,6,292.0,6,5,3,14,4,12,0,1,6,47.0,0,1,1,22:54,24,rai
2006,5,2006-10-08,6,0,SFO,L,20,0,18,32,56.3,216.0,2,6.8,2.38,58.3,1,23,154.0,0,6.7,56,370.0,6.61,2,2,2,2,2,65.0,10,8,0,18,3,9,1,1,5,35.0,1,4,5,24:47,34,rai
2006,6,2006-10-15,6,0,DEN,L,3,0,13,26,50.0,159.0,0,6.1,4.38,53.2,4,30,85.0,0,2.8,60,244.0,4.07,2,1,0,0,4,220.0,10,2,2,14,4,13,1,2,13,95.0,1,1,2,31:36,13,rai
2006,7,2006-10-22,6,1,ARI,W,22,0,19,35,54.3,258.0,1,7.4,5.37,63.7,5,37,137.0,1,3.7,77,395.0,5.13,2,2,2,2,3,135.0,13,7,1,21,13,20,0,1,8,70.0,3,2,5,37:01,9,rai
2006,8,2006-10-29,6,1,PIT,W,20,0,5,14,35.7,17.0,0,1.2,-2.0,14.6,6,29,81.0,0,2.8,49,98.0,2.0,2,2,2,2,7,337.0,2,3,4,9,1,11,0,1,5,45.0,0,1,1,24:30,13,rai
2006,9,2006-11-06,0,0,SEA,L,0,0,16,35,45.7,121.0,0,3.5,3.46,54.6,9,13,64.0,0,4.9,57,185.0,3.25,0,0,0,0,10,450.0,8,3,2,13,3,15,1,2,8,60.0,0,0,0,24:21,16,rai
2006,10,2006-11-12,6,1,DEN,L,13,0,18,33,54.5,198.0,0,6.0,6.0,72.5,3,26,46.0,1,1.8,62,244.0,3.94,3,2,1,1,8,356.0,8,4,1,13,5,16,0,0,3,25.0,2,0,2,29:45,17,rai
2006,11,2006-11-19,6,0,KAN,L,13,0,15,25,60.0,193.0,1,7.7,6.72,80.9,1,34,133.0,0,3.9,60,326.0,5.43,2,2,1,1,4,179.0,10,6,2,18,8,14,0,0,8,65.0,0,1,1,32:34,17,rai
2006,12,2006-11-26,6,0,SDG,L,14,0,17,30,56.7,161.0,1,5.4,3.03,55.0,5,26,84.0,1,3.2,61,245.0,4.02,1,0,2,2,6,276.0,10,4,1,15,5,15,1,2,8,56.0,0,2,2,32:25,21,rai
2006,13,2006-12-03,6,1,HOU,L,14,0,25,42,59.5,189.0,0,4.5,2.36,50.6,5,26,113.0,1,4.3,73,302.0,4.14,3,0,2,2,4,227.0,13,7,1,21,4,12,0,0,7,60.0,3,2,5,33:32,23,rai
2006,14,2006-12-10,6,0,CIN,L,10,0,23,39,59.0,178.0,1,4.6,3.92,68.1,4,16,45.0,0,2.8,59,223.0,3.78,2,1,1,1,2,102.0,14,0,0,14,7,14,1,3,6,38.0,1,1,2,24:15,27,rai
2006,15,2006-12-17,6,1,STL,L,0,0,25,39,64.1,203.0,0,5.2,1.74,45.1,4,18,57.0,0,3.2,61,260.0,4.26,0,0,0,0,4,171.0,12,5,3,20,5,11,0,1,9,75.0,2,3,5,28:46,20,rai
2006,16,2006-12-23,5,1,KAN,L,9,0,27,37,73.0,195.0,0,5.3,2.84,62.3,4,24,112.0,0,4.7,65,307.0,4.72,3,3,0,0,2,79.0,10,8,0,18,8,15,0,1,6,45.0,3,2,5,29:44,20,rai
2006,17,2006-12-31,6,0,NYJ,L,3,0,15,26,57.7,121.0,0,4.7,2.92,53.5,2,22,88.0,0,4.0,50,209.0,4.18,1,1,0,0,3,137.0,6,4,2,12,3,11,1,3,6,32.0,2,1,3,23:11,23,rai
2007,1,2007-09-09,6,1,DET,L,21,0,30,40,75.0,283.0,2,7.1,5.83,89.9,3,23,92.0,1,4.0,66,375.0,5.68,3,0,3,3,3,149.0,16,7,1,24,7,13,0,0,8,50.0,1,2,3,33:06,36,rai
2007,2,2007-09-16,6,0,DEN,L,20,1,8,17,47.1,53.0,1,3.1,-3.65,34.3,4,35,200.0,0,5.7,56,253.0,4.52,2,1,1,1,4,194.0,3,8,0,11,6,16,1,1,10,70.0,0,3,3,30:30,23,rai
2007,3,2007-09-23,6,1,CLE,W,26,0,14,26,53.8,210.0,1,8.1,8.85,93.4,2,41,186.0,1,4.5,69,396.0,5.74,4,4,2,2,3,165.0,9,7,3,19,7,16,1,1,7,55.0,2,0,2,36:17,24,rai
2007,4,2007-09-30,6,0,MIA,W,35,0,5,12,41.7,70.0,2,5.8,9.17,100.7,1,49,299.0,3,6.1,62,369.0,5.95,0,0,5,5,3,133.0,4,15,2,21,9,15,2,3,2,15.0,1,0,1,35:07,17,rai
2007,6,2007-10-14,6,0,SDG,L,14,0,24,37,64.9,202.0,1,5.5,3.57,65.4,5,24,43.0,0,1.8,66,245.0,3.71,0,0,2,2,4,172.0,13,3,2,18,5,14,2,3,8,68.0,1,2,3,31:12,28,rai
2007,7,2007-10-21,6,1,KAN,L,10,0,18,30,60.0,213.0,1,7.1,6.27,78.9,2,24,55.0,0,2.3,56,268.0,4.79,1,1,1,1,9,461.0,8,2,0,10,4,15,0,1,5,30.0,1,1,2,28:09,12,rai
2007,8,2007-10-28,6,0,TEN,L,9,0,15,32,46.9,143.0,0,4.5,3.06,46.7,5,27,92.0,0,3.4,64,235.0,3.67,3,3,0,0,6,311.0,7,5,2,14,5,16,0,1,14,100.0,1,1,2,32:37,13,rai
2007,9,2007-11-04,6,1,HOU,L,17,0,13,27,48.1,157.0,1,5.8,1.56,39.2,1,33,153.0,1,4.6,61,310.0,5.08,2,1,2,2,2,126.0,7,12,4,23,4,11,1,1,6,40.0,0,3,3,29:33,24,rai
2007,10,2007-11-11,6,1,CHI,L,6,0,14,27,51.9,86.0,0,3.2,1.52,43.1,3,30,107.0,0,3.6,60,193.0,3.22,2,2,0,0,9,433.0,7,4,1,12,3,15,0,0,6,46.0,2,1,3,28:23,17,rai
2007,11,2007-11-18,6,0,MIN,L,22,0,23,39,59.0,307.0,1,7.9,7.23,81.9,5,26,65.0,0,2.5,70,372.0,5.31,5,5,1,1,5,239.0,15,2,1,18,7,17,0,0,10,55.0,1,1,2,30:55,29,rai
2007,12,2007-11-25,6,0,KAN,W,20,0,15,22,68.2,159.0,0,7.2,7.23,89.0,2,29,153.0,2,5.3,53,312.0,5.89,2,2,2,2,4,169.0,7,12,0,19,3,10,0,0,7,58.0,1,0,1,27:49,17,rai
2007,13,2007-12-02,6,1,DEN,W,34,0,18,28,64.3,197.0,3,7.0,9.18,120.7,0,41,175.0,1,4.3,69,372.0,5.39,4,2,4,4,1,63.0,10,8,2,20,6,15,0,2,3,20.0,1,0,1,34:20,20,rai
2007,14,2007-12-09,6,0,GNB,L,7,0,12,23,52.2,148.0,1,6.4,3.39,50.6,0,28,85.0,0,3.0,51,233.0,4.57,1,0,1,1,5,225.0,6,2,2,10,3,13,1,3,9,62.0,1,2,3,26:46,38,rai
2007,15,2007-12-16,6,1,IND,L,14,0,15,29,51.7,104.0,1,3.6,4.28,71.6,0,39,149.0,1,3.8,68,253.0,3.72,0,0,2,2,5,248.0,6,10,2,18,7,16,1,3,6,47.0,0,0,0,33:46,21,rai
2007,16,2007-12-23,6,0,JAX,L,11,0,13,31,41.9,105.0,1,3.4,-0.32,22.3,4,30,110.0,0,3.7,65,215.0,3.31,1,1,0,0,6,297.0,6,7,0,13,3,15,1,2,11,88.0,1,3,4,32:48,49,rai
2007,17,2007-12-30,6,1,SDG,L,17,0,23,31,74.2,194.0,1,6.3,5.45,87.3,4,29,122.0,1,4.2,64,316.0,4.94,2,1,2,2,4,200.0,9,7,1,17,3,12,0,3,8,60.0,3,1,4,31:53,30,rai
2008,1,2008-09-08,0,1,DEN,L,14,0,17,26,65.4,157.0,2,6.0,7.58,107.4,3,30,150.0,0,5.0,59,307.0,5.2,0,0,2,2,5,255.0,10,5,0,15,2,12,3,4,10,96.0,1,0,1,30:10,41,rai
2008,2,2008-09-14,6,0,KAN,W,23,0,6,17,35.3,55.0,0,3.2,3.24,45.0,0,47,300.0,2,6.4,64,355.0,5.55,3,3,2,2,4,179.0,2,14,2,18,6,14,1,1,9,61.0,2,0,2,32:31,8,rai
2008,3,2008-09-21,6,0,BUF,L,23,0,9,19,47.4,149.0,1,7.8,8.89,91.8,1,30,98.0,1,3.3,50,247.0,4.94,3,3,2,2,6,305.0,4,6,0,10,2,12,0,0,4,25.0,1,0,1,25:33,24,rai
2008,4,2008-09-28,6,1,SDG,L,18,0,22,37,59.5,251.0,1,6.8,6.11,77.6,6,23,72.0,0,3.1,66,323.0,4.89,4,3,1,1,6,302.0,11,1,3,15,3,15,0,1,8,64.0,1,1,2,30:18,28,rai
