Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,DEN,W,18,0,18,34,52.9,195.0,0,5.7,5.74,70.1,3,28,125.0,0,4.5,65,320.0,4.92,7,6,0,0,3,150.0,9,6,1,16,3,15,0,0,10,94.0,0,0,0,32:49,10,ram
2006,2,2006-09-17,6,0,SFO,L,13,0,19,34,55.9,147.0,1,4.3,4.91,76.5,6,28,118.0,0,4.2,68,265.0,3.9,3,2,1,1,5,216.0,11,5,1,17,7,17,1,1,6,40.0,1,0,1,34:37,20,ram
2006,3,2006-09-24,6,0,ARI,W,16,0,21,31,67.7,301.0,1,9.7,10.35,109.7,1,28,63.0,0,2.3,60,364.0,6.07,3,3,1,1,3,114.0,13,4,1,18,6,13,0,1,5,25.0,2,0,2,30:07,14,ram
2006,4,2006-10-01,6,1,DET,W,41,0,26,42,61.9,321.0,3,7.6,9.07,109.3,1,27,106.0,1,3.9,70,427.0,6.1,5,4,3,3,4,175.0,18,3,2,23,4,13,0,0,8,66.0,0,0,0,30:06,34,ram
2006,5,2006-10-08,6,0,GNB,W,23,0,18,28,64.3,209.0,2,7.5,8.89,110.6,2,30,118.0,0,3.9,60,327.0,5.45,3,3,2,2,5,221.0,12,6,1,19,5,13,0,0,10,78.0,0,0,0,30:43,20,ram
2006,6,2006-10-15,6,1,SEA,L,28,0,26,39,66.7,309.0,3,7.9,8.31,105.6,6,22,59.0,1,2.7,67,368.0,5.49,0,0,4,4,5,187.0,14,5,2,21,8,15,0,0,6,72.0,1,1,2,32:05,30,ram
2006,8,2006-10-29,6,0,SDG,L,24,0,27,40,67.5,311.0,2,7.8,8.78,107.4,3,21,101.0,1,4.8,64,412.0,6.44,1,1,3,3,5,204.0,17,5,1,23,5,12,1,1,4,20.0,1,0,1,29:06,38,ram
2006,9,2006-11-05,6,1,KAN,L,17,0,31,42,73.8,337.0,1,8.0,8.5,105.0,2,28,115.0,1,4.1,72,452.0,6.28,1,1,2,2,4,176.0,18,8,2,28,4,11,2,3,8,67.0,3,0,3,34:40,31,ram
2006,10,2006-11-12,6,0,SEA,L,22,0,26,40,65.0,191.0,0,4.8,3.65,65.7,4,20,108.0,1,5.4,64,299.0,4.67,3,3,1,1,3,131.0,10,8,0,18,6,14,0,2,7,58.0,0,1,1,33:52,24,ram
2006,11,2006-11-19,6,0,CAR,L,0,0,19,34,55.9,80.0,0,2.4,1.03,48.9,7,8,31.0,0,3.9,49,111.0,2.27,0,0,0,0,9,416.0,6,1,1,8,2,12,0,0,6,40.0,1,1,2,21:17,15,ram
2006,12,2006-11-26,6,1,SFO,W,20,0,24,37,64.9,209.0,1,5.6,4.97,77.4,2,29,140.0,1,4.8,68,349.0,5.13,2,2,2,2,5,203.0,13,10,0,23,8,16,2,2,5,35.0,0,1,1,30:34,17,ram
