Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,TAM,W,27,0,17,27,63.0,168.0,1,6.2,6.96,92.8,1,34,103.0,1,3.0,62,271.0,4.37,2,2,3,3,6,282.0,9,5,2,16,5,14,0,0,4,25.0,0,0,0,35:49,0,rav
2006,2,2006-09-17,6,1,OAK,W,28,0,16,33,48.5,126.0,1,3.8,3.06,55.9,2,31,138.0,1,4.5,66,264.0,4.0,4,4,2,2,7,303.0,9,5,0,14,6,18,0,0,10,72.0,0,1,1,32:01,6,rav
2006,3,2006-09-24,6,0,CLE,W,15,0,23,41,56.1,254.0,1,6.2,6.68,82.8,2,27,86.0,0,3.2,70,340.0,4.86,3,3,0,0,6,235.0,14,4,0,18,7,17,0,1,5,30.0,0,0,0,31:51,14,rav
2006,4,2006-10-01,6,1,SDG,W,16,0,17,30,56.7,150.0,2,5.0,3.33,64.6,2,21,56.0,0,2.7,53,206.0,3.89,0,0,2,2,7,336.0,11,2,1,14,4,11,0,0,4,30.0,1,2,3,26:18,13,rav
2006,5,2006-10-09,0,0,DEN,L,3,0,20,34,58.8,154.0,0,4.5,0.56,33.2,2,25,103.0,0,4.1,61,257.0,4.21,1,1,0,0,6,253.0,10,6,0,16,6,15,0,0,3,15.0,0,3,3,31:38,13,rav
2006,6,2006-10-15,6,1,CAR,L,21,0,19,35,54.3,212.0,3,6.1,5.2,77.3,3,22,80.0,0,3.6,60,292.0,4.87,0,0,3,3,5,216.0,10,6,0,16,5,15,2,2,5,40.0,1,2,3,26:11,23,rav
2006,8,2006-10-29,6,0,NOR,W,35,0,17,23,73.9,156.0,2,6.8,8.52,120.9,1,39,137.0,1,3.5,63,293.0,4.65,0,0,5,5,6,259.0,12,7,2,21,8,14,0,0,9,69.0,1,0,1,36:46,22,rav
2006,9,2006-11-05,6,1,CIN,W,26,0,21,31,67.7,245.0,0,7.9,7.9,91.5,0,38,129.0,1,3.4,69,374.0,5.42,4,4,2,2,4,182.0,13,8,0,21,6,15,0,1,8,81.0,0,0,0,37:24,20,rav
2006,10,2006-11-12,6,0,TEN,W,27,0,29,47,61.7,371.0,3,7.9,7.26,89.9,1,21,50.0,0,2.4,69,421.0,6.1,2,2,3,3,5,194.0,16,2,1,19,7,16,1,1,8,91.0,0,2,2,29:16,26,rav
2006,11,2006-11-19,6,1,ATL,W,24,0,24,34,70.6,225.0,0,6.6,6.62,88.5,2,31,103.0,3,3.3,67,328.0,4.9,2,1,3,3,4,146.0,8,10,2,20,8,16,2,2,7,56.0,1,0,1,36:43,10,rav
2006,12,2006-11-26,6,1,PIT,W,27,0,21,27,77.8,161.0,1,6.0,6.7,103.9,0,35,114.0,1,3.3,62,275.0,4.44,2,2,3,3,6,259.0,12,5,2,19,4,12,0,0,10,87.0,0,0,0,34:46,0,rav
2006,13,2006-11-30,3,0,CIN,L,7,0,26,43,60.5,227.0,1,5.3,5.74,82.2,0,20,89.0,0,4.5,63,316.0,5.02,1,0,1,1,7,330.0,11,3,1,15,5,16,2,3,9,64.0,1,0,1,30:49,13,rav
2006,14,2006-12-10,6,0,KAN,W,20,0,21,27,77.8,283.0,1,10.5,11.22,122.7,0,34,93.0,1,2.7,61,376.0,6.16,2,2,2,2,4,162.0,8,8,2,18,6,13,0,0,6,75.0,1,0,1,33:29,10,rav
2006,15,2006-12-17,6,1,CLE,W,27,0,13,25,52.0,231.0,2,9.2,9.04,93.9,1,35,142.0,1,4.1,61,373.0,6.11,2,2,3,3,5,201.0,8,4,2,14,7,15,0,0,4,30.0,2,1,3,30:12,17,rav
2006,16,2006-12-24,6,0,PIT,W,31,0,21,31,67.7,256.0,3,8.3,7.29,98.3,0,33,103.0,1,3.1,64,359.0,5.61,1,1,4,4,4,184.0,14,8,1,23,6,12,1,1,12,89.0,1,2,3,35:22,7,rav
2006,17,2006-12-31,6,1,BUF,W,19,0,23,36,63.9,216.0,0,6.0,4.75,68.7,0,30,111.0,0,3.7,66,327.0,4.95,4,4,1,1,4,153.0,14,3,1,18,6,14,0,0,5,24.0,0,1,1,36:21,7,rav
2007,1,2007-09-10,0,0,CIN,L,20,0,22,40,55.0,207.0,0,5.2,2.93,48.6,2,25,107.0,1,4.3,67,314.0,4.69,2,2,2,2,5,223.0,11,7,2,20,2,13,1,1,10,86.0,4,2,6,32:21,27,rav
2007,2,2007-09-16,6,1,NYJ,W,20,0,23,35,65.7,185.0,2,5.3,6.43,97.9,0,34,118.0,0,3.5,69,303.0,4.39,3,2,2,2,6,285.0,10,7,0,17,8,18,0,1,11,100.0,0,0,0,31:05,13,rav
2007,3,2007-09-23,6,1,ARI,W,26,0,28,37,75.7,252.0,1,6.8,7.35,102.5,4,30,129.0,0,4.3,71,381.0,5.37,4,4,2,2,3,94.0,13,9,1,23,12,18,0,0,5,40.0,1,0,1,37:43,23,rav
2007,4,2007-09-30,6,0,CLE,L,13,0,34,53,64.2,307.0,1,5.8,5.32,78.1,0,20,111.0,0,5.6,73,418.0,5.73,4,2,1,1,0,0.0,19,5,2,26,7,14,1,3,7,41.0,1,1,2,34:29,27,rav
2007,5,2007-10-07,6,0,SFO,W,9,0,29,43,67.4,214.0,0,5.0,4.98,79.0,0,33,101.0,0,3.1,76,315.0,4.14,3,3,0,0,7,291.0,12,5,2,19,7,19,1,1,7,40.0,0,0,0,38:00,7,rav
2007,6,2007-10-14,6,1,STL,W,22,0,18,30,60.0,171.0,0,5.7,4.2,61.9,2,31,77.0,1,2.5,63,248.0,3.94,5,5,1,1,5,254.0,8,4,2,14,5,15,0,0,6,40.0,1,1,2,30:53,3,rav
2007,7,2007-10-21,6,0,BUF,L,14,0,21,37,56.8,181.0,1,4.9,5.43,78.8,1,24,127.0,1,5.3,62,308.0,4.97,0,0,2,2,6,305.0,10,5,0,15,5,15,2,4,11,91.0,1,0,1,28:34,19,rav
2007,9,2007-11-05,0,0,PIT,L,7,0,16,31,51.6,40.0,0,1.3,-0.16,44.2,6,14,64.0,1,4.6,51,104.0,2.04,0,0,1,1,10,436.0,4,1,0,5,3,15,0,0,11,85.0,3,1,4,23:45,38,rav
