Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-11,0,0,OAK,W,27,0,8,11,72.7,108.0,1,9.8,11.64,133.9,0,48,194.0,2,4.0,59,302.0,5.12,2,2,3,3,5,219.0,5,8,1,14,7,16,1,1,3,25.0,0,0,0,35:48,0,sdg
2006,2,2006-09-17,6,1,TEN,W,40,0,25,36,69.4,235.0,1,6.5,7.08,96.4,0,37,241.0,3,6.5,73,476.0,6.52,4,4,4,4,2,77.0,14,10,2,26,5,13,1,2,7,53.0,0,0,0,38:35,7,sdg
2006,4,2006-10-01,6,0,BAL,L,13,0,13,23,56.5,134.0,1,5.8,4.74,69.8,1,40,150.0,0,3.8,64,284.0,4.44,3,2,1,1,5,269.0,8,5,0,13,2,13,1,3,10,78.0,0,1,1,33:42,16,sdg
2006,5,2006-10-08,6,1,PIT,W,23,0,24,37,64.9,222.0,2,6.0,5.86,87.9,4,31,119.0,0,3.8,72,341.0,4.74,3,3,2,2,3,134.0,13,9,0,22,9,16,0,0,2,10.0,0,1,1,33:52,13,sdg
2006,6,2006-10-15,6,0,SFO,W,48,0,29,39,74.4,334.0,2,8.6,9.59,116.8,0,30,87.0,4,2.9,69,421.0,6.1,2,2,6,6,1,53.0,15,10,5,30,12,15,0,0,6,51.0,0,0,0,35:48,19,sdg
2006,7,2006-10-22,6,0,KAN,L,27,0,26,44,59.1,252.0,3,5.7,6.07,88.4,4,23,97.0,0,4.2,71,349.0,4.92,3,2,3,3,3,121.0,15,6,1,22,6,15,1,1,7,60.0,2,1,3,31:02,30,sdg
2006,8,2006-10-29,6,1,STL,W,38,0,15,23,65.2,203.0,1,8.8,9.7,107.7,1,35,216.0,3,6.2,59,419.0,7.1,1,1,5,5,3,130.0,11,10,0,21,7,13,0,1,3,43.0,0,0,0,30:54,24,sdg
2006,9,2006-11-05,6,1,CLE,W,32,0,19,28,67.9,191.0,0,6.8,6.82,87.1,3,23,190.0,3,8.3,54,381.0,7.06,1,1,3,3,6,291.0,8,10,1,19,3,10,0,0,12,113.0,1,0,1,27:06,25,sdg
2006,10,2006-11-12,6,0,CIN,W,49,0,24,36,66.7,324.0,3,9.0,10.67,122.9,3,26,107.0,4,4.1,65,431.0,6.63,0,0,7,7,5,186.0,17,7,1,25,9,14,0,0,4,45.0,0,0,0,28:42,41,sdg
2006,11,2006-11-19,6,0,DEN,W,35,0,19,26,73.1,217.0,2,8.3,6.42,91.3,1,29,125.0,3,4.3,56,342.0,6.11,0,0,5,5,3,110.0,12,9,0,21,8,12,0,0,5,35.0,0,2,2,29:11,27,sdg
2006,12,2006-11-26,6,1,OAK,W,21,0,15,32,46.9,150.0,1,4.7,3.91,58.1,1,25,110.0,2,4.4,58,260.0,4.48,0,0,3,3,5,194.0,8,5,2,15,2,11,1,2,5,49.0,0,1,1,27:35,14,sdg
2006,13,2006-12-03,6,0,BUF,W,24,0,17,29,58.6,138.0,1,4.8,5.45,82.3,3,35,197.0,2,5.6,67,335.0,5.0,2,1,3,3,6,250.0,9,9,0,18,4,13,0,0,3,30.0,2,0,2,34:23,21,sdg
2006,14,2006-12-10,6,1,DEN,W,48,0,15,23,65.2,276.0,2,12.0,13.74,135.4,1,36,143.0,4,4.0,60,419.0,6.98,2,2,6,6,3,133.0,11,11,0,22,8,13,0,0,5,38.0,1,0,1,30:46,20,sdg
2006,15,2006-12-17,6,1,KAN,W,20,0,8,23,34.8,88.0,0,3.8,-0.09,10.8,2,38,265.0,2,7.0,63,353.0,5.6,2,2,2,2,6,173.0,3,12,1,16,2,13,1,1,7,61.0,0,2,2,28:14,9,sdg
