Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,DET,W,9,0,25,30,83.3,173.0,0,5.8,5.77,90.7,5,26,91.0,0,3.5,61,264.0,4.33,5,3,0,0,5,263.0,11,5,1,17,2,11,0,0,8,55.0,1,0,1,32:25,6,sea
2006,2,2006-09-17,6,1,ARI,W,21,0,12,27,44.4,195.0,1,7.2,4.63,50.7,3,36,146.0,2,4.1,66,341.0,5.17,1,0,3,3,5,193.0,9,10,1,20,6,13,0,0,7,73.0,0,2,2,31:53,10,sea
2006,3,2006-09-24,6,1,NYG,W,42,0,24,33,72.7,227.0,5,6.9,5.82,93.1,0,41,106.0,1,2.6,74,333.0,4.5,0,0,6,6,4,195.0,15,10,1,26,10,16,1,1,4,22.0,0,3,3,38:00,30,sea
2006,4,2006-10-01,6,0,CHI,L,6,0,17,37,45.9,153.0,0,4.1,1.7,35.1,5,19,77.0,0,4.1,61,230.0,3.77,2,2,0,0,8,345.0,9,4,1,14,4,16,0,0,7,59.0,0,2,2,24:28,37,sea
2006,6,2006-10-15,6,0,STL,W,30,0,19,34,55.9,239.0,3,7.0,8.79,107.4,4,28,125.0,0,4.5,66,364.0,5.52,4,3,3,3,4,158.0,12,6,2,20,9,17,0,0,10,65.0,1,0,1,27:55,28,sea
2006,7,2006-10-22,6,1,MIN,L,13,0,21,42,50.0,237.0,1,5.6,3.98,55.4,4,21,53.0,0,2.5,67,290.0,4.33,2,2,1,1,6,307.0,12,1,3,16,6,16,0,1,5,30.0,1,2,3,27:41,31,sea
2006,8,2006-10-29,6,0,KAN,L,28,0,15,30,50.0,190.0,3,6.3,5.33,75.7,2,17,50.0,0,2.9,49,240.0,4.9,0,0,4,4,4,198.0,10,3,2,15,4,10,0,1,4,35.0,0,2,2,17:45,35,sea
2006,9,2006-11-06,0,1,OAK,W,16,0,18,30,60.0,164.0,1,5.5,6.13,86.0,3,39,207.0,0,5.3,72,371.0,5.15,3,3,1,1,8,339.0,9,9,2,20,4,16,0,0,10,80.0,0,0,0,35:39,0,sea
2006,10,2006-11-12,6,1,STL,W,24,0,15,23,65.2,123.0,2,5.3,7.09,107.7,6,26,160.0,0,6.2,55,283.0,5.15,1,1,3,3,4,168.0,9,9,1,19,4,11,0,0,3,16.0,2,0,2,26:08,22,sea
2006,11,2006-11-19,6,0,SFO,L,14,0,19,31,61.3,233.0,2,7.5,4.45,66.4,2,21,70.0,0,3.3,54,303.0,5.61,0,0,2,2,5,251.0,7,7,1,15,1,8,0,2,5,30.0,2,3,5,23:48,20,sea
2006,12,2006-11-27,0,1,GNB,W,34,0,17,36,47.2,147.0,3,4.1,2.0,51.5,1,48,235.0,0,4.9,85,382.0,4.49,4,4,2,2,3,132.0,11,14,4,29,4,14,1,1,3,25.0,1,3,4,36:07,24,sea
2006,13,2006-12-03,6,0,DEN,W,23,0,16,28,57.1,162.0,0,5.8,4.18,58.9,1,31,108.0,1,3.5,60,270.0,4.5,5,3,2,2,8,307.0,7,4,1,12,3,16,0,0,10,80.0,0,1,1,30:31,20,sea
2006,14,2006-12-10,6,0,ARI,L,21,0,20,28,71.4,228.0,3,8.1,10.29,131.2,3,29,120.0,0,4.1,60,348.0,5.8,0,0,3,3,4,199.0,9,8,4,21,5,12,0,1,6,40.0,3,0,3,25:21,27,sea
2006,15,2006-12-14,3,1,SFO,L,14,0,20,37,54.1,210.0,1,5.7,3.78,57.3,3,27,90.0,1,3.3,67,300.0,4.48,0,0,2,2,7,259.0,15,5,2,22,5,13,0,1,3,20.0,0,2,2,28:56,24,sea
2006,16,2006-12-24,6,1,SDG,L,17,0,17,37,45.9,161.0,0,4.4,1.92,36.0,6,33,153.0,2,4.6,76,314.0,4.13,1,1,2,2,9,446.0,9,7,2,18,10,21,0,0,6,50.0,0,2,2,32:51,20,sea
2006,17,2006-12-31,6,0,TAM,W,23,0,17,29,58.6,212.0,1,7.3,8.0,92.9,1,42,132.0,1,3.1,72,344.0,4.78,3,3,2,2,2,67.0,13,10,5,28,8,14,0,0,3,20.0,1,0,1,37:20,7,sea
2007,1,2007-09-09,6,1,TAM,W,20,0,17,24,70.8,204.0,1,8.5,9.33,110.4,2,34,139.0,1,4.1,60,343.0,5.72,2,2,2,2,6,258.0,9,8,0,17,4,12,0,0,3,35.0,1,0,1,30:25,6,sea
2007,2,2007-09-16,6,0,ARI,L,20,0,22,36,61.1,278.0,1,7.7,8.28,94.4,1,24,84.0,1,3.5,61,362.0,5.93,2,2,2,2,5,199.0,13,5,0,18,4,13,1,1,4,25.0,1,0,1,27:54,23,sea
2007,3,2007-09-23,6,1,CIN,W,24,0,24,37,64.9,238.0,3,6.4,5.62,87.4,2,25,102.0,0,4.1,64,340.0,5.31,1,1,3,3,5,200.0,12,5,2,19,5,12,1,1,3,20.0,0,2,2,26:38,21,sea
2007,4,2007-09-30,6,0,SFO,W,23,0,23,32,71.9,278.0,2,8.7,8.53,106.0,2,37,93.0,0,2.5,71,371.0,5.23,3,3,2,2,8,306.0,13,4,0,17,5,17,0,0,3,15.0,0,1,1,36:10,3,sea
2007,5,2007-10-07,6,0,PIT,L,0,0,14,30,46.7,106.0,0,3.5,2.03,41.8,3,13,38.0,0,2.9,46,144.0,3.13,0,0,0,0,9,395.0,4,3,1,8,4,13,0,0,4,25.0,0,1,1,19:15,21,sea
2007,6,2007-10-14,6,1,NOR,L,17,0,26,43,60.5,333.0,2,7.7,7.63,90.6,5,21,92.0,0,4.4,69,425.0,6.16,2,1,2,2,4,162.0,21,3,1,25,4,12,0,3,3,11.0,1,1,2,27:16,28,sea
2007,7,2007-10-21,6,1,STL,W,33,0,18,35,51.4,189.0,2,5.4,5.26,74.6,1,32,100.0,0,3.1,68,289.0,4.25,4,4,3,3,5,229.0,13,5,1,19,4,14,0,1,4,25.0,0,1,1,33:01,6,sea
2007,9,2007-11-04,6,0,CLE,L,30,1,30,47,63.8,318.0,2,6.8,6.66,88.8,0,28,105.0,0,3.8,75,423.0,5.64,3,3,3,3,2,72.0,22,5,1,28,7,14,0,2,4,20.0,1,1,2,32:23,33,sea
2007,10,2007-11-12,0,1,SFO,W,24,0,27,40,67.5,274.0,2,6.9,6.73,93.1,1,36,106.0,1,2.9,77,380.0,4.94,2,1,3,3,5,203.0,17,7,3,27,6,14,0,0,4,39.0,1,1,2,39:54,0,sea
2007,11,2007-11-18,6,1,CHI,W,30,0,30,44,68.2,322.0,2,7.3,8.23,104.5,2,23,103.0,1,4.5,69,425.0,6.16,4,3,3,3,5,175.0,14,7,0,21,6,16,1,1,2,20.0,1,0,1,31:05,23,sea
2007,12,2007-11-25,6,0,STL,W,24,0,21,38,55.3,215.0,1,5.7,5.0,69.5,5,19,87.0,1,4.6,62,302.0,4.87,3,1,3,3,5,233.0,13,4,1,18,3,12,0,0,6,45.0,1,1,2,24:43,19,sea
2007,13,2007-12-02,6,0,PHI,W,28,0,19,34,55.9,176.0,2,5.2,5.03,77.6,2,29,135.0,2,4.7,65,311.0,4.78,1,0,4,4,7,213.0,9,7,0,16,6,15,0,1,2,25.0,1,1,2,29:32,24,sea
2007,14,2007-12-09,6,1,ARI,W,42,0,22,33,66.7,269.0,4,8.2,10.58,131.2,1,28,80.0,0,2.9,62,349.0,5.63,2,2,4,4,5,180.0,13,6,2,21,4,12,1,1,5,23.0,0,0,0,29:23,21,sea
2007,15,2007-12-16,6,0,CAR,L,10,0,27,41,65.9,238.0,1,5.8,6.29,89.3,3,14,44.0,0,3.1,58,282.0,4.86,1,1,1,1,8,325.0,14,2,2,18,3,12,0,0,3,15.0,1,0,1,24:38,13,sea
2007,16,2007-12-23,6,1,BAL,W,27,0,19,29,65.5,192.0,2,6.6,4.9,78.5,2,36,144.0,0,4.0,67,336.0,5.01,2,2,3,3,5,213.0,10,8,3,21,4,14,0,1,0,0.0,0,2,2,32:36,6,sea
2007,17,2007-12-30,6,0,ATL,L,41,0,32,47,68.1,334.0,3,7.1,7.43,100.8,4,31,167.0,2,5.4,82,501.0,6.11,2,2,5,5,2,73.0,14,14,2,30,6,13,2,2,9,85.0,2,1,3,34:58,44,sea
2008,1,2008-09-07,6,0,BUF,L,10,0,17,41,41.5,167.0,1,4.1,3.46,51.6,5,21,85.0,0,4.0,67,252.0,3.76,1,1,1,1,11,450.0,11,4,1,16,3,16,0,1,5,30.0,1,1,2,28:41,34,sea
2008,2,2008-09-14,6,1,SFO,L,30,1,18,36,50.0,182.0,0,5.1,2.56,41.7,1,34,169.0,2,5.0,71,351.0,4.94,3,3,3,3,4,117.0,11,11,0,22,5,13,0,0,10,75.0,1,2,3,30:12,33,sea
2008,3,2008-09-21,6,1,STL,W,37,0,12,20,60.0,162.0,1,8.1,9.1,102.5,1,46,245.0,3,5.3,67,407.0,6.07,3,3,4,4,3,126.0,9,13,2,24,6,12,1,1,5,55.0,1,0,1,34:58,13,sea
2008,5,2008-10-05,6,0,NYG,L,6,0,14,27,51.9,113.0,0,4.2,2.52,47.3,2,22,74.0,0,3.4,51,187.0,3.67,2,2,0,0,8,369.0,7,2,4,13,1,11,0,0,2,29.0,0,1,1,23:32,44,sea
2008,6,2008-10-12,6,1,GNB,L,17,0,12,23,52.2,64.0,2,2.8,0.61,50.8,3,23,113.0,0,4.9,49,177.0,3.61,1,1,2,2,5,244.0,5,6,2,13,4,11,1,1,6,50.0,0,2,2,22:34,27,sea
2008,7,2008-10-19,6,0,TAM,L,10,0,12,23,52.2,73.0,1,3.2,2.09,55.2,0,16,103.0,0,6.4,39,176.0,4.51,2,1,1,1,5,237.0,4,3,0,7,2,10,1,1,1,6.0,1,1,2,18:19,20,sea
2008,8,2008-10-26,6,0,SFO,W,34,0,15,25,60.0,222.0,2,8.9,10.48,115.7,1,28,39.0,1,1.4,54,261.0,4.83,2,2,4,4,5,267.0,10,4,0,14,6,14,1,1,3,15.0,0,0,0,25:58,13,sea
2008,9,2008-11-02,6,1,PHI,L,7,0,13,29,44.8,147.0,1,5.1,5.76,72.1,4,22,86.0,0,3.9,55,233.0,4.24,0,0,1,1,11,508.0,2,7,1,10,4,15,0,0,4,20.0,0,0,0,22:45,26,sea
2008,10,2008-11-09,6,0,MIA,L,19,0,21,38,55.3,172.0,1,4.5,5.05,75.8,3,23,126.0,0,5.5,64,298.0,4.66,2,2,1,1,5,198.0,12,8,1,21,7,15,0,1,5,25.0,0,0,0,28:07,21,sea
2008,11,2008-11-16,6,1,ARI,L,20,0,17,29,58.6,153.0,1,5.3,1.31,44.8,2,22,43.0,2,2.0,53,196.0,3.7,0,0,2,2,4,178.0,9,6,3,18,1,9,2,2,1,15.0,1,3,4,25:55,26,sea
2008,12,2008-11-23,6,1,WAS,L,17,0,12,24,50.0,89.0,2,3.7,1.63,52.3,2,20,139.0,0,7.0,46,228.0,4.96,2,1,2,2,4,191.0,6,7,0,13,3,10,0,0,6,51.0,0,2,2,21:33,20,sea
2008,13,2008-11-27,3,0,DAL,L,9,0,22,38,57.9,242.0,0,6.4,5.18,65.9,7,23,80.0,0,3.5,68,322.0,4.74,3,3,0,0,7,351.0,14,5,0,19,3,14,1,1,5,46.0,1,1,2,29:30,34,sea
2008,14,2008-12-07,6,1,NWE,L,21,0,20,28,71.4,205.0,3,7.3,9.46,127.8,1,26,134.0,0,5.2,55,339.0,6.16,0,0,3,3,5,197.0,11,7,0,18,7,12,0,0,5,39.0,1,0,1,26:05,24,sea
2008,15,2008-12-14,6,0,STL,W,23,0,15,25,60.0,208.0,0,8.3,8.32,86.7,3,27,125.0,1,4.6,55,333.0,6.05,3,3,2,2,4,209.0,9,7,0,16,5,11,0,0,5,35.0,2,0,2,26:02,20,sea
2008,16,2008-12-21,6,1,NYJ,W,13,0,18,25,72.0,175.0,1,7.0,7.8,104.6,0,36,120.0,0,3.3,61,295.0,4.84,2,2,1,1,5,184.0,9,7,1,17,2,12,0,0,5,28.0,2,0,2,29:36,3,sea
2008,17,2008-12-28,6,0,ARI,L,21,0,24,43,55.8,243.0,2,5.7,4.49,68.3,1,28,87.0,1,3.1,72,330.0,4.58,1,0,3,3,4,181.0,13,7,4,24,3,13,3,3,11,82.0,1,2,3,32:16,34,sea
