Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,0,ARI,L,27,0,23,40,57.5,286.0,1,7.2,7.65,88.1,1,18,107.0,2,5.9,59,393.0,6.66,3,2,3,3,4,145.0,10,6,3,19,1,9,1,1,8,62.0,2,0,2,24:58,34,sfo
2006,2,2006-09-17,6,1,STL,W,20,0,11,22,50.0,233.0,1,10.6,11.5,103.0,0,33,127.0,1,3.8,55,360.0,6.55,3,2,2,2,4,180.0,9,5,0,14,4,12,0,0,2,20.0,1,0,1,25:23,13,sfo
2006,3,2006-09-24,6,1,PHI,L,24,0,27,46,58.7,269.0,1,5.8,6.28,82.6,3,28,123.0,2,4.4,77,392.0,5.09,1,1,3,3,7,298.0,13,8,2,23,7,18,1,1,8,64.0,2,0,2,35:21,38,sfo
2006,4,2006-10-01,6,0,KAN,L,0,0,13,25,52.0,76.0,0,3.0,-0.56,24.7,4,22,89.0,0,4.0,51,165.0,3.24,1,0,0,0,7,316.0,4,5,1,10,3,13,0,0,6,73.0,2,2,4,24:45,41,sfo
2006,5,2006-10-08,6,1,OAK,W,34,0,15,19,78.9,165.0,3,8.7,9.47,120.5,0,41,165.0,0,4.0,60,330.0,5.5,3,2,4,4,1,30.0,11,7,0,18,5,11,0,2,3,20.0,0,1,1,35:13,20,sfo
2006,6,2006-10-15,6,1,SDG,L,19,0,20,31,64.5,182.0,2,5.9,5.71,88.4,5,14,92.0,0,6.6,50,274.0,5.48,1,1,2,2,4,192.0,10,4,1,15,4,11,0,1,9,116.0,1,1,2,24:12,48,sfo
2006,8,2006-10-29,6,0,CHI,L,10,0,14,25,56.0,121.0,1,4.8,2.04,48.9,2,19,127.0,0,6.7,46,248.0,5.39,1,1,1,1,4,156.0,6,5,1,12,3,10,0,1,5,38.0,3,2,5,22:55,41,sfo
2006,9,2006-11-05,6,1,MIN,W,9,0,13,21,61.9,91.0,0,4.3,2.19,51.9,3,26,42.0,0,1.6,50,133.0,2.66,3,3,0,0,6,291.0,4,3,1,8,3,13,0,0,5,56.0,0,1,1,25:15,3,sfo
2006,10,2006-11-12,6,0,DET,W,19,0,14,21,66.7,117.0,0,5.6,5.57,80.9,3,44,198.0,1,4.5,68,315.0,4.63,4,4,1,1,3,106.0,9,7,1,17,10,19,0,0,5,51.0,1,0,1,38:49,13,sfo
2006,11,2006-11-19,6,1,SEA,W,20,0,19,25,76.0,154.0,1,6.2,6.96,104.4,1,34,262.0,1,7.7,60,416.0,6.93,4,2,2,2,6,260.0,7,10,1,18,3,13,0,0,5,39.0,1,0,1,36:12,14,sfo
2006,12,2006-11-26,6,0,STL,L,17,0,13,25,52.0,148.0,1,5.9,3.12,50.1,0,31,171.0,1,5.5,56,319.0,5.7,1,1,2,2,4,206.0,11,9,0,20,5,11,0,0,5,34.0,1,2,3,29:26,20,sfo
2006,13,2006-12-03,6,0,NOR,L,10,0,14,28,50.0,145.0,1,5.2,1.07,37.6,4,15,57.0,0,3.8,47,202.0,4.3,1,1,1,1,7,352.0,6,3,1,10,3,11,0,0,7,37.0,0,3,3,22:41,34,sfo
