Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,BAL,L,0,0,18,34,52.9,116.0,0,3.4,-0.56,23.7,3,13,26.0,0,2.0,50,142.0,2.84,0,0,0,0,8,372.0,5,3,0,8,3,12,0,1,3,21.0,0,3,3,24:11,27,tam
2006,2,2006-09-17,6,0,ATL,L,3,0,28,53,52.8,311.0,0,5.9,3.32,47.0,1,16,40.0,0,2.5,70,351.0,5.01,3,1,0,0,4,170.0,17,1,4,22,7,14,0,0,8,99.0,0,3,3,25:51,14,tam
2006,3,2006-09-24,6,1,CAR,L,24,0,14,25,56.0,145.0,1,5.8,4.8,69.6,1,25,64.0,2,2.6,51,209.0,4.1,1,1,3,3,6,273.0,6,5,2,13,4,12,1,1,6,56.0,1,1,2,25:37,26,tam
2006,5,2006-10-08,6,0,NOR,L,21,0,20,31,64.5,219.0,2,7.1,8.35,106.8,2,33,187.0,1,5.7,66,406.0,6.15,0,0,3,3,6,233.0,9,8,1,18,5,13,0,2,8,66.0,1,0,1,30:37,24,tam
2006,6,2006-10-15,6,1,CIN,W,14,0,25,44,56.8,174.0,2,4.0,3.84,71.6,2,25,126.0,0,5.0,71,300.0,4.23,1,0,2,2,7,328.0,12,6,3,21,6,16,1,1,9,75.0,0,1,1,35:07,13,tam
2006,7,2006-10-22,6,1,PHI,W,23,0,13,26,50.0,85.0,0,3.3,3.27,57.4,2,30,111.0,0,3.7,58,196.0,3.38,3,3,2,2,6,241.0,6,6,2,14,5,14,1,1,2,15.0,0,0,0,31:01,21,tam
2006,8,2006-10-29,6,0,NYG,L,3,0,20,48,41.7,134.0,0,2.8,2.79,49.3,2,13,40.0,0,3.1,63,174.0,2.76,1,1,0,0,9,357.0,5,2,3,10,2,16,0,3,3,30.0,1,0,1,24:22,17,tam
2006,9,2006-11-05,6,1,NOR,L,14,0,18,31,58.1,158.0,2,5.1,6.39,93.2,4,18,68.0,0,3.8,53,226.0,4.26,0,0,2,2,8,327.0,8,3,0,11,4,14,0,1,4,25.0,1,0,1,22:39,31,tam
2006,10,2006-11-13,0,0,CAR,L,10,0,17,32,53.1,153.0,1,4.8,2.59,50.7,3,22,69.0,0,3.1,57,222.0,3.89,1,1,1,1,6,259.0,9,3,1,13,3,13,0,1,9,71.0,2,2,4,26:44,24,tam
2006,11,2006-11-19,6,1,WAS,W,20,0,14,21,66.7,178.0,2,8.5,8.24,104.9,0,42,181.0,0,4.3,63,359.0,5.7,2,2,2,2,3,146.0,9,8,2,19,6,13,0,0,4,35.0,1,1,2,36:01,17,tam
2006,12,2006-11-23,3,0,DAL,L,10,0,10,20,50.0,110.0,0,5.5,1.0,27.1,1,24,101.0,1,4.2,45,211.0,4.69,1,1,1,1,4,178.0,5,5,0,10,5,10,0,0,5,55.0,0,2,2,22:43,38,tam
