Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-11,0,1,MIN,L,16,0,17,28,60.7,163.0,0,5.8,5.82,76.9,0,25,103.0,1,4.1,53,266.0,5.02,4,3,1,1,5,215.0,8,5,2,15,4,13,0,0,7,55.0,0,0,0,28:16,19,was
2006,2,2006-09-17,6,0,DAL,L,10,0,18,32,56.3,152.0,0,4.8,3.34,55.7,6,20,93.0,0,4.7,58,245.0,4.22,1,1,1,1,8,413.0,9,4,3,16,2,14,0,1,11,117.0,0,1,1,28:05,27,was
2006,3,2006-09-24,6,0,HOU,W,31,0,24,27,88.9,261.0,1,9.7,10.41,119.3,0,41,234.0,3,5.7,68,495.0,7.28,1,1,4,4,2,112.0,10,13,2,25,9,13,0,0,12,126.0,1,0,1,38:27,15,was
2006,4,2006-10-01,6,1,JAX,W,36,1,18,30,60.0,329.0,3,11.0,11.47,117.2,0,40,152.0,1,3.8,70,481.0,6.87,3,3,3,3,5,154.0,11,11,0,22,7,14,0,0,4,40.0,1,1,2,36:32,30,was
2006,5,2006-10-08,6,0,NYG,L,3,0,12,22,54.5,86.0,0,3.9,3.91,63.8,3,20,78.0,0,3.9,45,164.0,3.64,2,1,0,0,5,208.0,6,3,1,10,3,11,0,1,5,35.0,0,0,0,25:13,19,was
2006,6,2006-10-15,6,1,TEN,L,22,0,16,30,53.3,180.0,1,6.0,5.17,68.7,0,26,125.0,2,4.8,56,305.0,5.45,0,0,2,2,7,240.0,8,8,2,18,5,12,0,0,6,46.0,1,1,2,24:20,25,was
2006,7,2006-10-22,6,0,IND,L,22,0,27,37,73.0,211.0,2,5.7,6.78,104.7,2,24,114.0,0,4.8,63,325.0,5.16,2,0,2,2,4,154.0,12,6,1,19,6,14,2,2,10,91.0,0,0,0,30:54,36,was
2006,9,2006-11-05,6,1,DAL,W,22,0,14,23,60.9,183.0,1,8.0,8.83,100.5,1,32,117.0,1,3.7,56,300.0,5.36,3,2,2,2,4,171.0,10,4,4,18,5,13,0,1,5,41.0,1,0,1,28:32,19,was
2006,10,2006-11-12,6,0,PHI,L,3,0,16,32,50.0,132.0,0,4.1,2.72,47.9,0,31,146.0,0,4.7,63,278.0,4.41,2,1,0,0,6,238.0,6,7,3,16,3,13,1,2,8,58.0,0,1,1,29:31,27,was
2006,11,2006-11-19,6,0,TAM,L,17,0,19,34,55.9,193.0,2,5.7,6.85,91.9,1,21,59.0,0,2.8,56,252.0,4.5,1,1,2,2,5,220.0,12,3,0,15,4,13,2,2,3,19.0,1,0,1,23:59,20,was
2006,12,2006-11-26,6,1,CAR,W,17,0,11,23,47.8,110.0,2,4.8,4.57,72.7,1,37,143.0,0,3.9,61,253.0,4.15,2,1,2,2,8,320.0,3,10,1,14,4,15,0,0,6,40.0,0,1,1,29:14,13,was
2006,13,2006-12-03,6,1,ATL,L,14,0,18,38,47.4,204.0,1,5.4,3.53,50.8,1,35,177.0,1,5.1,74,381.0,5.15,1,0,2,2,5,204.0,13,11,1,25,6,14,0,2,3,30.0,0,2,2,31:38,24,was
2006,14,2006-12-10,6,1,PHI,L,19,0,16,28,57.1,205.0,1,7.3,4.82,62.4,2,40,210.0,0,5.3,70,415.0,5.93,4,4,1,1,3,144.0,10,9,1,20,7,16,0,0,11,68.0,0,2,2,37:46,21,was
2006,15,2006-12-17,6,0,NOR,W,16,0,13,28,46.4,193.0,1,6.9,7.61,81.4,1,31,161.0,0,5.2,60,354.0,5.9,3,3,1,1,5,239.0,10,9,0,19,5,13,0,0,3,15.0,0,0,0,29:37,10,was
2006,16,2006-12-24,6,0,STL,L,31,1,13,26,50.0,160.0,1,6.2,6.92,82.2,0,38,176.0,3,4.6,64,336.0,5.25,1,1,4,4,7,308.0,10,11,1,22,4,12,0,0,2,58.0,1,0,1,29:56,37,was
2006,17,2006-12-30,5,1,NYG,L,28,0,22,32,68.8,265.0,3,8.3,8.75,112.1,1,29,128.0,1,4.4,62,393.0,6.34,0,0,4,4,3,131.0,12,9,0,21,5,11,1,2,10,100.0,1,1,2,31:56,34,was
2007,1,2007-09-09,6,1,MIA,W,16,1,12,21,57.1,209.0,0,10.0,5.67,51.6,2,41,191.0,1,4.7,64,400.0,6.25,3,3,1,1,5,240.0,9,10,0,19,7,14,0,0,7,65.0,0,2,2,35:03,13,was
2007,2,2007-09-17,0,0,PHI,W,20,0,16,29,55.2,207.0,1,7.1,6.28,74.9,1,33,130.0,1,3.9,63,337.0,5.35,2,2,2,2,5,222.0,12,7,0,19,8,15,0,0,5,25.0,0,1,1,30:04,12,was
