Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Seyi Ajirotutu,WR,Fresno State,College Stats,6-3,204,4.60,36.0,14,115,7.22,4.39,
Danario Alexander,WR,Missouri,College Stats,6-5,215,4.62,,,,,,
Brandon Banks,WR,Kansas State,College Stats,5-7,149,4.37,31.0,,113,6.88,4.29,
Joique Bell,RB,Wayne State (MI),,5-11,220,4.68,36.5,,120,6.84,4.17,
Arrelious Benn,WR,Illinois,College Stats,6-1,219,4.57,37.0,20,118,,,Tampa Bay Buccaneers / 2nd / 39th pick /2010
Jahvid Best,RB,California,College Stats,5-10,199,4.34,32.5,18,113,6.75,4.17,Detroit Lions / 1st / 30th pick /2010
LeGarrette Blount,RB,Oregon,College Stats,6-0,241,4.70,35.0,18,117,6.85,4.49,
Sam Bradford,QB,Oklahoma,College Stats,6-4,236,4.79,,,,,,St. Louis Rams / 1st / 1st pick /2010
Dezmon Briscoe,WR,Kansas,College Stats,6-2,207,4.66,33.0,9,115,7.10,4.57,Cincinnati Bengals / 6th / 191st pick /2010
Chris Brown,RB,Oklahoma,College Stats,5-10,210,4.55,36.0,17,115,,,
Antonio Brown,WR,Central Michigan,College Stats,5-10,186,4.56,33.5,13,105,6.98,4.18,Pittsburgh Steelers / 6th / 195th pick /2010
Levi Brown,QB,Troy,College Stats,6-3,229,4.93,31.5,20,106,7.07,4.43,Buffalo Bills / 7th / 209th pick /2010
Dez Bryant,WR,Oklahoma State,College Stats,6-2,225,4.52,,,,,,Dallas Cowboys / 1st / 24th pick /2010
Nate Byham,TE,Pittsburgh,College Stats,6-4,268,4.97,29.0,,109,,,San Francisco 49ers / 6th / 182nd pick /2010
Jimmy Clausen,QB,Notre Dame,College Stats,6-3,222,4.76,,,,,,Carolina Panthers / 2nd / 48th pick /2010
John Conner,FB,Kentucky,College Stats,5-11,246,4.64,35.0,24,111,7.15,4.32,New York Jets / 5th / 139th pick /2010
Riley Cooper,WR,Florida,College Stats,6-3,222,4.53,33.0,,114,,,Philadelphia Eagles / 5th / 159th pick /2010
Eric Decker,WR,Minnesota,College Stats,6-3,217,4.54,,15,,,,Denver Broncos / 3rd / 87th pick /2010
Dorin Dickerson,TE,Pittsburgh,College Stats,6-1,226,4.40,43.5,24,125,6.96,4.30,Houston Texans / 7th / 227th pick /2010
Ed Dickson,TE,Oregon,College Stats,6-4,249,4.59,34.0,23,115,7.32,4.59,Baltimore Ravens / 3rd / 70th pick /2010
Anthony Dixon,RB,Mississippi State,College Stats,6-1,233,4.67,33.0,15,121,7.09,4.49,San Francisco 49ers / 6th / 173rd pick /2010
Jim Dray,TE,Stanford,College Stats,6-5,246,4.82,,17,,,,Arizona Cardinals / 7th / 233rd pick /2010
Jonathan Dwyer,RB,Georgia Tech,College Stats,5-11,229,4.64,33.0,15,107,7.56,4.67,Pittsburgh Steelers / 6th / 188th pick /2010
Marcus Easley,WR,Connecticut,College Stats,6-3,210,4.39,34.0,16,123,6.94,4.60,Buffalo Bills / 4th / 107th pick /2010
Armanti Edwards,WR,Appalachian State,,5-11,187,4.41,,,,,,Carolina Panthers / 3rd / 89th pick /2010
Dedrick Epps,TE,Miami (FL),College Stats,6-3,250,4.70,,19,,,,San Diego Chargers / 7th / 235th pick /2010
Jacoby Ford,WR,Clemson,College Stats,5-9,186,4.28,33.5,15,115,7.00,4.44,Oakland Raiders / 4th / 108th pick /2010
Toby Gerhart,RB,Stanford,College Stats,6-0,231,4.50,38.0,22,118,6.94,4.25,Minnesota Vikings / 2nd / 51st pick /2010
David Gettis,WR,Baylor,College Stats,6-3,217,4.43,34.5,15,124,6.94,4.41,Carolina Panthers / 6th / 198th pick /2010
Mardy Gilyard,WR,Cincinnati,College Stats,6-0,187,4.61,39.0,,116,6.92,4.40,St. Louis Rams / 4th / 99th pick /2010
Garrett Graham,TE,Wisconsin,College Stats,6-3,243,4.71,34.5,20,112,7.09,4.35,Houston Texans / 4th / 118th pick /2010
Jimmy Graham,TE,Miami (FL),College Stats,6-6,260,4.53,38.5,,120,6.90,4.45,New Orleans Saints / 3rd / 95th pick /2010
Jermaine Gresham,TE,Oklahoma,College Stats,6-5,261,4.66,35.0,20,113,7.07,4.53,Cincinnati Bengals / 1st / 21st pick /2010
Rob Gronkowski,TE,Arizona,College Stats,6-6,264,4.68,,23,,,,New England Patriots / 2nd / 42nd pick /2010
Max Hall,QB,BYU,College Stats,6-1,209,4.84,32.0,,102,7.07,4.35,
Clay Harbor,FB,Missouri State,,6-3,252,4.62,40.0,30,120,,4.37,Philadelphia Eagles / 4th / 125th pick /2010
Montario Hardesty,RB,Tennessee,College Stats,6-0,225,4.49,41.0,21,124,6.87,4.14,Cleveland Browns / 2nd / 59th pick /2010
Aaron Hernandez,TE,Florida,College Stats,6-2,245,4.64,,,,,,New England Patriots / 4th / 113th pick /2010
Trindon Holliday,WR,LSU,College Stats,5-5,166,4.34,42.0,10,116,6.54,4.48,Houston Texans / 6th / 197th pick /2010
Michael Hoomanawanui,TE,Illinois,College Stats,6-4,264,4.77,,25,,,,St. Louis Rams / 5th / 132nd pick /2010
Brandon James,RB,Florida,College Stats,5-6,176,4.47,,14,,,,
Javarris James,RB,Miami (FL),College Stats,6-0,212,4.58,36.0,21,115,,,
Donald Jones,WR,Youngstown State,,6-0,214,4.46,41.0,20,119,6.90,4.20,
Mike Kafka,QB,Northwestern,College Stats,6-3,225,4.93,32.0,,110,6.96,4.37,Philadelphia Eagles / 4th / 122nd pick /2010
