Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2009*,West Virginia,Big East,FR,RB,13,15,151,10.1,1,11.6,6,47,7.8,1,3.6,21,198,9.4,2,,Tavon Austin
2010*,West Virginia,Big East,SO,RB,13,58,787,13.6,8,60.5,16,161,10.1,1,12.4,74,948,12.8,9,,Tavon Austin
2011*,West Virginia,Big East,JR,RB,13,101,1186,11.7,8,91.2,16,182,11.4,1,14.0,117,1368,11.7,9,,Tavon Austin
2012*,West Virginia,Big 12,SR,WR,13,114,1289,11.3,12,99.2,72,643,8.9,3,49.5,186,1932,10.4,15,H-8,Tavon Austin
2011*,North Carolina,ACC,FR,RB,13,45,362,8.0,1,27.8,239,1253,5.2,13,96.4,284,1615,5.7,14,,Giovani Bernard
2012,North Carolina,ACC,SO,RB,10,47,490,10.4,5,49.0,184,1228,6.7,12,122.8,231,1718,7.4,17,,Giovani Bernard
2010*,Michigan State,Big Ten,FR,RB,13,11,97,8.8,0,7.5,107,605,5.7,8,46.5,118,702,5.9,8,,Le'Veon Bell
2011*,Michigan State,Big Ten,SO,RB,14,35,267,7.6,0,19.1,182,948,5.2,13,67.7,217,1215,5.6,13,,Le'Veon Bell
2012*,Michigan State,Big Ten,JR,RB,13,32,167,5.2,1,12.8,382,1793,4.7,12,137.9,414,1960,4.7,13,,Le'Veon Bell
2009*,Wisconsin,Big Ten,FR,RB,9,9,92,10.2,0,10.2,98,391,4.0,4,43.4,107,483,4.5,4,,Montee Ball
2010*,Wisconsin,Big Ten,SO,RB,12,16,128,8.0,0,10.7,163,996,6.1,18,83.0,179,1124,6.3,18,,Montee Ball
2011*,Wisconsin,Big Ten,JR,RB,14,24,306,12.8,6,21.9,307,1923,6.3,33,137.4,331,2229,6.7,39,"H-4,AA",Montee Ball
2012*,Wisconsin,Big Ten,SR,RB,14,10,72,7.2,0,5.1,356,1830,5.1,22,130.7,366,1902,5.2,22,AA,Montee Ball
2010*,Alabama,SEC,FR,RB,12,2,18,9.0,0,1.5,56,406,7.3,6,33.8,58,424,7.3,6,,Eddie Lacy
2011*,Alabama,SEC,SO,RB,12,11,131,11.9,0,10.9,95,674,7.1,7,56.2,106,805,7.6,7,,Eddie Lacy
2012*,Alabama,SEC,JR,RB,14,22,189,8.6,2,13.5,204,1322,6.5,17,94.4,226,1511,6.7,19,,Eddie Lacy
2009*,Texas A&M,Big 12,FR,RB,12,15,66,4.4,0,5.5,166,844,5.1,10,70.3,181,910,5.0,10,,Christine Michael
2010*,Texas A&M,Big 12,SO,RB,8,13,174,13.4,0,21.8,126,631,5.0,4,78.9,139,805,5.8,4,,Christine Michael
2011*,Texas A&M,Big 12,JR,RB,9,8,35,4.4,1,3.9,149,899,6.0,8,99.9,157,934,5.9,9,,Christine Michael
2012*,Texas A&M,SEC,SR,RB,11,8,48,6.0,0,4.4,88,417,4.7,12,37.9,96,465,4.8,12,,Christine Michael
2009*,Arkansas,SEC,FR,RB,13,2,4,2.0,0,0.3,33,163,4.9,4,12.5,35,167,4.8,4,,Knile Davis
2010*,Arkansas,SEC,SO,RB,13,19,136,7.2,1,10.5,204,1322,6.5,13,101.7,223,1458,6.5,14,,Knile Davis
,,,,,,,,,,,,,,,,,,,,,Knile Davis
2012,Arkansas,SEC,JR,RB,10,11,157,14.3,1,15.7,112,377,3.4,2,37.7,123,534,4.3,3,,Knile Davis
