Season,Team,Conf,Class,Pos,G,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF,Awards,Player,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Rushing Y/A,Def Interceptions Avg
2009*,Oregon,Pac-10,FR,WR,6,1,1,2,0,0.0,0,0,0,0,0,0,0,0,,Dion Jordan,,,,,,,,,,,,,,,
2010*,Oregon,Pac-10,SO,DL,13,21,12,33,6,2.0,0,0,0,1,0,0,0,0,,Dion Jordan,,,,,,,,,,,,,,,
2011*,Oregon,Pac-12,JR,DL,14,25,17,42,13,7.5,0,0,0,0,0,0,0,1,,Dion Jordan,,,,,,,,,,,,,,,
2012*,Oregon,Pac-12,SR,DL,12,26,18,44,11,5.0,0,0,0,1,0,0,0,3,,Dion Jordan,,,,,,,,,,,,,,,
2010*,Clemson,ACC,FR,WR,12,,,,,,,,,,,,,,,DeAndre Hopkins,52,637,12.3,4,53.1,0,0,0,0.0,52,637,12.3,4,,
2011*,Clemson,ACC,SO,WR,14,,,,,,,,,,,,,,,DeAndre Hopkins,72,978,13.6,5,69.9,0,0,0,0.0,72,978,13.6,5,,
2012*,Clemson,ACC,JR,WR,13,,,,,,,,,,,,,,,DeAndre Hopkins,82,1405,17.1,18,108.1,0,0,0,0.0,82,1405,17.1,18,,
2012,Tennessee,SEC,JR,WR,12,,,,,,,,,,,,,,,Cordarrelle Patterson,46,778,16.9,5,64.8,25,308,3,25.7,71,1086,15.3,8,12.3,
2010*,Tennessee,SEC,FR,WR,13,,,,,,,,,,,,,,,Justin Hunter,16,415,25.9,7,31.9,0,0,0,0.0,16,415,25.9,7,,
2011,Tennessee,SEC,SO,WR,3,,,,,,,,,,,,,,,Justin Hunter,17,314,18.5,2,104.7,0,0,0,0.0,17,314,18.5,2,,
2012,Tennessee,SEC,JR,WR,12,,,,,,,,,,,,,,,Justin Hunter,73,1083,14.8,9,90.3,0,0,0,0.0,73,1083,14.8,9,,
2010,USC,Pac-10,FR,WR,13,,,,,,,,,,,,,,,Robert Woods,65,792,12.2,6,60.9,6,50,0,3.8,71,842,11.9,6,8.3,
2011,USC,Pac-12,SO,WR,12,,,,,,,,,,,,,,AA,Robert Woods,111,1292,11.6,15,107.7,7,16,0,1.3,118,1308,11.1,15,2.3,
2012*,USC,Pac-12,JR,WR,13,,,,,,,,,,,,,,,Robert Woods,76,846,11.1,11,65.1,1,76,0,5.8,77,922,12.0,11,76.0,
2009*,Marshall,CUSA,FR,WR,12,,,,,,,,,,,,,,,Aaron Dobson,15,362,24.1,4,30.2,0,0,0,0.0,15,362,24.1,4,,
2010,Marshall,CUSA,SO,WR,12,,,,,,,,,,,,,,,Aaron Dobson,44,689,15.7,5,57.4,2,18,0,1.5,46,707,15.4,5,9.0,
2011*,Marshall,CUSA,JR,WR,13,,,,,,,,,,,,,,,Aaron Dobson,49,668,13.6,12,51.4,1,1,0,0.1,50,669,13.4,12,1.0,
2012,Marshall,CUSA,SR,WR,10,,,,,,,,,,,,,,,Aaron Dobson,57,679,11.9,3,67.9,0,0,0,0.0,57,679,11.9,3,,
2009,Baylor,Big 12,SO,WR,12,,,,,,,,,,,,,,,Terrance Williams,3,61,20.3,0,5.1,0,0,0,0.0,3,61,20.3,0,,
2010*,Baylor,Big 12,SO,WR,13,,,,,,,,,,,,,,,Terrance Williams,43,484,11.3,4,37.2,1,3,0,0.2,44,487,11.1,4,3.0,
2011*,Baylor,Big 12,JR,WR,13,,,,,,,,,,,,,,,Terrance Williams,59,957,16.2,11,73.6,0,0,0,0.0,59,957,16.2,11,,
