Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2011,UCF,CUSA,FR,QB,10,75,110,68.2,958,6,5.5,3,2.7,8.7,8.57,12.8,95.8,153.9,,Blake Bortles
2012*,UCF,CUSA,SO,QB,14,251,399,62.9,3059,25,6.3,7,1.8,7.7,8.13,12.2,218.5,144.5,,Blake Bortles
2013*,UCF,American,JR,QB,13,259,382,67.8,3581,25,6.5,9,2.4,9.4,9.62,13.8,275.5,163.4,,Blake Bortles
2012*,Texas A&M,SEC,FR,QB,13,295,434,68.0,3706,26,6.0,9,2.1,8.5,8.80,12.6,285.1,155.3,"H-1,AA",Johnny Manziel
2013*,Texas A&M,SEC,SO,QB,13,300,429,69.9,4114,37,8.6,13,3.0,9.6,9.95,13.7,316.5,172.9,H-5,Johnny Manziel
2011*,Louisville,Big East,FR,QB,13,191,296,64.5,2129,14,4.7,12,4.1,7.2,6.31,11.1,163.8,132.4,,Teddy Bridgewater
2012*,Louisville,Big East,SO,QB,13,287,419,68.5,3718,27,6.4,8,1.9,8.9,9.30,13.0,286.0,160.5,,Teddy Bridgewater
2013*,Louisville,American,JR,QB,13,303,427,71.0,3970,31,7.3,4,0.9,9.3,10.33,13.1,305.4,171.1,,Teddy Bridgewater
2009*,Fresno State,WAC,FR,QB,5,10,14,71.4,112,0,0.0,0,0.0,8.0,8.00,11.2,22.4,138.6,,Derek Carr
,,,,,,,,,,,,,,,,,,,,Derek Carr
2011,Fresno State,WAC,SO,QB,13,279,446,62.6,3544,26,5.8,9,2.0,7.9,8.20,12.7,272.6,144.5,,Derek Carr
2012*,Fresno State,MWC,JR,QB,13,344,511,67.3,4104,37,7.2,7,1.4,8.0,8.86,11.9,315.7,155.9,,Derek Carr
2013*,Fresno State,MWC,SR,QB,13,454,659,68.9,5083,50,7.6,8,1.2,7.7,8.68,11.2,391.0,156.3,H-8,Derek Carr
2010*,Virginia Tech,ACC,SO,QB,7,12,26,46.2,107,0,0.0,0,0.0,4.1,4.12,8.9,15.3,80.7,,Logan Thomas
2011*,Virginia Tech,ACC,JR,QB,14,234,391,59.8,3013,19,4.9,10,2.6,7.7,7.53,12.9,215.2,135.5,,Logan Thomas
2012*,Virginia Tech,ACC,SR,QB,13,220,429,51.3,2976,18,4.2,16,3.7,6.9,6.10,13.5,228.9,115.9,,Logan Thomas
2013*,Virginia Tech,ACC,SR,QB,13,227,402,56.5,2907,15,3.7,13,3.2,7.2,6.52,12.8,223.6,123.1,,Logan Thomas
2009*,Rutgers,Big East,FR,QB,12,149,285,52.3,2211,14,4.9,7,2.5,7.8,7.64,14.8,184.3,128.7,,Tom Savage
2010,Rutgers,Big East,SO,QB,6,43,83,51.8,521,2,2.4,3,3.6,6.3,5.13,12.1,86.8,105.3,,Tom Savage
,,,,,,,,,,,,,,,,,,,,Tom Savage
2013*,Pitt,ACC,SR,QB,13,238,389,61.2,2958,21,5.4,9,2.3,7.6,7.64,12.4,227.5,138.2,,Tom Savage
2010*,Georgia,SEC,FR,QB,13,209,342,61.1,3049,24,7.0,8,2.3,8.9,9.27,14.6,234.5,154.5,,Aaron Murray
2011*,Georgia,SEC,SO,QB,14,238,403,59.1,3149,35,8.7,14,3.5,7.8,7.99,13.2,224.9,146.4,,Aaron Murray
2012*,Georgia,SEC,JR,QB,14,249,386,64.5,3893,36,9.3,10,2.6,10.1,10.78,15.6,278.1,174.8,,Aaron Murray
2013*,Georgia,SEC,SR,QB,11,225,347,64.8,3075,26,7.5,9,2.6,8.9,9.19,13.7,279.5,158.8,,Aaron Murray
2010*,Alabama,SEC,FR,QB,13,30,48,62.5,389,3,6.3,0,0.0,8.1,9.35,13.0,29.9,151.2,,A.J. McCarron
2011*,Alabama,SEC,SO,QB,13,219,328,66.8,2634,16,4.9,5,1.5,8.0,8.32,12.0,202.6,147.3,,A.J. McCarron
2012*,Alabama,SEC,JR,QB,14,211,314,67.2,2933,30,9.6,3,1.0,9.3,10.82,13.9,209.5,175.3,,A.J. McCarron
2013*,Alabama,SEC,SR,QB,13,226,336,67.3,3063,28,8.3,7,2.1,9.1,9.85,13.6,235.6,167.2,"H-2,Maxwell",A.J. McCarron
