Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2011*,Washington,Pac-12,FR,RB,12,28,187,6.7,1,15.6,6,14,2.3,0,1.2,34,201,5.9,1,,Bishop Sankey
2012*,Washington,Pac-12,SO,RB,13,289,1439,5.0,16,110.7,33,249,7.5,0,19.2,322,1688,5.2,16,,Bishop Sankey
2013*,Washington,Pac-12,JR,RB,13,327,1870,5.7,20,143.8,28,304,10.9,1,23.4,355,2174,6.1,21,,Bishop Sankey
2012*,LSU,SEC,FR,RB,12,142,755,5.3,12,62.9,8,73,9.1,0,6.1,150,828,5.5,12,,Jeremy Hill
2013*,LSU,SEC,SO,RB,12,203,1401,6.9,16,116.8,18,181,10.1,0,15.1,221,1582,7.2,16,,Jeremy Hill
2010*,Ohio State,Big Ten,FR,RB,7,24,141,5.9,0,20.1,0,0,,0,0.0,24,141,5.9,0,,Carlos Hyde
2011*,Ohio State,Big Ten,SO,RB,13,106,566,5.3,6,43.5,10,73,7.3,0,5.6,116,639,5.5,6,,Carlos Hyde
2012,Ohio State,Big Ten,JR,RB,10,185,970,5.2,16,97.0,8,51,6.4,1,5.1,193,1021,5.3,17,,Carlos Hyde
2013*,Ohio State,Big Ten,SR,RB,11,208,1521,7.3,15,138.3,16,147,9.2,3,13.4,224,1668,7.4,18,,Carlos Hyde
2009*,Houston,CUSA,FR,RB,14,132,698,5.3,9,49.9,70,759,10.8,1,54.2,202,1457,7.2,10,,Charles Sims
,,,,,,,,,,,,,,,,,,,,,Charles Sims
2011*,Houston,CUSA,SO,RB,13,110,821,7.5,9,63.2,51,575,11.3,4,44.2,161,1396,8.7,13,,Charles Sims
2012,Houston,CUSA,JR,RB,9,142,851,6.0,11,94.6,37,373,10.1,3,41.4,179,1224,6.8,14,,Charles Sims
2013,West Virginia,Big 12,SR,RB,12,208,1095,5.3,11,91.3,45,401,8.9,3,33.4,253,1496,5.9,14,,Charles Sims
2011*,Auburn,SEC,FR,RB,12,28,161,5.8,1,13.4,0,0,,0,0.0,28,161,5.8,1,,Tre Mason
2012,Auburn,SEC,SO,RB,12,171,1002,5.9,8,83.5,7,86,12.3,0,7.2,178,1088,6.1,8,,Tre Mason
2013*,Auburn,SEC,JR,RB,14,317,1816,5.7,23,129.7,12,163,13.6,1,11.6,329,1979,6.0,24,H-6,Tre Mason
2009,Kent State,MAC,FR,RB,11,58,246,4.2,1,22.4,19,231,12.2,3,21.0,77,477,6.2,4,,Dri Archer
2010,Kent State,MAC,SO,RB,12,40,140,3.5,1,11.7,16,75,4.7,1,6.3,56,215,3.8,2,,Dri Archer
,,,,,,,,,,,,,,,,,,,,,Dri Archer
2012*,Kent State,MAC,JR,RB,14,159,1429,9.0,16,102.1,39,561,14.4,4,40.1,198,1990,10.1,20,AA,Dri Archer
2013,Kent State,MAC,SR,RB,10,68,527,7.8,6,52.7,25,327,13.1,4,32.7,93,854,9.2,10,,Dri Archer
2011*,Florida State,ACC,FR,RB,12,120,579,4.8,8,48.3,15,111,7.4,0,9.3,135,690,5.1,8,,Devonta Freeman
2012*,Florida State,ACC,SO,RB,14,111,660,5.9,8,47.1,10,86,8.6,0,6.1,121,746,6.2,8,,Devonta Freeman
2013*,Florida State,ACC,JR,RB,14,173,1016,5.9,14,72.6,22,278,12.6,1,19.9,195,1294,6.6,15,,Devonta Freeman
2010*,Boston College,ACC,FR,RB,12,95,461,4.9,2,38.4,4,15,3.8,0,1.3,99,476,4.8,2,,Andre Williams
2011,Boston College,ACC,SO,RB,10,124,517,4.2,4,51.7,2,11,5.5,0,1.1,126,528,4.2,4,,Andre Williams
2012,Boston College,ACC,JR,RB,9,130,584,4.5,4,64.9,4,34,8.5,0,3.8,134,618,4.6,4,,Andre Williams
2013*,Boston College,ACC,SR,RB,13,355,2177,6.1,18,167.5,0,0,,0,0.0,355,2177,6.1,18,"H-4,AA",Andre Williams
2011,Arizona,Pac-12,FR,RB,11,91,425,4.7,6,38.6,15,203,13.5,2,18.5,106,628,5.9,8,,Ka'Deem Carey
2012*,Arizona,Pac-12,SO,RB,13,303,1929,6.4,23,148.4,36,303,8.4,1,23.3,339,2232,6.6,24,AA,Ka'Deem Carey
2013*,Arizona,Pac-12,JR,RB,12,349,1885,5.4,19,157.1,26,173,6.7,1,14.4,375,2058,5.5,20,"H-10,AA",Ka'Deem Carey
2011*,Oregon,Pac-12,FR,RB,14,55,595,10.8,7,42.5,46,605,13.2,9,43.2,101,1200,11.9,16,,De'Anthony Thomas
2012*,Oregon,Pac-12,SO,RB,13,92,701,7.6,11,53.9,45,445,9.9,5,34.2,137,1146,8.4,16,,De'Anthony Thomas
2013*,Oregon,Pac-12,JR,RB,10,96,594,6.2,8,59.4,22,246,11.2,1,24.6,118,840,7.1,9,,De'Anthony Thomas
2010*,Wisconsin,Big Ten,FR,RB,12,156,1052,6.7,14,87.7,11,88,8.0,0,7.3,167,1140,6.8,14,,James White
2011*,Wisconsin,Big Ten,SO,RB,13,141,713,5.1,6,54.8,15,150,10.0,0,11.5,156,863,5.5,6,,James White
2012*,Wisconsin,Big Ten,JR,RB,14,125,806,6.4,12,57.6,8,132,16.5,1,9.4,133,938,7.1,13,,James White
2013*,Wisconsin,Big Ten,SR,RB,13,221,1444,6.5,13,111.1,39,300,7.7,2,23.1,260,1744,6.7,15,,James White
