Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2011*,North Carolina,ACC,FR,TE,10,10,207,20.7,1,20.7,0,0,,0,0.0,10,207,20.7,1,,Eric Ebron
2012,North Carolina,ACC,SO,TE,11,40,625,15.6,4,56.8,0,0,,0,0.0,40,625,15.6,4,,Eric Ebron
2013*,North Carolina,ACC,JR,TE,13,62,973,15.7,3,74.8,2,7,3.5,0,0.5,64,980,15.3,3,,Eric Ebron
2011*,Washington,Pac-12,FR,TE,13,41,538,13.1,6,41.4,0,0,,0,0.0,41,538,13.1,6,,Austin Seferian-Jenkins
2012*,Washington,Pac-12,SO,TE,13,69,852,12.3,7,65.5,0,0,,0,0.0,69,852,12.3,7,,Austin Seferian-Jenkins
2013*,Washington,Pac-12,JR,TE,12,36,450,12.5,8,37.5,0,0,,0,0.0,36,450,12.5,8,,Austin Seferian-Jenkins
2010,Colorado,Big 12,FR,TE,12,34,514,15.1,6,42.8,6,7,1.2,0,0.6,40,521,13.0,6,,Paul Richardson
2011,Colorado,Pac-12,SO,WR,9,39,555,14.2,5,61.7,2,24,12.0,0,2.7,41,579,14.1,5,,Paul Richardson
,,,,,,,,,,,,,,,,,,,,,Paul Richardson
2013,Colorado,Pac-12,JR,WR,12,83,1343,16.2,10,111.9,1,7,7.0,0,0.6,84,1350,16.1,10,,Paul Richardson
2011,Texas Tech,Big 12,FR,TE,12,7,57,8.1,2,4.8,0,0,,0,0.0,7,57,8.1,2,,Jace Amaro
2012*,Texas Tech,Big 12,SO,TE,7,25,409,16.4,4,58.4,0,0,,0,0.0,25,409,16.4,4,,Jace Amaro
2013*,Texas Tech,Big 12,JR,TE,13,106,1352,12.8,7,104.0,0,0,,0,0.0,106,1352,12.8,7,AA,Jace Amaro
2010*,Iowa,Big Ten,FR,TE,13,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,C.J. Fiedorowicz
2011*,Iowa,Big Ten,SO,TE,13,16,167,10.4,3,12.8,0,0,,0,0.0,16,167,10.4,3,,C.J. Fiedorowicz
2012,Iowa,Big Ten,JR,TE,12,45,433,9.6,1,36.1,0,0,,0,0.0,45,433,9.6,1,,C.J. Fiedorowicz
2013*,Iowa,Big Ten,SR,TE,13,30,299,10.0,6,23.0,0,0,,0,0.0,30,299,10.0,6,,C.J. Fiedorowicz
2011*,California,Pac-12,FR,TE,13,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Richard Rodgers
2012,California,Pac-12,SO,TE,11,20,288,14.4,1,26.2,0,0,,0,0.0,20,288,14.4,1,,Richard Rodgers
2013,California,Pac-12,SO,WR,11,39,608,15.6,1,55.3,7,9,1.3,0,0.8,46,617,13.4,1,,Richard Rodgers
2009*,Georgia,SEC,FR,TE,11,2,17,8.5,0,1.5,0,0,,0,0.0,2,17,8.5,0,,Arthur Lynch
,,,,,,,,,,,,,,,,,,,,,Arthur Lynch
2011*,Georgia,SEC,SO,TE,14,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Arthur Lynch
2012*,Georgia,SEC,JR,TE,14,24,431,18.0,3,30.8,0,0,,0,0.0,24,431,18.0,3,,Arthur Lynch
2013*,Georgia,SEC,SR,TE,11,30,459,15.3,5,41.7,0,0,,0,0.0,30,459,15.3,5,,Arthur Lynch
2010,Indiana,Big Ten,FR,TE,12,27,407,15.1,5,33.9,0,0,,0,0.0,27,407,15.1,5,,Ted Bolser
2011,Indiana,Big Ten,SO,TE,12,14,165,11.8,1,13.8,0,0,,0,0.0,14,165,11.8,1,,Ted Bolser
2012,Indiana,Big Ten,JR,TE,12,41,445,10.9,3,37.1,0,0,,0,0.0,41,445,10.9,3,,Ted Bolser
2013,Indiana,Big Ten,SR,TE,11,35,320,9.1,6,29.1,0,0,,0,0.0,35,320,9.1,6,,Ted Bolser
2012,Massachusetts,MAC,JR,TE,10,43,464,10.8,2,46.4,0,0,,0,0.0,43,464,10.8,2,,Rob Blanchflower
2013,Massachusetts,MAC,SR,TE,5,27,313,11.6,3,62.6,1,3,3.0,0,0.6,28,316,11.3,3,,Rob Blanchflower
