Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF,Def Interceptions Avg
2011*,Clemson,ACC,FR,WR,13,82,1219,14.9,12,93.8,32,231,7.2,0,17.8,114,1450,12.7,12,,Sammy Watkins,,,,,,,,,,,,,,
2012*,Clemson,ACC,SO,WR,10,57,708,12.4,3,70.8,14,97,6.9,1,9.7,71,805,11.3,4,,Sammy Watkins,,,,,,,,,,,,,,
2013*,Clemson,ACC,JR,WR,13,101,1464,14.5,12,112.6,6,11,1.8,0,0.8,107,1475,13.8,12,,Sammy Watkins,,,,,,,,,,,,,,
2012*,Texas A&M,SEC,FR,WR,13,82,1105,13.5,5,85.0,0,0,,0,0.0,82,1105,13.5,5,,Mike Evans,,,,,,,,,,,,,,
2013*,Texas A&M,SEC,SO,WR,13,69,1394,20.2,12,107.2,0,0,,0,0.0,69,1394,20.2,12,AA,Mike Evans,,,,,,,,,,,,,,
2010,UCLA,Pac-10,FR,WR,12,,,,,,,,,,,,,,,,Anthony Barr,1,0,1,0,0.0,0,0,0,0,0,0,0,0,
2011*,UCLA,Pac-12,SO,RB,12,,,,,,,,,,,,,,,,Anthony Barr,1,1,2,0,0.0,0,0,0,0,0,0,0,0,
2012*,UCLA,Pac-12,JR,LB,14,,,,,,,,,,,,,,,,Anthony Barr,60,23,83,22,13.5,0,0,0,0,0,0,0,4,
2013*,UCLA,Pac-12,SR,LB,12,,,,,,,,,,,,,,,AA,Anthony Barr,43,23,66,20,10.0,0,0,0,1,4,0,0,6,
2011*,LSU,SEC,FR,WR,14,41,475,11.6,2,33.9,2,19,9.5,0,1.4,43,494,11.5,2,,Odell Beckham Jr.,,,,,,,,,,,,,,
2012*,LSU,SEC,SO,WR,13,43,713,16.6,2,54.8,0,0,,0,0.0,43,713,16.6,2,,Odell Beckham Jr.,,,,,,,,,,,,,,
2013*,LSU,SEC,,WR,13,59,1152,19.5,8,88.6,5,58,11.6,0,4.5,64,1210,18.9,8,,Odell Beckham Jr.,,,,,,,,,,,,,,
2011,Oregon State,Pac-12,FR,WR,12,31,391,12.6,3,32.6,10,41,4.1,0,3.4,41,432,10.5,3,,Brandin Cooks,,,,,,,,,,,,,,
2012*,Oregon State,Pac-12,SO,WR,13,67,1151,17.2,5,88.5,19,82,4.3,0,6.3,86,1233,14.3,5,,Brandin Cooks,,,,,,,,,,,,,,
2013*,Oregon State,Pac-12,JR,WR,13,128,1730,13.5,16,133.1,32,217,6.8,2,16.7,160,1947,12.2,18,AA,Brandin Cooks,,,,,,,,,,,,,,
2012*,Florida State,ACC,FR,WR,14,30,495,16.5,4,35.4,2,33,16.5,0,2.4,32,528,16.5,4,,Kelvin Benjamin,,,,,,,,,,,,,,
2013*,Florida State,ACC,SO,WR,14,54,1011,18.7,15,72.2,0,0,,0,0.0,54,1011,18.7,15,,Kelvin Benjamin,,,,,,,,,,,,,,
2011,USC,Pac-12,FR,WR,12,73,1143,15.7,11,95.3,5,33,6.6,0,2.8,78,1176,15.1,11,,Marqise Lee,,,,,,,,,,,,,,
2012*,USC,Pac-12,SO,WR,13,118,1721,14.6,14,132.4,13,106,8.2,0,8.2,131,1827,13.9,14,"H-4,AA",Marqise Lee,,,,,,,,,,,,,,
2013*,USC,Pac-12,JR,WR,11,57,791,13.9,4,71.9,6,7,1.2,0,0.6,63,798,12.7,4,,Marqise Lee,,,,,,,,,,,,,,
2010,Vanderbilt,SEC,FR,WR,12,15,181,12.1,4,15.1,0,0,,0,0.0,15,181,12.1,4,,Jordan Matthews,,,,,,,,,,,,,,
2011*,Vanderbilt,SEC,SO,WR,13,41,778,19.0,5,59.8,0,0,,0,0.0,41,778,19.0,5,,Jordan Matthews,,,,,,,,,,,,,,
2012*,Vanderbilt,SEC,JR,WR,13,94,1323,14.1,8,101.8,3,61,20.3,1,4.7,97,1384,14.3,9,,Jordan Matthews,,,,,,,,,,,,,,
2013*,Vanderbilt,SEC,SR,WR,13,112,1477,13.2,7,113.6,6,54,9.0,0,4.2,118,1531,13.0,7,,Jordan Matthews,,,,,,,,,,,,,,
2012*,Fresno State,MWC,FR,WR,13,102,1312,12.9,14,100.9,0,0,,0,0.0,102,1312,12.9,14,,Davante Adams,,,,,,,,,,,,,,
2013*,Fresno State,MWC,SO,WR,13,131,1719,13.1,24,132.2,0,0,,0,0.0,131,1719,13.1,24,,Davante Adams,,,,,,,,,,,,,,
2011,Indiana,Big Ten,,WR,8,12,141,11.8,2,17.6,2,3,1.5,0,0.4,14,144,10.3,2,,Cody Latimer,,,,,,,,,,,,,,
2012,Indiana,Big Ten,SO,WR,12,51,805,15.8,6,67.1,0,0,,0,0.0,51,805,15.8,6,,Cody Latimer,,,,,,,,,,,,,,
2013,Indiana,Big Ten,JR,WR,12,72,1096,15.2,9,91.3,0,0,,0,0.0,72,1096,15.2,9,,Cody Latimer,,,,,,,,,,,,,,
2011*,Nebraska,Big Ten,SO,WR,9,,,,,,,,,,,,,,,,Stanley Jean-Baptiste,5,4,9,0,0.0,1,0,0,1,0,0,0,0,0.0
2012*,Nebraska,Big Ten,JR,DB,14,,,,,,,,,,,,,,,,Stanley Jean-Baptiste,18,6,24,0,0.0,2,48,1,0,0,0,0,0,24.0
2013*,Nebraska,Big Ten,SR,CB,12,,,,,,,,,,,,,,,,Stanley Jean-Baptiste,27,14,41,3,1.0,4,134,1,12,0,0,0,0,33.5
2011*,Penn State,Big Ten,FR,WR,11,3,29,9.7,0,2.6,0,0,,0,0.0,3,29,9.7,0,,Allen Robinson,,,,,,,,,,,,,,
2012,Penn State,Big Ten,SO,WR,12,77,1018,13.2,11,84.8,0,0,,0,0.0,77,1018,13.2,11,,Allen Robinson,,,,,,,,,,,,,,
2013,Penn State,Big Ten,JR,WR,12,97,1432,14.8,6,119.3,6,36,6.0,0,3.0,103,1468,14.3,6,,Allen Robinson,,,,,,,,,,,,,,
2011*,LSU,SEC,FR,WR,14,4,43,10.8,0,3.1,0,0,,0,0.0,4,43,10.8,0,,Jarvis Landry,,,,,,,,,,,,,,
2012*,LSU,SEC,SO,WR,13,56,573,10.2,5,44.1,0,0,,0,0.0,56,573,10.2,5,,Jarvis Landry,,,,,,,,,,,,,,
2013*,LSU,SEC,JR,WR,13,77,1193,15.5,10,91.8,0,0,,0,0.0,77,1193,15.5,10,,Jarvis Landry,,,,,,,,,,,,,,
2010*,Oregon,Pac-10,FR,WR,13,19,303,15.9,3,23.3,12,214,17.8,2,16.5,31,517,16.7,5,,Josh Huff,,,,,,,,,,,,,,
2011*,Oregon,Pac-12,SO,WR,12,31,430,13.9,2,35.8,0,0,,0,0.0,31,430,13.9,2,,Josh Huff,,,,,,,,,,,,,,
2012*,Oregon,Pac-12,JR,WR,11,32,493,15.4,7,44.8,0,0,,0,0.0,32,493,15.4,7,,Josh Huff,,,,,,,,,,,,,,
2013*,Oregon,Pac-12,SR,WR,13,62,1140,18.4,12,87.7,6,28,4.7,0,2.2,68,1168,17.2,12,,Josh Huff,,,,,,,,,,,,,,
2011,Ole Miss,SEC,FR,WR,12,31,454,14.6,4,37.8,0,0,,0,0.0,31,454,14.6,4,,Donte Moncrief,,,,,,,,,,,,,,
2012*,Ole Miss,SEC,SO,WR,13,66,979,14.8,10,75.3,0,0,,0,0.0,66,979,14.8,10,,Donte Moncrief,,,,,,,,,,,,,,
2013*,Ole Miss,SEC,JR,WR,13,59,938,15.9,6,72.2,0,0,,0,0.0,59,938,15.9,6,,Donte Moncrief,,,,,,,,,,,,,,
2010*,Fresno State,WAC,FR,WR,13,30,462,15.4,3,35.5,19,166,8.7,0,12.8,49,628,12.8,3,,Jalen Saunders,,,,,,,,,,,,,,
2011,Fresno State,WAC,SO,WR,13,50,1065,21.3,12,81.9,8,91,11.4,2,7.0,58,1156,19.9,14,,Jalen Saunders,,,,,,,,,,,,,,
2012*,Oklahoma,Big 12,JR,WR,9,62,829,13.4,3,92.1,0,0,,0,0.0,62,829,13.4,3,,Jalen Saunders,,,,,,,,,,,,,,
2013*,Oklahoma,Big 12,SR,WR,13,61,729,12.0,8,56.1,5,44,8.8,0,3.4,66,773,11.7,8,,Jalen Saunders,,,,,,,,,,,,,,
2011*,South Carolina,SEC,FR,WR,13,17,211,12.4,1,16.2,17,106,6.2,1,8.2,34,317,9.3,2,,Bruce Ellington,,,,,,,,,,,,,,
2012*,South Carolina,SEC,SO,WR,13,40,600,15.0,7,46.2,5,28,5.6,0,2.2,45,628,14.0,7,,Bruce Ellington,,,,,,,,,,,,,,
2013*,South Carolina,SEC,JR,WR,12,49,775,15.8,8,64.6,3,14,4.7,0,1.2,52,789,15.2,8,,Bruce Ellington,,,,,,,,,,,,,,
2009,Notre Dame,Ind,FR,WR,6,7,61,8.7,0,10.2,0,0,,0,0.0,7,61,8.7,0,,Shaquelle Evans,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Shaquelle Evans,,,,,,,,,,,,,,
2011*,UCLA,Pac-12,FR,WR,13,19,309,16.3,2,23.8,0,0,,0,0.0,19,309,16.3,2,,Shaquelle Evans,,,,,,,,,,,,,,
2012*,UCLA,Pac-12,JR,WR,14,60,877,14.6,3,62.6,2,6,3.0,0,0.4,62,883,14.2,3,,Shaquelle Evans,,,,,,,,,,,,,,
