Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2012*,Georgia,SEC,FR,RB,14,222,1385,6.2,17,98.9,16,117,7.3,0,8.4,238,1502,6.3,17,,Todd Gurley,,,,,,,,,,,,,,
2013*,Georgia,SEC,SO,RB,10,165,989,6.0,10,98.9,37,441,11.9,6,44.1,202,1430,7.1,16,,Todd Gurley,,,,,,,,,,,,,,
2014*,Georgia,SEC,JR,RB,6,123,911,7.4,9,151.8,12,57,4.8,0,9.5,135,968,7.2,9,,Todd Gurley,,,,,,,,,,,,,,
2011*,Wisconsin,Big Ten,FR,RB,4,20,98,4.9,1,24.5,0,0,,0,0.0,20,98,4.9,1,,Melvin Gordon,,,,,,,,,,,,,,
2012*,Wisconsin,Big Ten,FR,RB,14,62,621,10.0,3,44.4,2,65,32.5,1,4.6,64,686,10.7,4,,Melvin Gordon,,,,,,,,,,,,,,
2013*,Wisconsin,Big Ten,SO,RB,13,206,1609,7.8,12,123.8,1,10,10.0,0,0.8,207,1619,7.8,12,,Melvin Gordon,,,,,,,,,,,,,,
2014*,Wisconsin,Big Ten,JR,RB,14,343,2587,7.5,29,184.8,19,153,8.1,3,10.9,362,2740,7.6,32,"H-2,AA",Melvin Gordon,,,,,,,,,,,,,,
2012*,Alabama,SEC,FR,RB,14,175,1108,6.3,12,79.1,11,131,11.9,1,9.4,186,1239,6.7,13,,T.J. Yeldon,,,,,,,,,,,,,,
2013*,Alabama,SEC,,RB,12,207,1235,6.0,14,102.9,20,183,9.2,0,15.3,227,1418,6.2,14,,T.J. Yeldon,,,,,,,,,,,,,,
2014*,Alabama,SEC,JR,RB,13,194,979,5.0,11,75.3,15,180,12.0,1,13.8,209,1159,5.5,12,,T.J. Yeldon,,,,,,,,,,,,,,
2011*,Nebraska,Big Ten,FR,RB,13,42,150,3.6,3,11.5,1,11,11.0,0,0.8,43,161,3.7,3,,Ameer Abdullah,,,,,,,,,,,,,,
2012*,Nebraska,Big Ten,SO,RB,14,226,1137,5.0,8,81.2,24,178,7.4,2,12.7,250,1315,5.3,10,,Ameer Abdullah,,,,,,,,,,,,,,
2013*,Nebraska,Big Ten,JR,RB,13,281,1690,6.0,9,130.0,26,232,8.9,2,17.8,307,1922,6.3,11,,Ameer Abdullah,,,,,,,,,,,,,,
2014*,Nebraska,Big Ten,SR,RB,13,264,1611,6.1,19,123.9,22,269,12.2,3,20.7,286,1880,6.6,22,,Ameer Abdullah,,,,,,,,,,,,,,
2012,Indiana,Big Ten,FR,RB,12,51,225,4.4,1,18.8,10,49,4.9,0,4.1,61,274,4.5,1,,Tevin Coleman,,,,,,,,,,,,,,
2013,Indiana,Big Ten,SO,RB,9,131,958,7.3,12,106.4,19,193,10.2,0,21.4,150,1151,7.7,12,,Tevin Coleman,,,,,,,,,,,,,,
2014,Indiana,Big Ten,JR,RB,12,270,2036,7.5,15,169.7,25,141,5.6,0,11.8,295,2177,7.4,15,"H-7,AA",Tevin Coleman,,,,,,,,,,,,,,
2012,Miami (FL),ACC,FR,RB,12,139,947,6.8,10,78.9,27,221,8.2,1,18.4,166,1168,7.0,11,,Duke Johnson,,,,,,,,,,,,,,
2013*,Miami (FL),ACC,SO,RB,8,145,920,6.3,6,115.0,4,77,19.3,0,9.6,149,997,6.7,6,,Duke Johnson,,,,,,,,,,,,,,
2014*,Miami (FL),ACC,JR,RB,13,242,1652,6.8,10,127.1,38,421,11.1,3,32.4,280,2073,7.4,13,,Duke Johnson,,,,,,,,,,,,,,
2012*,Florida,SEC,FR,RB,12,52,275,5.3,3,22.9,3,10,3.3,0,0.8,55,285,5.2,3,,Matt Jones,,,,,,,,,,,,,,
2013,Florida,SEC,SO,RB,5,79,339,4.3,2,67.8,5,25,5.0,0,5.0,84,364,4.3,2,,Matt Jones,,,,,,,,,,,,,,
2014*,Florida,SEC,JR,RB,11,166,817,4.9,6,74.3,11,65,5.9,1,5.9,177,882,5.0,7,,Matt Jones,,,,,,,,,,,,,,
2012*,USC,Pac-12,FR,RB,3,6,32,5.3,0,10.7,0,0,,0,0.0,6,32,5.3,0,,Javorius Allen,,,,,,,,,,,,,,
2013*,USC,Pac-12,SO,RB,13,135,785,5.8,14,60.4,22,252,11.5,1,19.4,157,1037,6.6,15,,Javorius Allen,,,,,,,,,,,,,,
2014*,USC,Pac-12,JR,RB,13,276,1489,5.4,11,114.5,41,458,11.2,1,35.2,317,1947,6.1,12,,Javorius Allen,,,,,,,,,,,,,,
2012*,South Carolina,SEC,FR,RB,12,52,275,5.3,2,22.9,4,35,8.8,0,2.9,56,310,5.5,2,,Mike Davis,,,,,,,,,,,,,,
