Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF,Kick Returns Ret,Kick Returns Yds,Kick Returns Y/Ret,Kick Returns KRTD,Punt Returns Ret,Punt Returns Yds,Punt Returns Y/Ret,Punt Returns PRTD,APYd
2012*,Alabama,SEC,FR,WR,14,59,1000,16.9,11,71.4,0,0,,0,0.0,59,1000,16.9,11,,Amari Cooper,,,,,,,,,,,,,,,,,,,,,,,
2013*,Alabama,SEC,,WR,11,45,736,16.4,4,66.9,1,28,28.0,0,2.5,46,764,16.6,4,,Amari Cooper,,,,,,,,,,,,,,,,,,,,,,,
2014*,Alabama,SEC,JR,WR,14,124,1727,13.9,16,123.4,5,23,4.6,0,1.6,129,1750,13.6,16,"H-3,AA",Amari Cooper,,,,,,,,,,,,,,,,,,,,,,,
2013,West Virginia,Big 12,JR,WR,10,35,507,14.5,5,50.7,0,0,,0,0.0,35,507,14.5,5,,Kevin White,,,,,,,,,,,,,,,,,,,,,,,
2014*,West Virginia,Big 12,SR,WR,13,109,1447,13.3,10,111.3,0,0,,0,0.0,109,1447,13.3,10,,Kevin White,,,,,,,,,,,,,,,,,,,,,,,
2011*,Louisville,Big East,,WR,11,18,291,16.2,6,26.5,0,0,,0,0.0,18,291,16.2,6,,DeVante Parker,,,,,,,,,,,,,,,,,,,,,,,
2012*,Louisville,Big East,SO,WR,13,40,744,18.6,10,57.2,0,0,,0,0.0,40,744,18.6,10,,DeVante Parker,,,,,,,,,,,,,,,,,,,,,,,
2013*,Louisville,American,JR,WR,12,55,885,16.1,12,73.8,0,0,,0,0.0,55,885,16.1,12,,DeVante Parker,,,,,,,,,,,,,,,,,,,,,,,
2014*,Louisville,ACC,SR,WR,7,43,855,19.9,5,122.1,0,0,,0,0.0,43,855,19.9,5,,DeVante Parker,,,,,,,,,,,,,,,,,,,,,,,
2012*,USC,Pac-12,FR,WR,13,18,341,18.9,2,26.2,1,7,7.0,0,0.5,19,348,18.3,2,,Nelson Agholor,,,,,,,,,,,,,,,,,,,,,,,
2013*,USC,Pac-12,SO,WR,14,56,918,16.4,6,65.6,2,8,4.0,0,0.6,58,926,16.0,6,,Nelson Agholor,,,,,,,,,,,,,,,,,,,,,,,
2014*,USC,Pac-12,JR,WR,13,104,1313,12.6,12,101.0,4,3,0.8,0,0.2,108,1316,12.2,12,,Nelson Agholor,,,,,,,,,,,,,,,,,,,,,,,
2012*,UCF,CUSA,FR,WR,14,26,388,14.9,3,27.7,0,0,,0,0.0,26,388,14.9,3,,Breshad Perriman,,,,,,,,,,,,,,,,,,,,,,,
2013*,UCF,American,SO,WR,12,39,811,20.8,4,67.6,0,0,,0,0.0,39,811,20.8,4,,Breshad Perriman,,,,,,,,,,,,,,,,,,,,,,,
2014*,UCF,American,JR,WR,13,50,1044,20.9,9,80.3,1,0,0.0,0,0.0,51,1044,20.5,9,,Breshad Perriman,,,,,,,,,,,,,,,,,,,,,,,
2011,Miami (FL),ACC,FR,WR,12,14,147,10.5,1,12.3,0,0,,0,0.0,14,147,10.5,1,,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,,,
2012,Miami (FL),ACC,SO,WR,12,58,842,14.5,4,70.2,5,8,1.6,0,0.7,63,850,13.5,4,,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,,,
2013*,Miami (FL),ACC,JR,WR,7,13,272,20.9,2,38.9,0,0,,0,0.0,13,272,20.9,2,,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,,,
2014*,Miami (FL),ACC,SR,WR,13,36,871,24.2,10,67.0,2,-6,-3.0,0,-0.5,38,865,22.8,10,,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,,,
2011*,Ohio State,Big Ten,FR,WR,13,14,294,21.0,4,22.6,0,0,,0,0.0,14,294,21.0,4,,Devin Smith,,,,,,,,,,,,,,,,,,,,,,,
2012,Ohio State,Big Ten,SO,WR,12,30,618,20.6,6,51.5,1,2,2.0,0,0.2,31,620,20.0,6,,Devin Smith,,,,,,,,,,,,,,,,,,,,,,,
2013*,Ohio State,Big Ten,JR,WR,14,44,660,15.0,8,47.1,0,0,,0,0.0,44,660,15.0,8,,Devin Smith,,,,,,,,,,,,,,,,,,,,,,,
2014*,Ohio State,Big Ten,SR,WR,15,33,931,28.2,12,62.1,0,0,,0,0.0,33,931,28.2,12,,Devin Smith,,,,,,,,,,,,,,,,,,,,,,,
2012,Missouri,SEC,FR,WR,11,28,395,14.1,5,35.9,5,16,3.2,0,1.5,33,411,12.5,5,,Dorial Green-Beckham,,,,,,,,,,,,,,,,,,,,,,,
2013*,Missouri,SEC,SO,WR,14,59,883,15.0,12,63.1,1,3,3.0,0,0.2,60,886,14.8,12,,Dorial Green-Beckham,,,,,,,,,,,,,,,,,,,,,,,
2011*,Kansas State,Big 12,FR,WR,9,18,246,13.7,3,27.3,10,110,11.0,0,12.2,28,356,12.7,3,,Tyler Lockett,,,,,,,,,,,,,,,,,,,,,,,
