Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2017*,Iowa,Big Ten,FR,TE,13,24,320,13.3,3,24.6,0,0,,0,0.0,24,320,13.3,3,,T.J. Hockenson,,,,,,,,,,,,,
2018*,Iowa,Big Ten,SO,TE,13,49,760,15.5,6,58.5,1,4,4.0,1,0.3,50,764,15.3,7,,T.J. Hockenson,,,,,,,,,,,,,
2014*,North Carolina State,ACC,FR,TE,2,,,,,,,,,,,,,,,,Garrett Bradbury,0,1,1,0,0.0,0,0,0,0,0,0,0,0
2015*,North Carolina State,ACC,FR,G,11,,,,,,,,,,,,,,,,Garrett Bradbury,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2016*,North Carolina State,ACC,SO,G,13,,,,,,,,,,,,,,,,Garrett Bradbury,0,1,1,0,0.0,0,0,0,0,0,0,0,0
2017*,North Carolina State,ACC,,,13,,,,,,,,,,,,,,,,Garrett Bradbury,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2018*,North Carolina State,ACC,SR,C,13,,,,,,,,,,,,,,,AA,Garrett Bradbury,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2016*,Iowa,Big Ten,FR,TE,10,9,70,7.8,1,7.0,0,0,,0,0.0,9,70,7.8,1,,Noah Fant,,,,,,,,,,,,,
2017*,Iowa,Big Ten,SO,TE,13,30,494,16.5,11,38.0,2,-1,-0.5,0,-0.1,32,493,15.4,11,,Noah Fant,,,,,,,,,,,,,
2018*,Iowa,Big Ten,JR,TE,12,39,519,13.3,7,43.3,2,1,0.5,0,0.1,41,520,12.7,7,,Noah Fant,,,,,,,,,,,,,
2015*,San Jose State,MWC,FR,TE,13,4,36,9.0,1,2.8,1,7,7.0,0,0.5,5,43,8.6,1,,Josh Oliver,,,,,,,,,,,,,
2016,San Jose State,MWC,SO,TE,12,3,26,8.7,1,2.2,0,0,,0,0.0,3,26,8.7,1,,Josh Oliver,,,,,,,,,,,,,
