Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Rushing Y/A
2016*,Ohio State,Big Ten,FR,QB,6,22,28,78.6,226,2,7.1,0,0.0,8.1,9.50,10.3,37.7,169.9,,Joe Burrow,,,,,,,,,,,,,,
2017*,Ohio State,Big Ten,SO,QB,5,7,11,63.6,61,0,0.0,0,0.0,5.5,5.55,8.7,12.2,110.2,,Joe Burrow,,,,,,,,,,,,,,
2018*,LSU,SEC,JR,QB,13,219,379,57.8,2894,16,4.2,5,1.3,7.6,7.89,13.2,222.6,133.2,,Joe Burrow,,,,,,,,,,,,,,
2019*,LSU,SEC,SR,QB,15,402,527,76.3,5671,60,11.4,6,1.1,10.8,12.53,14.1,378.1,202.0,"H-1,Maxwell,AA,Camp",Joe Burrow,,,,,,,,,,,,,,
2017*,Alabama,SEC,FR,QB,9,49,77,63.6,636,11,14.3,2,2.6,8.3,9.95,13.0,70.7,175.0,,Tua Tagovailoa,,,,,,,,,,,,,,
2018*,Alabama,SEC,SO,QB,15,245,355,69.0,3966,43,12.1,6,1.7,11.2,12.83,16.2,264.4,199.4,"H-2,Maxwell,AA,Camp",Tua Tagovailoa,,,,,,,,,,,,,,
2019*,Alabama,SEC,JR,QB,9,180,252,71.4,2840,33,13.1,3,1.2,11.3,13.35,15.8,315.6,206.9,H-10,Tua Tagovailoa,,,,,,,,,,,,,,
2016,Oregon,Pac-12,FR,QB,9,162,255,63.5,1936,19,7.5,4,1.6,7.6,8.38,12.0,215.1,148.8,,Justin Herbert,,,,,,,,,,,,,,
2017*,Oregon,Pac-12,SO,QB,8,139,206,67.5,1983,15,7.3,5,2.4,9.6,9.99,14.3,247.9,167.5,,Justin Herbert,,,,,,,,,,,,,,
2018*,Oregon,Pac-12,JR,QB,13,240,404,59.4,3151,29,7.2,8,2.0,7.8,8.34,13.1,242.4,144.6,,Justin Herbert,,,,,,,,,,,,,,
2019*,Oregon,Pac-12,SR,QB,14,286,428,66.8,3471,32,7.5,6,1.4,8.1,8.97,12.1,247.9,156.8,,Justin Herbert,,,,,,,,,,,,,,
2017*,Utah State,MWC,FR,QB,12,129,235,54.9,1631,8,3.4,6,2.6,6.9,6.47,12.6,135.9,119.3,,Jordan Love,,,,,,,,,,,,,,
2018*,Utah State,MWC,SO,QB,13,267,417,64.0,3567,32,7.7,6,1.4,8.6,9.44,13.4,274.4,158.3,,Jordan Love,,,,,,,,,,,,,,
2019*,Utah State,MWC,JR,QB,13,293,473,61.9,3402,20,4.2,17,3.6,7.2,6.42,11.6,261.7,129.1,,Jordan Love,,,,,,,,,,,,,,
2016*,Alabama,SEC,FR,QB,15,240,382,62.8,2780,23,6.0,9,2.4,7.3,7.42,11.6,185.3,139.1,,Jalen Hurts,,,,,,,,,,,,,,
2017*,Alabama,SEC,SO,QB,14,154,254,60.6,2081,17,6.7,1,0.4,8.2,9.35,13.5,148.6,150.7,,Jalen Hurts,,,,,,,,,,,,,,
2018*,Alabama,SEC,JR,QB,13,51,70,72.9,765,8,11.4,2,2.9,10.9,11.93,15.0,58.8,196.7,,Jalen Hurts,,,,,,,,,,,,,,
2019*,Oklahoma,Big 12,SR,QB,14,237,340,69.7,3851,32,9.4,8,2.4,11.3,12.15,16.2,275.1,191.2,H-2,Jalen Hurts,,,,,,,,,,,,,,
2016*,Georgia,SEC,FR,QB,13,204,370,55.1,2430,16,4.3,8,2.2,6.6,6.46,11.9,186.9,120.2,,Jacob Eason,,,,,,,,,,,,,,
2017*,Georgia,SEC,SO,QB,5,4,7,57.1,28,0,0.0,0,0.0,4.0,4.00,7.0,5.6,90.7,,Jacob Eason,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Jacob Eason,,,,,,,,,,,,,,
2019*,Washington,Pac-12,JR,QB,13,260,405,64.2,3132,23,5.7,8,2.0,7.7,7.98,12.0,240.9,143.9,,Jacob Eason,,,,,,,,,,,,,,
2015*,Bowling Green,MAC,FR,QB,1,0,0,,0,0,,0,,,,,0.0,,,James Morgan,,,,,,,,,,,,,,
