Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2018*,Clemson,ACC,FR,QB,15,259,397,65.2,3280,30,7.6,4,1.0,8.3,9.32,12.7,218.7,157.6,,Trevor Lawrence,,,,,,,,,,,,,,
2019*,Clemson,ACC,SO,QB,15,268,407,65.8,3665,36,8.8,8,2.0,9.0,9.89,13.7,244.3,166.7,H-7,Trevor Lawrence,,,,,,,,,,,,,,
2020*,Clemson,ACC,JR,QB,10,231,334,69.2,3153,24,7.2,5,1.5,9.4,10.20,13.6,315.3,169.2,H-2,Trevor Lawrence,,,,,,,,,,,,,,
2018*,BYU,Ind,FR,QB,9,120,182,65.9,1578,12,6.6,3,1.6,8.7,9.25,13.2,175.3,157.2,,Zach Wilson,,,,,,,,,,,,,,
2019*,BYU,Ind,SO,QB,9,199,319,62.4,2382,11,3.4,9,2.8,7.5,6.89,12.0,264.7,130.8,,Zach Wilson,,,,,,,,,,,,,,
2020*,BYU,Ind,JR,QB,12,247,336,73.5,3692,33,9.8,3,0.9,11.0,12.55,14.9,307.7,196.4,H-8,Zach Wilson,,,,,,,,,,,,,,
2018*,Georgia,SEC,FR,QB,12,27,39,69.2,328,4,10.3,0,0.0,8.4,10.46,12.1,27.3,173.7,,Justin Fields,,,,,,,,,,,,,,
2019*,Ohio State,Big Ten,SO,QB,14,238,354,67.2,3273,41,11.6,3,0.8,9.2,11.18,13.8,233.8,181.4,H-3,Justin Fields,,,,,,,,,,,,,,
2020*,Ohio State,Big Ten,JR,QB,8,158,225,70.2,2100,22,9.8,6,2.7,9.3,10.09,13.3,262.5,175.6,H-7,Justin Fields,,,,,,,,,,,,,,
2018*,Alabama,SEC,FR,QB,14,5,13,38.5,123,1,7.7,0,0.0,9.5,11.00,24.6,8.8,143.3,,Mac Jones,,,,,,,,,,,,,,
2019*,Alabama,SEC,SO,QB,12,97,141,68.8,1503,14,9.9,3,2.1,10.7,11.69,15.5,125.3,186.8,,Mac Jones,,,,,,,,,,,,,,
2020*,Alabama,SEC,JR,QB,13,311,402,77.4,4500,41,10.2,4,1.0,11.2,12.79,14.5,346.2,203.1,"H-3,AA",Mac Jones,,,,,,,,,,,,,,
2017*,Texas A&M,SEC,FR,QB,11,117,227,51.5,1375,8,3.5,6,2.6,6.1,5.57,11.8,125.0,108.8,,Kellen Mond,,,,,,,,,,,,,,
2018*,Texas A&M,SEC,SO,QB,13,238,415,57.3,3107,24,5.8,9,2.2,7.5,7.67,13.1,239.0,135.0,,Kellen Mond,,,,,,,,,,,,,,
2019*,Texas A&M,SEC,JR,QB,13,258,419,61.6,2897,20,4.8,9,2.1,6.9,6.90,11.2,222.8,131.1,,Kellen Mond,,,,,,,,,,,,,,
2020*,Texas A&M,SEC,SR,QB,10,188,297,63.3,2282,19,6.4,3,1.0,7.7,8.51,12.1,228.2,146.9,,Kellen Mond,,,,,,,,,,,,,,
2018*,Stanford,Pac-12,SO,QB,1,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,Davis Mills,,,,,,,,,,,,,,
2019,Stanford,Pac-12,JR,QB,8,158,241,65.6,1960,11,4.6,5,2.1,8.1,8.11,12.4,245.0,144.8,,Davis Mills,,,,,,,,,,,,,,
2020,Stanford,Pac-12,SR,QB,5,129,195,66.2,1508,7,3.6,3,1.5,7.7,7.76,11.7,301.6,139.9,,Davis Mills,,,,,,,,,,,,,,
2017,North Carolina,ACC,FR,QB,9,,,,,,,,,,,,,,,Chazz Surratt,1,0,1,0,0.0,0,0,,0,0,0,0,0,0
2018,North Carolina,ACC,SO,QB,1,,,,,,,,,,,,,,,Chazz Surratt,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2019*,North Carolina,ACC,JR,LB,13,,,,,,,,,,,,,,,Chazz Surratt,66,49,115,15,6.5,1,3,3.0,0,3,1,0,0,1
2020*,North Carolina,ACC,SR,LB,11,,,,,,,,,,,,,,,Chazz Surratt,49,42,91,8,6.0,1,0,0.0,0,3,1,0,0,1
2017*,Texas,Big 12,FR,QB,9,158,275,57.5,1915,11,4.0,7,2.5,7.0,6.62,12.1,212.8,124.1,,Sam Ehlinger,,,,,,,,,,,,,,
2018*,Texas,Big 12,SO,QB,14,275,425,64.7,3292,25,5.9,5,1.2,7.7,8.39,12.0,235.1,146.8,,Sam Ehlinger,,,,,,,,,,,,,,
2019*,Texas,Big 12,JR,QB,13,296,454,65.2,3663,32,7.0,10,2.2,8.1,8.49,12.4,281.8,151.8,,Sam Ehlinger,,,,,,,,,,,,,,
2020*,Texas,Big 12,SR,QB,10,194,322,60.2,2566,26,8.1,5,1.6,8.0,8.89,13.2,256.6,150.7,,Sam Ehlinger,,,,,,,,,,,,,,
