Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Kick Returns Ret,Kick Returns Yds,Kick Returns Y/Ret,Kick Returns KRTD,Punt Returns Ret,Punt Returns Yds,Punt Returns Y/Ret,Punt Returns PRTD,APYd,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2019*,USC,Pac-12,FR,WR,13,39,567,14.5,5,43.6,0,0,,0,0.0,39,567,14.5,5,,Drake London,,,,,,,,,,,,,,,,,,,,,,,
2020,USC,Pac-12,SO,WR,6,33,502,15.2,3,83.7,0,0,,0,0.0,33,502,15.2,3,,Drake London,,,,,,,,,,,,,,,,,,,,,,,
2021,USC,Pac-12,JR,WR,8,88,1084,12.3,7,135.5,1,2,2.0,0,0.3,89,1086,12.2,7,,Drake London,,,,,,,,,,,,,,,,,,,,,,,
2019*,Ohio State,Big Ten,FR,WR,14,30,432,14.4,5,30.9,0,0,,0,0.0,30,432,14.4,5,,Garrett Wilson,,,,,,,,,,,,,,,,,,,,,,,
2020*,Ohio State,Big Ten,SO,WR,8,43,723,16.8,6,90.4,2,67,33.5,0,8.4,45,790,17.6,6,,Garrett Wilson,,,,,,,,,,,,,,,,,,,,,,,
2021*,Ohio State,Big Ten,JR,WR,11,70,1058,15.1,12,96.2,4,76,19.0,1,6.9,74,1134,15.3,13,,Garrett Wilson,,,,,,,,,,,,,,,,,,,,,,,
2018*,Ohio State,Big Ten,FR,WR,14,12,197,16.4,3,14.1,0,0,,0,0.0,12,197,16.4,3,,Chris Olave,,,,,,,,,,,,,,,,,,,,,,,
2019*,Ohio State,Big Ten,SO,WR,14,49,849,17.3,12,60.6,2,5,2.5,0,0.4,51,854,16.7,12,,Chris Olave,,,,,,,,,,,,,,,,,,,,,,,
2020*,Ohio State,Big Ten,JR,WR,7,50,729,14.6,7,104.1,1,0,0.0,0,0.0,51,729,14.3,7,,Chris Olave,,,,,,,,,,,,,,,,,,,,,,,
2021*,Ohio State,Big Ten,SR,WR,12,65,936,14.4,13,78.0,0,0,,0,0.0,65,936,14.4,13,,Chris Olave,,,,,,,,,,,,,,,,,,,,,,,
2019*,Ohio State,Big Ten,FR,WR,11,6,112,18.7,1,10.2,0,0,,0,0.0,6,112,18.7,1,,Jameson Williams,,,,,,,,,,,,,,,,,,,,,,,
