Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD
2020*,Alabama,SEC,FR,QB,8,13,22,59.1,156,1,4.5,0,0.0,7.1,8.00,12.0,19.5,133.7,,Bryce Young,,,,,,,,,,,,,,
2021*,Alabama,SEC,SO,QB,15,366,547,66.9,4872,47,8.6,7,1.3,8.9,10.05,13.3,324.8,167.5,"H-1,Maxwell,AA",Bryce Young,,,,,,,,,,,,,,
2022*,Alabama,SEC,JR,QB,12,245,380,64.5,3328,32,8.4,5,1.3,8.8,9.85,13.6,277.3,163.2,H-6,Bryce Young,,,,,,,,,,,,,,
2020*,Ohio State,Big Ten,FR,QB,2,0,0,,0,0,,0,,,,,0.0,,,C.J. Stroud,,,,,,,,,,,,,,
2021*,Ohio State,Big Ten,FR,QB,12,317,441,71.9,4435,44,10.0,6,1.4,10.1,11.44,14.0,369.6,186.6,H-4,C.J. Stroud,,,,,,,,,,,,,,
2022*,Ohio State,Big Ten,JR,QB,13,258,389,66.3,3688,41,10.5,6,1.5,9.5,10.89,14.3,283.7,177.7,H-3,C.J. Stroud,,,,,,,,,,,,,,
2020*,Florida,SEC,FR,QB,4,1,2,50.0,27,1,50.0,1,50.0,13.5,1.00,27.0,6.8,228.4,,Anthony Richardson,,,,,,,,,,,,,,
2021*,Florida,SEC,FR,QB,8,38,64,59.4,529,6,9.4,5,7.8,8.3,6.63,13.9,66.1,144.1,,Anthony Richardson,,,,,,,,,,,,,,
2022*,Florida,SEC,SO,QB,12,176,327,53.8,2549,17,5.2,9,2.8,7.8,7.60,14.5,212.4,131.0,,Anthony Richardson,,,,,,,,,,,,,,
2019*,Penn State,Big Ten,SO,QB,7,28,47,59.6,223,2,4.3,2,4.3,4.7,3.68,8.0,31.9,105.0,,Will Levis,,,,,,,,,,,,,,
2020,Penn State,Big Ten,SO,QB,8,33,55,60.0,421,1,1.8,0,0.0,7.7,8.02,12.8,52.6,130.3,,Will Levis,,,,,,,,,,,,,,
2021*,Kentucky,SEC,JR,QB,13,233,353,66.0,2827,24,6.8,13,3.7,8.0,7.71,12.1,217.5,148.3,,Will Levis,,,,,,,,,,,,,,
2022*,Kentucky,SEC,SR,QB,11,185,283,65.4,2406,19,6.7,10,3.5,8.5,8.25,13.0,218.7,151.9,,Will Levis,,,,,,,,,,,,,,
2018*,Virginia Tech,ACC,FR,QB,6,0,0,,0,0,,0,,,,,0.0,,,Hendon Hooker,,,,,,,,,,,,,,
2019*,Virginia Tech,ACC,SO,QB,11,99,162,61.1,1555,13,8.0,2,1.2,9.6,10.65,15.7,141.4,165.8,,Hendon Hooker,,,,,,,,,,,,,,
2020,Virginia Tech,ACC,JR,QB,8,98,150,65.3,1339,9,6.0,5,3.3,8.9,8.63,13.7,167.4,153.5,,Hendon Hooker,,,,,,,,,,,,,,
2021*,Tennessee,SEC,SR,QB,13,206,303,68.0,2945,31,10.2,3,1.0,9.7,11.32,14.3,226.5,181.4,,Hendon Hooker,,,,,,,,,,,,,,
2022*,Tennessee,SEC,SR,QB,11,229,329,69.6,3135,27,8.2,2,0.6,9.5,10.90,13.7,285.0,175.5,H-5,Hendon Hooker,,,,,,,,,,,,,,
2019*,Texas,Big 12,FR,QB,13,,,,,,,,,,,,,,,Roschon Johnson,123,649,5.3,7,49.9,23,158,6.9,1,12.2,146,807,5.5,8
2020*,Texas,Big 12,SO,RB,10,,,,,,,,,,,,,,,Roschon Johnson,80,418,5.2,6,41.8,8,51,6.4,1,5.1,88,469,5.3,7
2021,Texas,Big 12,JR,RB,12,,,,,,,,,,,,,,,Roschon Johnson,96,569,5.9,5,47.4,11,83,7.5,0,6.9,107,652,6.1,5
2022*,Texas,Big 12,SR,RB,12,,,,,,,,,,,,,,,Roschon Johnson,93,554,6.0,5,46.2,14,128,9.1,1,10.7,107,682,6.4,6
2018*,Washington,Pac-12,FR,QB,4,9,13,69.2,107,1,7.7,1,7.7,8.2,6.31,11.9,26.8,148.4,,Jake Haener,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Jake Haener,,,,,,,,,,,,,,
2020,Fresno State,MWC,JR,QB,6,150,232,64.7,2021,14,6.0,5,2.2,8.7,8.95,13.5,336.8,153.4,,Jake Haener,,,,,,,,,,,,,,
2021*,Fresno State,MWC,SR,QB,13,329,490,67.1,4096,33,6.7,9,1.8,8.4,8.88,12.4,315.1,155.9,,Jake Haener,,,,,,,,,,,,,,
2022*,Fresno State,MWC,SR,QB,10,252,350,72.0,2896,20,5.7,3,0.9,8.3,9.03,11.5,289.6,158.6,,Jake Haener,,,,,,,,,,,,,,
2019*,Georgia,SEC,SO,QB,5,20,27,74.1,260,2,7.4,1,3.7,9.6,9.44,13.0,52.0,172.0,,Stetson Bennett,,,,,,,,,,,,,,
2020*,Georgia,SEC,JR,QB,8,86,155,55.5,1179,8,5.2,6,3.9,7.6,6.90,13.7,147.4,128.7,,Stetson Bennett,,,,,,,,,,,,,,
2021*,Georgia,SEC,SR,QB,14,185,287,64.5,2862,29,10.1,7,2.4,10.0,10.90,15.5,204.4,176.7,,Stetson Bennett,,,,,,,,,,,,,,
2022*,Georgia,SEC,SR,QB,15,310,454,68.3,4128,27,5.9,7,1.5,9.1,9.59,13.3,275.2,161.2,H-4,Stetson Bennett,,,,,,,,,,,,,,
2019,Purdue,Big Ten,SO,QB,6,103,164,62.8,1101,8,4.9,4,2.4,6.7,6.59,10.7,183.5,130.4,,Aidan O'Connell,,,,,,,,,,,,,,
2020,Purdue,Big Ten,JR,QB,3,88,136,64.7,916,7,5.1,2,1.5,6.7,7.10,10.4,305.3,135.3,,Aidan O'Connell,,,,,,,,,,,,,,
2021*,Purdue,Big Ten,SR,QB,12,315,439,71.8,3712,28,6.4,11,2.5,8.5,8.60,11.8,309.3,158.8,,Aidan O'Connell,,,,,,,,,,,,,,
2022*,Purdue,Big Ten,SR,QB,12,320,499,64.1,3490,22,4.4,13,2.6,7.0,6.70,10.9,290.8,132.2,,Aidan O'Connell,,,,,,,,,,,,,,
2018*,Houston,American,FR,QB,5,59,117,50.4,795,8,6.8,2,1.7,6.8,7.39,13.5,159.0,126.6,,Clayton Tune,,,,,,,,,,,,,,
2019,Houston,American,SO,QB,7,106,179,59.2,1533,11,6.1,9,5.0,8.6,7.53,14.5,219.0,141.4,,Clayton Tune,,,,,,,,,,,,,,
2020*,Houston,American,JR,QB,8,170,285,59.6,2048,15,5.3,10,3.5,7.2,6.66,12.0,256.0,130.4,,Clayton Tune,,,,,,,,,,,,,,
2021*,Houston,American,JR,QB,14,287,421,68.2,3546,30,7.1,10,2.4,8.4,8.78,12.4,253.3,157.7,,Clayton Tune,,,,,,,,,,,,,,
2022*,Houston,American,SR,QB,13,334,496,67.3,4074,40,8.1,10,2.0,8.2,8.92,12.2,313.4,158.9,,Clayton Tune,,,,,,,,,,,,,,
2018,UCLA,Pac-12,FR,QB,10,112,194,57.7,1311,7,3.6,4,2.1,6.8,6.55,11.7,131.1,122.3,,Dorian Thompson-Robinson,,,,,,,,,,,,,,
2019,UCLA,Pac-12,SO,QB,11,216,362,59.7,2701,21,5.8,12,3.3,7.5,7.13,12.5,245.5,134.9,,Dorian Thompson-Robinson,,,,,,,,,,,,,,
2020,UCLA,Pac-12,JR,QB,5,90,138,65.2,1120,12,8.7,4,2.9,8.1,8.55,12.4,224.0,156.3,,Dorian Thompson-Robinson,,,,,,,,,,,,,,
2021,UCLA,Pac-12,SR,QB,11,176,283,62.2,2409,21,7.4,6,2.1,8.5,9.04,13.7,219.0,153.9,,Dorian Thompson-Robinson,,,,,,,,,,,,,,
2022*,UCLA,Pac-12,SR,QB,13,266,382,69.6,3169,27,7.1,10,2.6,8.3,8.53,11.9,243.8,157.4,,Dorian Thompson-Robinson,,,,,,,,,,,,,,
2018*,Penn State,Big Ten,FR,QB,4,5,7,71.4,195,2,28.6,0,0.0,27.9,33.57,39.0,48.8,399.7,,Sean Clifford,,,,,,,,,,,,,,
2019*,Penn State,Big Ten,SO,QB,12,189,319,59.2,2654,23,7.2,7,2.2,8.3,8.77,14.0,221.2,148.5,,Sean Clifford,,,,,,,,,,,,,,
2020,Penn State,Big Ten,JR,QB,9,152,251,60.6,1883,16,6.4,9,3.6,7.5,7.16,12.4,209.2,137.4,,Sean Clifford,,,,,,,,,,,,,,
2021*,Penn State,Big Ten,SR,QB,13,261,428,61.0,3107,21,4.9,8,1.9,7.3,7.40,11.9,239.0,134.4,,Sean Clifford,,,,,,,,,,,,,,
2022*,Penn State,Big Ten,SR,QB,13,226,351,64.4,2822,24,6.8,7,2.0,8.0,8.51,12.5,217.1,150.5,,Sean Clifford,,,,,,,,,,,,,,
2018*,BYU,Ind,FR,QB,2,0,0,,0,0,,0,,,,,0.0,,,Jaren Hall,,,,,,,,,,,,,,
2019*,BYU,Ind,FR,QB,7,31,46,67.4,420,1,2.2,0,0.0,9.1,9.57,13.5,60.0,151.3,,Jaren Hall,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Jaren Hall,,,,,,,,,,,,,,
2021*,BYU,Ind,SO,QB,10,189,296,63.9,2583,20,6.8,5,1.7,8.7,9.32,13.7,258.3,156.1,,Jaren Hall,,,,,,,,,,,,,,
2022*,BYU,Ind,JR,QB,12,248,376,66.0,3171,31,8.2,6,1.6,8.4,9.36,12.8,264.3,160.8,,Jaren Hall,,,,,,,,,,,,,,
2020,Stanford,Pac-12,FR,QB,1,3,7,42.9,62,0,0.0,0,0.0,8.9,8.86,20.7,62.0,117.3,,Tanner McKee,,,,,,,,,,,,,,
2021,Stanford,Pac-12,SO,QB,10,206,315,65.4,2327,15,4.8,7,2.2,7.4,7.34,11.3,232.7,138.7,,Tanner McKee,,,,,,,,,,,,,,
2022,Stanford,Pac-12,JR,QB,12,264,426,62.0,2947,13,3.1,8,1.9,6.9,6.68,11.2,245.6,126.4,,Tanner McKee,,,,,,,,,,,,,,
2019,Texas Christian,Big 12,FR,QB,12,181,339,53.4,2077,15,4.4,10,2.9,6.1,5.68,11.5,173.1,113.6,,Max Duggan,,,,,,,,,,,,,,
