Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2020,Utah,Pac-12,JR,TE,5,1,14,14.0,0,2.8,0,0,,0,0.0,1,14,14.0,0,,Dalton Kincaid,,,,,,,,,,,,,,
2021*,Utah,Pac-12,JR,TE,14,36,510,14.2,8,36.4,1,4,4.0,0,0.3,37,514,13.9,8,,Dalton Kincaid,,,,,,,,,,,,,,
2022*,Utah,Pac-12,SR,TE,12,70,890,12.7,8,74.2,0,0,,0,0.0,70,890,12.7,8,,Dalton Kincaid,,,,,,,,,,,,,,
2019*,Iowa,Big Ten,FR,TE,12,15,188,12.5,0,15.7,0,0,,0,0.0,15,188,12.5,0,,Sam LaPorta,,,,,,,,,,,,,,
2020,Iowa,Big Ten,SO,TE,8,27,271,10.0,1,33.9,0,0,,0,0.0,27,271,10.0,1,,Sam LaPorta,,,,,,,,,,,,,,
2021*,Iowa,Big Ten,JR,TE,14,53,670,12.6,3,47.9,0,0,,0,0.0,53,670,12.6,3,,Sam LaPorta,,,,,,,,,,,,,,
2022*,Iowa,Big Ten,SR,TE,12,58,657,11.3,1,54.8,2,6,3.0,0,0.5,60,663,11.1,1,,Sam LaPorta,,,,,,,,,,,,,,
2020*,Notre Dame,ACC,FR,TE,12,42,450,10.7,2,37.5,0,0,,0,0.0,42,450,10.7,2,,Michael Mayer,,,,,,,,,,,,,,
2021*,Notre Dame,Ind,SO,TE,12,71,840,11.8,7,70.0,0,0,,0,0.0,71,840,11.8,7,,Michael Mayer,,,,,,,,,,,,,,
2022*,Notre Dame,Ind,JR,TE,12,67,809,12.1,9,67.4,0,0,,0,0.0,67,809,12.1,9,AA,Michael Mayer,,,,,,,,,,,,,,
2019,Oregon State,Pac-12,FR,TE,12,2,18,9.0,0,1.5,0,0,,0,0.0,2,18,9.0,0,,Luke Musgrave,,,,,,,,,,,,,,
2020,Oregon State,Pac-12,SO,TE,7,12,142,11.8,0,20.3,0,0,,0,0.0,12,142,11.8,0,,Luke Musgrave,,,,,,,,,,,,,,
2021*,Oregon State,Pac-12,SO,TE,13,22,304,13.8,1,23.4,1,-1,-1.0,0,-0.1,23,303,13.2,1,,Luke Musgrave,,,,,,,,,,,,,,
2022*,Oregon State,Pac-12,JR,TE,2,11,169,15.4,1,84.5,0,0,,0,0.0,11,169,15.4,1,,Luke Musgrave,,,,,,,,,,,,,,
2018,Old Dominion,CUSA,FR,TE,8,,,,,,,,,,,,,,,,Keion White,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2019,Old Dominion,CUSA,SO,DE,12,,,,,,,,,,,,,,,,Keion White,32,32,64,19,3.5,1,0,0.0,0,1,2,22,0,1
,,,,,,,,,,,,,,,,,,,,,Keion White,,,,,,,,,,,,,,
