Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Rushing Y/A,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2020*,Ohio State,Big Ten,FR,WR,7,10,49,4.9,1,7.0,0,0,0,0.0,10,49,4.9,1,,Jaxon Smith-Njigba,,,,,,,,,,,,,,,
2021*,Ohio State,Big Ten,SO,WR,13,95,1606,16.9,9,123.5,0,0,0,0.0,95,1606,16.9,9,,Jaxon Smith-Njigba,,,,,,,,,,,,,,,
2022*,Ohio State,Big Ten,JR,WR,3,5,43,8.6,0,14.3,0,0,0,0.0,5,43,8.6,0,,Jaxon Smith-Njigba,,,,,,,,,,,,,,,
2020,Texas Christian,Big 12,FR,WR,9,22,487,22.1,2,54.1,3,3,2,0.3,25,490,19.6,4,,Quentin Johnston,1.0,,,,,,,,,,,,,,
2021,Texas Christian,Big 12,SO,WR,9,33,634,19.2,6,70.4,2,12,0,1.3,35,646,18.5,6,,Quentin Johnston,6.0,,,,,,,,,,,,,,
2022*,Texas Christian,Big 12,JR,WR,14,60,1069,17.8,6,76.4,3,-7,0,-0.5,63,1062,16.9,6,,Quentin Johnston,-2.3,,,,,,,,,,,,,,
2019*,Boston College,ACC,FR,WR,13,22,341,15.5,3,26.2,27,195,1,15.0,49,536,10.9,4,,Zay Flowers,7.2,,,,,,,,,,,,,,
2020,Boston College,ACC,SO,WR,11,56,892,15.9,9,81.1,11,41,1,3.7,67,933,13.9,10,,Zay Flowers,3.7,,,,,,,,,,,,,,
2021,Boston College,ACC,JR,WR,12,44,746,17.0,5,62.2,7,69,0,5.8,51,815,16.0,5,,Zay Flowers,9.9,,,,,,,,,,,,,,
2022,Boston College,ACC,SR,WR,12,78,1077,13.8,12,89.8,12,40,0,3.3,90,1117,12.4,12,,Zay Flowers,3.3,,,,,,,,,,,,,,
