Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2023,Colorado,Pac-12,SO,WR,9,57,721,12.6,5,80.1,0,0,,0,0.0,57,721,12.6,5,AA,Travis Hunter,,,,,,,,,,,,,,
2024*,Colorado,Big 12,JR,WR,13,96,1258,13.1,15,96.8,2,5,2.5,1,0.4,98,1263,12.9,16,"H-1,Bednarik,AA,Camp",Travis Hunter,,,,,,,,,,,,,,
2022,Arizona,Pac-12,FR,WR,12,39,702,18.0,8,58.5,0,0,,0,0.0,39,702,18.0,8,,Tetairoa McMillan,,,,,,,,,,,,,,
2023*,Arizona,Pac-12,SO,WR,13,90,1402,15.6,10,107.8,1,3,3.0,0,0.2,91,1405,15.4,10,,Tetairoa McMillan,,,,,,,,,,,,,,
2024,Arizona,Big 12,JR,WR,12,84,1319,15.7,8,109.9,0,0,,0,0.0,84,1319,15.7,8,AA,Tetairoa McMillan,,,,,,,,,,,,,,
2021*,Ohio State,Big Ten,FR,WR,10,9,191,21.2,0,19.1,0,0,,0,0.0,9,191,21.2,0,,Emeka Egbuka,,,,,,,,,,,,,,
2022*,Ohio State,Big Ten,SO,WR,13,74,1151,15.6,10,88.5,11,87,7.9,2,6.7,85,1238,14.6,12,,Emeka Egbuka,,,,,,,,,,,,,,
2023*,Ohio State,Big Ten,JR,WR,10,41,515,12.6,4,51.5,5,25,5.0,0,2.5,46,540,11.7,4,,Emeka Egbuka,,,,,,,,,,,,,,
2024*,Ohio State,Big Ten,SR,WR,16,81,1011,12.5,10,63.2,8,33,4.1,0,2.1,89,1044,11.7,10,,Emeka Egbuka,,,,,,,,,,,,,,
2022*,Houston,American,FR,WR,11,38,584,15.4,7,53.1,0,0,,0,0.0,38,584,15.4,7,,Matthew Golden,,,,,,,,,,,,,,
2023,Houston,Big 12,SO,WR,9,38,404,10.6,6,44.9,0,0,,0,0.0,38,404,10.6,6,,Matthew Golden,,,,,,,,,,,,,,
2024*,Texas,SEC,JR,WR,16,58,987,17.0,9,61.7,0,0,,0,0.0,58,987,17.0,9,,Matthew Golden,,,,,,,,,,,,,,
2023*,Iowa State,Big 12,JR,WR,13,53,983,18.5,6,75.6,0,0,,0,0.0,53,983,18.5,6,,Jayden Higgins,,,,,,,,,,,,,,
2024*,Iowa State,Big 12,SR,WR,13,87,1183,13.6,9,91.0,0,0,,0,0.0,87,1183,13.6,9,,Jayden Higgins,,,,,,,,,,,,,,
2022*,Missouri,SEC,FR,WR,13,45,375,8.3,6,28.8,18,88,4.9,2,6.8,63,463,7.3,8,,Luther Burden,,,,,,,,,,,,,,
2023*,Missouri,SEC,SO,WR,13,86,1212,14.1,9,93.2,7,31,4.4,0,2.4,93,1243,13.4,9,,Luther Burden,,,,,,,,,,,,,,
2024*,Missouri,SEC,JR,WR,12,61,676,11.1,6,56.3,9,115,12.8,2,9.6,70,791,11.3,8,,Luther Burden,,,,,,,,,,,,,,
2020*,Louisiana Tech,CUSA,FR,WR,7,1,20,20.0,0,2.9,0,0,,0,0.0,1,20,20.0,0,,Tre Harris,,,,,,,,,,,,,,
2021,Louisiana Tech,CUSA,FR,WR,12,40,562,14.1,4,46.8,0,0,,0,0.0,40,562,14.1,4,,Tre Harris,,,,,,,,,,,,,,
2022,Louisiana Tech,CUSA,SO,WR,12,65,935,14.4,10,77.9,5,22,4.4,0,1.8,70,957,13.7,10,,Tre Harris,,,,,,,,,,,,,,
2023*,Ole Miss,SEC,SR,WR,12,54,985,18.2,8,82.1,0,0,,0,0.0,54,985,18.2,8,,Tre Harris,,,,,,,,,,,,,,
2024*,Ole Miss,SEC,SR,WR,8,60,1030,17.2,7,128.8,0,0,,0,0.0,60,1030,17.2,7,,Tre Harris,,,,,,,,,,,,,,
2021*,LSU,SEC,FR,WR,13,43,489,11.4,3,37.6,0,0,,0,0.0,43,489,11.4,3,,Jack Bech,,,,,,,,,,,,,,
2022*,LSU,SEC,SO,WR,12,16,200,12.5,1,16.7,0,0,,0,0.0,16,200,12.5,1,,Jack Bech,,,,,,,,,,,,,,
2023,Texas Christian,Big 12,JR,WR,8,12,146,12.2,0,18.3,3,-3,-1.0,0,-0.4,15,143,9.5,0,,Jack Bech,,,,,,,,,,,,,,
2024*,Texas Christian,Big 12,SR,WR,12,62,1034,16.7,9,86.2,0,7,,0,0.6,62,1041,16.8,9,,Jack Bech,,,,,,,,,,,,,,
2020,Nevada-Las Vegas,MWC,FR,WR,6,35,426,12.2,2,71.0,2,6,3.0,0,1.0,37,432,11.7,2,,Kyle Williams,,,,,,,,,,,,,,
2021,Nevada-Las Vegas,MWC,SO,WR,10,42,601,14.3,2,60.1,2,7,3.5,0,0.7,44,608,13.8,2,,Kyle Williams,,,,,,,,,,,,,,
2022,Nevada-Las Vegas,MWC,JR,WR,9,40,541,13.5,5,60.1,1,12,12.0,0,1.3,41,553,13.5,5,,Kyle Williams,,,,,,,,,,,,,,
2023,Washington State,Pac-12,JR,WR,12,61,843,13.8,6,70.3,3,-10,-3.3,0,-0.8,64,833,13.0,6,,Kyle Williams,,,,,,,,,,,,,,
2024*,Washington State,Ind,SR,WR,13,70,1198,17.1,14,92.2,9,57,6.3,0,4.4,79,1255,15.9,14,,Kyle Williams,,,,,,,,,,,,,,
2023,Arkansas,SEC,SR,WR,12,34,351,10.3,2,29.3,1,0,0.0,0,0.0,35,351,10.0,2,,Isaac TeSlaa,,,,,,,,,,,,,,
2024*,Arkansas,SEC,SR,WR,13,28,545,19.5,3,41.9,0,0,,0,0.0,28,545,19.5,3,,Isaac TeSlaa,,,,,,,,,,,,,,
2021,Illinois,Big Ten,FR,WR,10,6,98,16.3,0,9.8,0,0,,0,0.0,6,98,16.3,0,,Pat Bryant,,,,,,,,,,,,,,
2022*,Illinois,Big Ten,SO,WR,12,34,453,13.3,2,37.8,0,0,,0,0.0,34,453,13.3,2,,Pat Bryant,,,,,,,,,,,,,,
